"id(0-255)"	"开放条件:等级(-1为无需求)"	"过滤条件：开服日期(开服第N天开，默认不填)"	"开放条件:任务填(类型,任务id)类型：0=无条件类型：1=接任务类型：2=完成任务(未交)类型：3=完成任务(已交)"	"场景要求(是否必须在主城触发)"	"是否新手指引出发"	"功能接口"	"功能对应的GUIconfigID。"	"对应的UI界面ID"	"对应页的页签编号"	""	"是否添加功能引导"	"tips展示类型1.侍从.2.背旗.3.宠物.4.坐骑5.法宝6.经脉7.帮派8,法阵9,如影10,神器"	"ID英雄ID:HeroConfig坐骑ID:RideConfig宠物ID:PetConfig神器ID:HolyWeaponConfig模型ID:CharacterConfig法阵ID:MagicCircleConfig如影ID：ShadowConfig神器ID：WeaponConfig"	"尺寸"	"位置"	"位置偏移"	"功能引导描述id"	"功能引导图集"	"PVP、PVE类型"	"功能开启文字"	"所属主功能ID"	
"id"	"condition_level"	"kaifu"	"condition_quest"	"condition_main_city"	"doInNewbieHelper"	"function"	"config_gui_id"	"ui_id"	"ui_page_tab"	""	"is_guide"	"displaytype"	"displayid"	"Size"	"position"	"rotation"	"id_description"	"icon"	"kind"	"id_str"	"id_main"	
"int"	"int"	"int"	"int[2]"	"bool"	"bool"	"string"	"int"	"int"	"int"	""	"bool"	"int"	"int"	"float"	"float[2]"	"float[3]"	"int"	"string[]"	"string[]"	"int"	"int"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"s"	"c"	"c"	"c"	""	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	
"1"	"39"	""	"0,0"	"0"	"0"	""	"200052"	"200052"	""	"帮派"	"1"	"7"	"80003"	"3.000000"	"0,-0.95"	""	"6300"	"pic_main_png,opentite01"	""	""	""	
"2"	"40"	""	"0,0"	"0"	"0"	""	""	"100219"	""	"跨服副本"	"0"	""	""	""	""	""	"109142"	""	""	""	""	
"3"	"20"	""	"0,0"	"0"	"0"	""	"200055"	"200055"	"1"	"旧坐骑"	"0"	""	"10001"	"2.000000"	"0,-0.55"	"2,140,0"	"6300"	""	""	""	""	
"4"	"20"	""	"0,0"	"0"	"0"	""	""	"200132"	""	"挂机功能"	"0"	""	""	""	""	""	""	""	""	""	""	
"5"	"60"	""	"0,0"	"0"	"0"	""	""	"100182"	""	"竞技场1V1"	"0"	""	""	""	""	""	""	""	"pic_lingsan,pvp"	""	""	
"6"	"1"	""	"0,0"	"0"	"0"	""	""	"100068"	""	"好友"	"0"	""	""	""	""	""	""	""	""	""	""	
"7"	"1"	""	"0,0"	"0"	"0"	""	"200003"	"200003"	""	"背包"	"0"	""	""	""	""	""	""	""	""	""	""	
