"ID第1位：注魂位ID，1护鞍2蹄甲3项圈4护盔第2位：预留，填0第3，4，5,位：等级，每阶段单独计算"	"注魂位品质（1=绿，2=蓝，3=紫，4=金，5=橙）实质上是阶段，每阶段等级单独结算"	"注魂所需材料ID"	"单次注魂所需材料数量（不能升级时必须为0）"	"注魂所需总材料数量（不能升级时必须为0）"	"注魂增加属性（填总属性值，而非差值）（属性ID，属性值）"	
"id"	"quality_id"	"level_item_id"	"level_item_single"	"level_item_total"	"level_attr"	
"int"	"int"	"int"	"int"	"int"	"int[]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"10001"	"1"	"110211"	"1"	"2"	"0,529,1,26,2,13"	
"10002"	"1"	"110211"	"1"	"2"	"0,1058,1,52,2,26"	
"10003"	"1"	"110211"	"1"	"2"	"0,1587,1,79,2,39"	
"10004"	"1"	"110211"	"1"	"2"	"0,2116,1,105,2,52"	
"10005"	"1"	"110211"	"1"	"2"	"0,2646,1,132,2,66"	
"10006"	"1"	"110211"	"1"	"2"	"0,3175,1,158,2,79"	
"10007"	"1"	"110211"	"1"	"2"	"0,3704,1,185,2,92"	
"10008"	"1"	"110211"	"1"	"2"	"0,4233,1,211,2,105"	
"10009"	"1"	"110211"	"1"	"2"	"0,4762,1,238,2,119"	
"10010"	"1"	"110211"	"1"	"2"	"0,5292,1,264,2,132"	
"10011"	"2"	"110211"	"1"	"4"	"0,6291,1,314,2,157"	
"10012"	"2"	"110211"	"1"	"4"	"0,7290,1,364,2,182"	
"10013"	"2"	"110211"	"1"	"4"	"0,8289,1,414,2,207"	
"10014"	"2"	"110211"	"1"	"4"	"0,9288,1,464,2,232"	
"10015"	"2"	"110211"	"1"	"4"	"0,10287,1,514,2,257"	
"10016"	"2"	"110211"	"1"	"4"	"0,11286,1,564,2,282"	
"10017"	"2"	"110211"	"1"	"4"	"0,12285,1,614,2,307"	
"10018"	"2"	"110211"	"1"	"4"	"0,13284,1,664,2,332"	
"10019"	"2"	"110211"	"1"	"4"	"0,14283,1,714,2,357"	
"10020"	"2"	"110211"	"1"	"4"	"0,15282,1,764,2,382"	
"10021"	"3"	"110211"	"3"	"12"	"0,18192,1,909,2,454"	
"10022"	"3"	"110211"	"3"	"12"	"0,21102,1,1055,2,527"	
"10023"	"3"	"110211"	"3"	"12"	"0,24012,1,1200,2,600"	
"10024"	"3"	"110211"	"3"	"12"	"0,26922,1,1346,2,673"	
"10025"	"3"	"110211"	"3"	"12"	"0,29832,1,1491,2,745"	
"10026"	"3"	"110211"	"3"	"12"	"0,32742,1,1637,2,818"	
"10027"	"3"	"110211"	"3"	"12"	"0,35652,1,1782,2,891"	
"10028"	"3"	"110211"	"3"	"12"	"0,38562,1,1928,2,964"	
"10029"	"3"	"110211"	"3"	"12"	"0,41472,1,2073,2,1036"	
"10030"	"3"	"110211"	"3"	"12"	"0,44382,1,2219,2,1109"	
"10031"	"4"	"110211"	"4"	"24"	"0,48147,1,2407,2,1203"	
"10032"	"4"	"110211"	"4"	"24"	"0,51912,1,2595,2,1297"	
"10033"	"4"	"110211"	"4"	"24"	"0,55677,1,2783,2,1391"	
"10034"	"4"	"110211"	"4"	"24"	"0,59442,1,2972,2,1486"	
"10035"	"4"	"110211"	"4"	"24"	"0,63207,1,3160,2,1580"	
"10036"	"4"	"110211"	"4"	"24"	"0,66972,1,3348,2,1674"	
"10037"	"4"	"110211"	"4"	"24"	"0,70737,1,3536,2,1768"	
"10038"	"4"	"110211"	"4"	"24"	"0,74502,1,3725,2,1862"	
"10039"	"4"	"110211"	"4"	"24"	"0,78267,1,3913,2,1956"	
"10040"	"4"	"110211"	"4"	"24"	"0,82032,1,4101,2,2050"	
"10041"	"5"	"110211"	"5"	"35"	"0,86532,1,4326,2,2163"	
"10042"	"5"	"110211"	"5"	"35"	"0,91032,1,4551,2,2275"	
"10043"	"5"	"110211"	"5"	"35"	"0,95532,1,4776,2,2388"	
"10044"	"5"	"110211"	"5"	"35"	"0,100032,1,5001,2,2500"	
"10045"	"5"	"110211"	"5"	"35"	"0,104532,1,5226,2,2613"	
"10046"	"5"	"110211"	"5"	"35"	"0,109032,1,5451,2,2725"	
"10047"	"5"	"110211"	"5"	"35"	"0,113532,1,5676,2,2838"	
"10048"	"5"	"110211"	"5"	"35"	"0,118032,1,5901,2,2950"	
"10049"	"5"	"110211"	"5"	"35"	"0,122532,1,6126,2,3063"	
"10050"	"5"	"110211"	"0"	"0"	"0,127032,1,6351,2,3175"	
"20001"	"1"	"110212"	"1"	"2"	"0,529,1,26,2,13"	
"20002"	"1"	"110212"	"1"	"2"	"0,1058,1,52,2,26"	
"20003"	"1"	"110212"	"1"	"2"	"0,1587,1,79,2,39"	
"20004"	"1"	"110212"	"1"	"2"	"0,2116,1,105,2,52"	
"20005"	"1"	"110212"	"1"	"2"	"0,2646,1,132,2,66"	
"20006"	"1"	"110212"	"1"	"2"	"0,3175,1,158,2,79"	
"20007"	"1"	"110212"	"1"	"2"	"0,3704,1,185,2,92"	
"20008"	"1"	"110212"	"1"	"2"	"0,4233,1,211,2,105"	
"20009"	"1"	"110212"	"1"	"2"	"0,4762,1,238,2,119"	
"20010"	"1"	"110212"	"1"	"2"	"0,5292,1,264,2,132"	
"20011"	"2"	"110212"	"1"	"4"	"0,6291,1,314,2,157"	
"20012"	"2"	"110212"	"1"	"4"	"0,7290,1,364,2,182"	
"20013"	"2"	"110212"	"1"	"4"	"0,8289,1,414,2,207"	
"20014"	"2"	"110212"	"1"	"4"	"0,9288,1,464,2,232"	
"20015"	"2"	"110212"	"1"	"4"	"0,10287,1,514,2,257"	
"20016"	"2"	"110212"	"1"	"4"	"0,11286,1,564,2,282"	
"20017"	"2"	"110212"	"1"	"4"	"0,12285,1,614,2,307"	
"20018"	"2"	"110212"	"1"	"4"	"0,13284,1,664,2,332"	
"20019"	"2"	"110212"	"1"	"4"	"0,14283,1,714,2,357"	
"20020"	"2"	"110212"	"1"	"4"	"0,15282,1,764,2,382"	
"20021"	"3"	"110212"	"3"	"12"	"0,18192,1,909,2,454"	
"20022"	"3"	"110212"	"3"	"12"	"0,21102,1,1055,2,527"	
"20023"	"3"	"110212"	"3"	"12"	"0,24012,1,1200,2,600"	
"20024"	"3"	"110212"	"3"	"12"	"0,26922,1,1346,2,673"	
"20025"	"3"	"110212"	"3"	"12"	"0,29832,1,1491,2,745"	
"20026"	"3"	"110212"	"3"	"12"	"0,32742,1,1637,2,818"	
"20027"	"3"	"110212"	"3"	"12"	"0,35652,1,1782,2,891"	
"20028"	"3"	"110212"	"3"	"12"	"0,38562,1,1928,2,964"	
"20029"	"3"	"110212"	"3"	"12"	"0,41472,1,2073,2,1036"	
"20030"	"3"	"110212"	"3"	"12"	"0,44382,1,2219,2,1109"	
"20031"	"4"	"110212"	"4"	"24"	"0,48147,1,2407,2,1203"	
"20032"	"4"	"110212"	"4"	"24"	"0,51912,1,2595,2,1297"	
"20033"	"4"	"110212"	"4"	"24"	"0,55677,1,2783,2,1391"	
"20034"	"4"	"110212"	"4"	"24"	"0,59442,1,2972,2,1486"	
"20035"	"4"	"110212"	"4"	"24"	"0,63207,1,3160,2,1580"	
"20036"	"4"	"110212"	"4"	"24"	"0,66972,1,3348,2,1674"	
"20037"	"4"	"110212"	"4"	"24"	"0,70737,1,3536,2,1768"	
"20038"	"4"	"110212"	"4"	"24"	"0,74502,1,3725,2,1862"	
"20039"	"4"	"110212"	"4"	"24"	"0,78267,1,3913,2,1956"	
"20040"	"4"	"110212"	"4"	"24"	"0,82032,1,4101,2,2050"	
"20041"	"5"	"110212"	"5"	"35"	"0,86532,1,4326,2,2163"	
"20042"	"5"	"110212"	"5"	"35"	"0,91032,1,4551,2,2275"	
"20043"	"5"	"110212"	"5"	"35"	"0,95532,1,4776,2,2388"	
"20044"	"5"	"110212"	"5"	"35"	"0,100032,1,5001,2,2500"	
"20045"	"5"	"110212"	"5"	"35"	"0,104532,1,5226,2,2613"	
"20046"	"5"	"110212"	"5"	"35"	"0,109032,1,5451,2,2725"	
"20047"	"5"	"110212"	"5"	"35"	"0,113532,1,5676,2,2838"	
"20048"	"5"	"110212"	"5"	"35"	"0,118032,1,5901,2,2950"	
"20049"	"5"	"110212"	"5"	"35"	"0,122532,1,6126,2,3063"	
"20050"	"5"	"110212"	"0"	"0"	"0,127032,1,6351,2,3175"	
"30001"	"1"	"110213"	"1"	"2"	"0,529,1,26,2,13"	
"30002"	"1"	"110213"	"1"	"2"	"0,1058,1,52,2,26"	
"30003"	"1"	"110213"	"1"	"2"	"0,1587,1,79,2,39"	
"30004"	"1"	"110213"	"1"	"2"	"0,2116,1,105,2,52"	
"30005"	"1"	"110213"	"1"	"2"	"0,2646,1,132,2,66"	
"30006"	"1"	"110213"	"1"	"2"	"0,3175,1,158,2,79"	
"30007"	"1"	"110213"	"1"	"2"	"0,3704,1,185,2,92"	
"30008"	"1"	"110213"	"1"	"2"	"0,4233,1,211,2,105"	
"30009"	"1"	"110213"	"1"	"2"	"0,4762,1,238,2,119"	
"30010"	"1"	"110213"	"1"	"2"	"0,5292,1,264,2,132"	
"30011"	"2"	"110213"	"1"	"4"	"0,6291,1,314,2,157"	
"30012"	"2"	"110213"	"1"	"4"	"0,7290,1,364,2,182"	
"30013"	"2"	"110213"	"1"	"4"	"0,8289,1,414,2,207"	
"30014"	"2"	"110213"	"1"	"4"	"0,9288,1,464,2,232"	
"30015"	"2"	"110213"	"1"	"4"	"0,10287,1,514,2,257"	
"30016"	"2"	"110213"	"1"	"4"	"0,11286,1,564,2,282"	
"30017"	"2"	"110213"	"1"	"4"	"0,12285,1,614,2,307"	
"30018"	"2"	"110213"	"1"	"4"	"0,13284,1,664,2,332"	
"30019"	"2"	"110213"	"1"	"4"	"0,14283,1,714,2,357"	
"30020"	"2"	"110213"	"1"	"4"	"0,15282,1,764,2,382"	
"30021"	"3"	"110213"	"3"	"12"	"0,18192,1,909,2,454"	
