"移动ID"	"描述"	"目标类型1.选中目标点（选点技能）2.选中目标方向固定距离的点（选点技能）距离3.选中原点处圆形范围内随机一个点（选点技能）范围半径4.选中目标点处圆形范围内随机一个点（选点技能）范围半径5.选择目标方向带方向偏移（子弹类技能）偏移角度6.选择目标方向随机方向偏移（子弹类技能）范围参数1（向左偏移角度一般为正数）范围参数2（向右偏移角度一般为负数）7.选中目标方向固定距离点带方向偏移（选点技能）距离偏移角度8.选中目标方向固定距离点随机方向偏移（选点技能）距离范围参数1范围参数2"	"目标参数1"	"目标参数2"	"目标参数3"	"后端移动方式1=瞬移2=慢速移动"	"前端移动效果ID"	"移动时间(ms)"	"时间控制0=根据距离控制移动时间1=移动时间永远不变"	"碰到障碍处理方式0=有阻挡则挡住1=如果可寻路到达,则绕过"	"移动开始时产生技能ID"	"移动结束后产生技能ID"	"移动结束后产生技能目标0=当前方向1=当前攻击目标位置(只对怪物生效)"	"前端移动方式(1:普遍移动，2：act移动，3：瞬移)"	"生效延迟时间（ms）"	
"motionID"	"des"	"objType"	"objParam1"	"objParam2"	"objParam3"	"motionPattern"	"motionPerformancePattern"	"moveTime"	"timeControl"	"barrier_type"	"bginSkillID"	"skillID"	"skillTarget"	"movetype"	"delay"	
"int"	"string"	"int"	"float"	"float"	"float"	"int"	"string"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	
"cs"	""	"s"	"s"	"s"	"s"	"cs"	"c"	"cs"	"cs"	"s"	"s"	"s"	"s"	"c"	"s"	
"10100030"	"星河流光"	"9"	"1.000000"	"0.000000"	"0.000000"	"2"	""	"233"	"1"	"1"	"-1"	"10100031"	"0"	"2"	"0"	
"10100040"	"妙转乾坤"	"2"	"8.000000"	"0.000000"	"0.000000"	"2"	""	"250"	"1"	"1"	"-1"	"10100041"	"0"	"2"	"0"	
"10101030"	"星河流光"	"9"	"1.000000"	"0.000000"	"0.000000"	"2"	""	"233"	"1"	"1"	"-1"	"10101031"	"0"	"2"	"0"	
"10101040"	"妙转乾坤"	"2"	"9.000000"	"0.000000"	"0.000000"	"2"	""	"250"	"1"	"1"	"-1"	"10101041"	"0"	"2"	"0"	
"10102030"	"星河流光"	"9"	"1.000000"	"0.000000"	"0.000000"	"2"	""	"233"	"1"	"1"	"-1"	"10102031"	"0"	"2"	"0"	
"10102040"	"妙转乾坤"	"2"	"10.000000"	"0.000000"	"0.000000"	"2"	""	"250"	"1"	"1"	"-1"	"10102041"	"0"	"2"	"0"	
"10103030"	"星河流光"	"9"	"1.000000"	"0.000000"	"0.000000"	"2"	""	"233"	"1"	"1"	"-1"	"10103031"	"0"	"2"	"0"	
"10103040"	"妙转乾坤"	"2"	"11.000000"	"0.000000"	"0.000000"	"2"	""	"250"	"1"	"1"	"-1"	"10103041"	"0"	"2"	"0"	
"10200030"	"星河流光"	"9"	"1.000000"	"0.000000"	"0.000000"	"2"	""	"233"	"1"	"1"	"-1"	"10200031"	"0"	"2"	"0"	
"10200040"	"妙转乾坤"	"2"	"8.000000"	"0.000000"	"0.000000"	"2"	""	"250"	"1"	"1"	"-1"	"10200041"	"0"	"2"	"0"	
"10201030"	"星河流光"	"9"	"1.000000"	"0.000000"	"0.000000"	"2"	""	"233"	"1"	"1"	"-1"	"10201031"	"0"	"2"	"0"	
"10201040"	"妙转乾坤"	"2"	"9.000000"	"0.000000"	"0.000000"	"2"	""	"250"	"1"	"1"	"-1"	"10201041"	"0"	"2"	"0"	
"10202030"	"星河流光"	"9"	"1.000000"	"0.000000"	"0.000000"	"2"	""	"233"	"1"	"1"	"-1"	"10202031"	"0"	"2"	"0"	
"10202040"	"妙转乾坤"	"2"	"10.000000"	"0.000000"	"0.000000"	"2"	""	"250"	"1"	"1"	"-1"	"10202041"	"0"	"2"	"0"	
"10203030"	"星河流光"	"9"	"1.000000"	"0.000000"	"0.000000"	"2"	""	"233"	"1"	"1"	"-1"	"10203031"	"0"	"2"	"0"	
"10203040"	"妙转乾坤"	"2"	"11.000000"	"0.000000"	"0.000000"	"2"	""	"250"	"1"	"1"	"-1"	"10203041"	"0"	"2"	"0"	
"11000040"	"烟雨逍遥"	"2"	"8.000000"	"0.000000"	"0.000000"	"2"	""	"400"	"1"	"1"	"-1"	"11000041"	"0"	"2"	"0"	
"11001040"	"烟雨逍遥"	"2"	"9.000000"	"0.000000"	"0.000000"	"2"	""	"400"	"1"	"1"	"-1"	"11001041"	"0"	"2"	"0"	
"11002040"	"烟雨逍遥"	"2"	"10.000000"	"0.000000"	"0.000000"	"2"	""	"400"	"1"	"1"	"-1"	"11002041"	"0"	"2"	"0"	
"11003040"	"烟雨逍遥"	"2"	"11.000000"	"0.000000"	"0.000000"	"2"	""	"400"	"1"	"1"	"-1"	"11003041"	"0"	"2"	"0"	
"11100040"	"烟雨逍遥"	"2"	"8.000000"	"0.000000"	"0.000000"	"2"	""	"400"	"1"	"1"	"-1"	"11100041"	"0"	"2"	"0"	
"11101040"	"烟雨逍遥"	"2"	"9.000000"	"0.000000"	"0.000000"	"2"	""	"400"	"1"	"1"	"-1"	"11101041"	"0"	"2"	"0"	
"11102040"	"烟雨逍遥"	"2"	"10.000000"	"0.000000"	"0.000000"	"2"	""	"400"	"1"	"1"	"-1"	"11102041"	"0"	"2"	"0"	
"11103040"	"烟雨逍遥"	"2"	"11.000000"	"0.000000"	"0.000000"	"2"	""	"400"	"1"	"1"	"-1"	"11103041"	"0"	"2"	"0"	
"11203020"	"沧海龙吟自身随机点瞬移"	"3"	"14.000000"	"0.000000"	"0.000000"	"2"	""	"300"	"1"	"1"	"-1"	"-1"	"0"	"2"	"0"	
"12000040"	"天影飞梭"	"2"	"8.000000"	"0.000000"	"0.000000"	"2"	""	"330"	"1"	"1"	"-1"	"12000041"	"0"	"2"	"0"	
"12001040"	"天影飞梭"	"2"	"9.000000"	"0.000000"	"0.000000"	"2"	""	"330"	"1"	"1"	"-1"	"12001041"	"0"	"2"	"0"	
"12002040"	"天影飞梭"	"2"	"10.000000"	"0.000000"	"0.000000"	"2"	""	"330"	"1"	"1"	"-1"	"12002041"	"0"	"2"	"0"	
"12003040"	"天影飞梭"	"2"	"11.000000"	"0.000000"	"0.000000"	"2"	""	"330"	"1"	"1"	"-1"	"12003041"	"0"	"2"	"0"	
"12100040"	"天影飞梭"	"2"	"8.000000"	"0.000000"	"0.000000"	"2"	""	"330"	"1"	"1"	"-1"	"12100041"	"0"	"2"	"0"	
"12101040"	"天影飞梭"	"2"	"9.000000"	"0.000000"	"0.000000"	"2"	""	"330"	"1"	"1"	"-1"	"12101041"	"0"	"2"	"0"	
"12102040"	"天影飞梭"	"2"	"10.000000"	"0.000000"	"0.000000"	"2"	""	"330"	"1"	"1"	"-1"	"12102041"	"0"	"2"	"0"	
"12103040"	"天影飞梭"	"2"	"11.000000"	"0.000000"	"0.000000"	"2"	""	"330"	"1"	"1"	"-1"	"12103041"	"0"	"2"	"0"	
"24100110"	"容止冲刺自己加速"	"2"	"5.000000"	"0.000000"	"0.000000"	"2"	""	"400"	"1"	"1"	"-1"	"24100111"	"0"	"2"	"0"	
"24100210"	"花错冲刺"	"9"	"1.500000"	"0.000000"	"0.000000"	"2"	""	"67"	"1"	"1"	"-1"	"-1"	"0"	"2"	"0"	
"30000320"	"百里流桑冲刺"	"9"	"1.000000"	"0.000000"	"0.000000"	"2"	""	"1000"	"1"	"1"	"30000321"	"30000323"	"0"	"2"	"0"	
"30000510"	"容止冲刺自己加速"	"2"	"5.000000"	"0.000000"	"0.000000"	"2"	""	"400"	"1"	"1"	"-1"	"30000511"	"0"	"2"	"0"	
