"赛季"	"开始时间"	"开始时分秒"	"结束时间"	"结束时分秒"	"1v1奖励1"	"1v1奖励2"	"1v1奖励3"	"1v1奖励4"	"1v1奖励5"	"3v3奖励1"	"3v3奖励2"	"3v3奖励3"	"3v3奖励4"	"3v3奖励5"	
"season"	"begin_time"	"begin_hms"	"ended_time"	"ended_hms"	"prize1v1_1"	"prize1v1_2"	"prize1v1_3"	"prize1v1_4"	"prize1v1_5"	"prize3v3_1"	"prize3v3_2"	"prize3v3_3"	"prize3v3_4"	"prize3v3_5"	
"int"	"string"	"string"	"string"	"string"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"2014-04-01"	"00:05:00"	"2014-07-16"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"2"	"2014-07-16"	"00:05:00"	"2014-07-30"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"3"	"2014-07-30"	"00:05:00"	"2014-08-13"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"4"	"2014-08-13"	"00:05:00"	"2014-08-27"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"5"	"2014-08-27"	"00:05:00"	"2014-09-10"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"6"	"2014-09-10"	"00:05:00"	"2014-09-24"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"7"	"2014-09-24"	"00:05:00"	"2014-10-08"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"8"	"2014-10-08"	"00:05:00"	"2014-10-22"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"9"	"2014-10-22"	"00:05:00"	"2014-11-05"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"10"	"2014-11-05"	"00:05:00"	"2014-11-19"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"11"	"2014-11-19"	"00:05:00"	"2014-12-03"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"12"	"2014-12-03"	"00:05:00"	"2014-12-17"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"13"	"2014-12-17"	"00:05:00"	"2014-12-31"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"14"	"2014-12-31"	"00:05:00"	"2015-01-14"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
