"寻路编号"	"所在场景ID"	"坐标X"	"坐标Y"	"坐标Z"	""	""	
"marklistID"	"mapId"	"locationX"	"locationY"	"locationZ"	""	""	
"int"	"int"	"float"	"float"	"float"	""	""	
"cs"	"cs"	"cs"	"cs"	"cs"	""	""	
"1"	"1002"	"261.108000"	"43.559000"	"404.990000"	""	""	
"2"	"1002"	"272.455000"	"43.559000"	"397.164000"	""	""	
"3"	"1002"	"272.455000"	"43.559000"	"270.330000"	""	""	
"4"	"1002"	"272.455000"	"40.440000"	"226.220000"	""	""	
"5"	"1002"	"285.130000"	"40.527000"	"207.440000"	""	""	
"6"	"1002"	"271.420000"	"40.373000"	"190.080000"	""	""	
"7"	"1002"	"271.730000"	"40.373000"	"145.600000"	""	""	
"8"	"1002"	"271.730000"	"40.373000"	"61.480000"	""	""	
"9"	"1002"	"261.170000"	"40.373000"	"49.100000"	""	""	
