"随机池ID"	"随机池描述"	"随机类型1.互斥随机其他暂时不用"	"随机数量互斥随机出几个"	"项目1类型,ID,数量,权重类型：0.无内容，ID数量填01.物品2.英雄装备3.英雄，数量必填1"	"项目2"	"项目3"	"项目4"	"项目5"	"项目6"	"项目7"	"项目8"	"项目9"	"项目10"	"项目11"	"项目12"	"项目13"	"项目14"	"项目15"	"项目16"	"项目17"	"项目18"	"项目19"	"项目20"	
"id"	"comment"	"randType"	"randNum"	"item1"	"item2"	"item3"	"item4"	"item5"	"item6"	"item7"	"item8"	"item9"	"item10"	"item11"	"item12"	"item13"	"item14"	"item15"	"item16"	"item17"	"item18"	"item19"	"item20"	
"int"	"string"	"int"	"int"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	
"cs"	"cs"	"s"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"10000101"	"初级抽取普通随机池"	"1"	"1"	"1,100039,1,5"	"1,100045,1,10"	"1,100043,1,1"	"1,100035,1,3"	"1,100040,1,2"	"1,806100,1,3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10000102"	"初级抽取满能量随机池"	"1"	"1"	"1,806100,1,10"	"1,806200,1,3"	"1,100043,1,5"	"1,100044,1,5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10000201"	"中级抽取普通随机池"	"1"	"1"	"1,800001,1,100"	"1,800011,1,100"	"1,800071,1,100"	"1,800031,1,50"	"1,800081,1,100"	"1,800121,1,100"	"1,800151,1,100"	"1,800041,1,100"	"1,800091,1,50"	"1,800161,1,50"	""	""	""	""	""	""	""	""	""	""	
"10000202"	"中级抽取满能量随机池"	"1"	"1"	"3,13,1,100"	"3,12,1,100"	"3,11,1,100"	"3,8,1,100"	"3,5,1,100"	"3,4,1,80"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10000301"	"高级抽取普通随机池"	"1"	"1"	"1,800121,1,100"	"1,800151,1,100"	"1,800041,1,100"	"1,800061,1,100"	"1,800141,1,50"	"1,800171,1,50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10000302"	"高级抽取满能量随机池"	"1"	"1"	"3,7,1,100"	"3,5,1,100"	"3,4,1,100"	"3,3,1,90"	"3,2,1,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10000303"	"高级抽取优先英雄池"	"1"	"1"	"3,2,1,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10100001"	"新手引导首抽"	"1"	"1"	"3,11,1,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10100002"	"中级免费首抽"	"1"	"1"	"3,11,1,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10100003"	"中级付费首抽"	"1"	"1"	"3,5,1,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
