"模板ID"	"升星等级"	"基础属性1"	"基础属性1数值"	"基础属性2"	"基础属性2数值"	"升星几率"	"元宝数量"	"道具1"	"道具数量"	"道具2"	"道具数量"	"铜币数量"	"回收经验"	"返还铜币"	"返还道具1"	"返还数量"	"返还道具2"	"返还数量"	"返还道具3"	"返还数量"	
"templetID"	"starLevel"	"basicID1"	"basicVal1"	"basicID2"	"basicVal2"	"star_pro"	"goldNum"	"itemID1"	"itemNum1"	"itemID2"	"itemNum2"	"consume"	"recovery"	"ReturnMoney"	"ReItemId1"	"ReItemNum1"	"ReItemId2"	"ReItemNum2"	"ReItemId3"	"ReItemNum3"	
"int"	"int"	"int"	"float"	"int"	"float"	"float"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"11000100"	"0"	"1"	"32.000000"	"12"	"4.000000"	"1.000000"	"0"	"100039"	"1"	"-1"	"-1"	"400"	"1"	"0"	""	""	""	""	""	""	
"11000101"	"1"	"1"	"48.000000"	"12"	"6.000000"	"1.000000"	"0"	"100039"	"2"	"-1"	"-1"	"800"	"1"	"200"	"100039"	"0"	""	""	""	""	
"11000102"	"2"	"1"	"64.000000"	"12"	"8.000000"	"1.000000"	"1"	"100039"	"3"	"-1"	"-1"	"1200"	"1"	"600"	"100039"	"1"	""	""	""	""	
"11000103"	"3"	"1"	"80.000000"	"12"	"11.000000"	"0.800000"	"1"	"100039"	"4"	"-1"	"-1"	"1600"	"1"	"1200"	"100039"	"3"	""	""	""	""	
"11000104"	"4"	"1"	"96.000000"	"12"	"13.000000"	"0.750000"	"2"	"100039"	"5"	"-1"	"-1"	"2000"	"1"	"2000"	"100039"	"5"	""	""	""	""	
"11000105"	"5"	"1"	"112.000000"	"12"	"16.000000"	"0.700000"	"2"	"100040"	"1"	"-1"	"-1"	"2400"	"1"	"3000"	"100039"	"7"	""	""	""	""	
"11000106"	"6"	"1"	"136.000000"	"12"	"19.000000"	"0.650000"	"3"	"100040"	"2"	"-1"	"-1"	"2800"	"1"	"4200"	"100039"	"7"	"100040"	"0"	""	""	
"11000107"	"7"	"1"	"160.000000"	"12"	"23.000000"	"0.600000"	"4"	"100040"	"2"	"-1"	"-1"	"3200"	"1"	"5600"	"100039"	"7"	"100040"	"2"	""	""	
"11000108"	"8"	"1"	"184.000000"	"12"	"26.000000"	"0.550000"	"7"	"100040"	"3"	"-1"	"-1"	"3600"	"1"	"7200"	"100039"	"7"	"100040"	"4"	""	""	
"11000109"	"9"	"1"	"208.000000"	"12"	"30.000000"	"0.500000"	"8"	"100040"	"3"	"-1"	"-1"	"4000"	"1"	"9000"	"100039"	"7"	"100040"	"6"	""	""	
"11000110"	"10"	"1"	"232.000000"	"12"	"33.000000"	"0.500000"	"15"	"100041"	"1"	"-1"	"-1"	"4400"	"1"	"11000"	"100039"	"7"	"100040"	"8"	""	""	
"11000111"	"11"	"1"	"272.000000"	"12"	"39.000000"	"0.500000"	"18"	"100041"	"1"	"-1"	"-1"	"4800"	"1"	"13200"	"100039"	"7"	"100040"	"8"	"100041"	"1"	
"11000112"	"12"	"1"	"312.000000"	"12"	"45.000000"	"0.500000"	"42"	"100041"	"2"	"-1"	"-1"	"5200"	"1"	"15600"	"100039"	"7"	"100040"	"8"	"100041"	"2"	
"11000113"	"13"	"1"	"352.000000"	"12"	"51.000000"	"0.500000"	"51"	"100041"	"2"	"-1"	"-1"	"5600"	"1"	"18200"	"100039"	"7"	"100040"	"8"	"100041"	"4"	
"11000114"	"14"	"1"	"392.000000"	"12"	"57.000000"	"0.500000"	"66"	"100041"	"2"	"-1"	"-1"	"6000"	"1"	"21000"	"100039"	"7"	"100040"	"8"	"100041"	"6"	
"11000115"	"15"	"1"	"432.000000"	"12"	"63.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1"	"24000"	"100039"	"7"	"100040"	"8"	"100041"	"8"	
"11000200"	"0"	"0"	"960.000000"	"14"	"4.000000"	"1.000000"	"0"	"100039"	"1"	"-1"	"-1"	"400"	"1"	"0"	""	""	""	""	""	""	
"11000201"	"1"	"0"	"1440.000000"	"14"	"6.000000"	"1.000000"	"0"	"100039"	"2"	"-1"	"-1"	"800"	"1"	"200"	"100039"	"0"	""	""	""	""	
"11000202"	"2"	"0"	"1920.000000"	"14"	"8.000000"	"1.000000"	"1"	"100039"	"3"	"-1"	"-1"	"1200"	"1"	"600"	"100039"	"1"	""	""	""	""	
"11000203"	"3"	"0"	"2400.000000"	"14"	"11.000000"	"0.800000"	"1"	"100039"	"4"	"-1"	"-1"	"1600"	"1"	"1200"	"100039"	"3"	""	""	""	""	
"11000204"	"4"	"0"	"2880.000000"	"14"	"13.000000"	"0.750000"	"2"	"100039"	"5"	"-1"	"-1"	"2000"	"1"	"2000"	"100039"	"5"	""	""	""	""	
"11000205"	"5"	"0"	"3360.000000"	"14"	"16.000000"	"0.700000"	"2"	"100040"	"1"	"-1"	"-1"	"2400"	"1"	"3000"	"100039"	"7"	""	""	""	""	
"11000206"	"6"	"0"	"4080.000000"	"14"	"19.000000"	"0.650000"	"3"	"100040"	"2"	"-1"	"-1"	"2800"	"1"	"4200"	"100039"	"7"	"100040"	"0"	""	""	
"11000207"	"7"	"0"	"4800.000000"	"14"	"23.000000"	"0.600000"	"4"	"100040"	"2"	"-1"	"-1"	"3200"	"1"	"5600"	"100039"	"7"	"100040"	"2"	""	""	
