"id"	"等级区间（低）"	"等级区间（高）"	"类型0:1v1,1:3v3"	"积分下限"	"积分上限"	"奖励1"	"奖励2"	"奖励3"	"奖励4"	"奖励5"	"每日奖励次数"	"首胜奖励倍率"	""	
"id"	"min_level"	"max_level"	"mode"	"score_min"	"score_max"	"prize_1"	"prize_2"	"prize_3"	"prize_4"	"prize_5"	"prize_times"	"first_win_rate"	""	
"int"	"int"	"int"	"int"	"int"	"int"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int"	"int"	""	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	""	
"1"	"20"	"29"	"0"	"0"	"1199"	"100021,70"	""	""	""	""	"5"	"1"	""	
"2"	"30"	"39"	"0"	"1200"	"1499"	"100021,75"	""	""	""	""	"5"	"1"	""	
"3"	"40"	"49"	"0"	"1500"	"1799"	"100021,80"	""	""	""	""	"5"	"1"	""	
"4"	"50"	"59"	"0"	"1800"	"2099"	"100021,85"	""	""	""	""	"5"	"1"	""	
"5"	"60"	"69"	"0"	"2100"	"2399"	"100021,90"	""	""	""	""	"5"	"1"	""	
"6"	"70"	"79"	"0"	"2400"	"2699"	"100021,95"	""	""	""	""	"5"	"1"	""	
"7"	""	""	"0"	"2700"	"3000"	"100021,100"	""	""	""	""	"5"	"1"	""	
"8"	"20"	"29"	"1"	"0"	"1199"	"100021,120"	""	""	""	""	"3"	"1"	""	
"9"	"30"	"39"	"1"	"1200"	"1499"	"100021,125"	""	""	""	""	"3"	"1"	""	
"10"	"40"	"49"	"1"	"1500"	"1799"	"100021,130"	""	""	""	""	"3"	"1"	""	
"11"	"50"	"59"	"1"	"1800"	"2099"	"100021,135"	""	""	""	""	"3"	"1"	""	
"12"	"60"	"69"	"1"	"2100"	"2399"	"100021,140"	""	""	""	""	"3"	"1"	""	
"13"	"70"	"79"	"1"	"2400"	"2699"	"100021,145"	""	""	""	""	"3"	"1"	""	
"14"	""	""	"1"	"2700"	"3000"	"100021,150"	""	""	""	""	"3"	"1"	""	
