"建筑等级"	"猎龙成功概率"	"金色概率"	"金色id"	"紫色概率"	"紫色id"	"普通id"	"金币猎龙花费"	"翻倍奖励花费"	"奖励（基础-金色-紫色-普通）"	
"guildLv"	"succedChance"	"chanceA"	"idA"	"chanceB"	"idB"	"idC"	"goldPrice"	"doubleRewardPrice"	"devotion"	
"int"	"int"	"int"	"int[]"	"int"	"int[]"	"int[]"	"int"	"int"	"int[4]"	
"cs"	"s"	"s"	"s"	"s"	"s"	"s"	"cs"	"cs"	"cs"	
"1"	"5000"	"1000"	"21307"	"2000"	"21308"	"21309"	"10"	"20"	"1000,10000,5000,2000"	
"2"	"5000"	"1000"	"21307"	"2000"	"21308"	"21309"	"10"	"20"	"1000,10000,5000,2000"	
"3"	"5000"	"1000"	"21307"	"2000"	"21308"	"21309"	"10"	"20"	"1000,10000,5000,2000"	
"4"	"5000"	"1000"	"21307"	"2000"	"21308"	"21309"	"10"	"20"	"1000,10000,5000,2000"	
"5"	"5000"	"1000"	"21307"	"2000"	"21308"	"21309"	"10"	"20"	"1000,10000,5000,2000"	
"6"	"5000"	"1000"	"21307"	"2000"	"21308"	"21309"	"10"	"20"	"1000,10000,5000,2000"	
"7"	"5000"	"1000"	"21307"	"2000"	"21308"	"21309"	"10"	"20"	"1000,10000,5000,2000"	
"8"	"5000"	"1000"	"21307"	"2000"	"21308"	"21309"	"10"	"20"	"1000,10000,5000,2000"	
"9"	"5000"	"1000"	"21307"	"2000"	"21308"	"21309"	"10"	"20"	"1000,10000,5000,2000"	
"10"	"5000"	"1000"	"21307"	"2000"	"21308"	"21309"	"10"	"20"	"1000,10000,5000,2000"	
