"玩家等级"	"凛冬金币完成花费"	"凛冬通关奖励经验"	"凛冬通关奖励物品1"	"凛冬通关奖励物品2"	"凛冬通关奖励物品3"	"凛冬通关奖励物品4"	"凛冬通关奖励物品5"	"凛冬哥林布宝箱"	"凛冬格林布宝箱掉落ID"	"龙域金币完成花费"	"龙域每天可领奖次数"	"龙域通关奖励经验"	"龙域通关奖励物品1"	"龙域通关奖励物品2"	"龙域通关奖励物品3"	"龙域通关奖励物品4"	"龙域VIP0奖励物品1"	"龙域VIP0奖励物品2"	"龙域VIP1奖励物品1"	"龙域VIP1奖励物品2"	"龙域VIP2奖励物品1"	"龙域VIP2奖励物品2"	"龙域VIP3奖励物品1"	"龙域VIP3奖励物品2"	"龙域VIP4奖励物品1"	"龙域VIP4奖励物品2"	"龙域VIP5奖励物品1"	"龙域VIP5奖励物品2"	"龙域VIP6奖励物品1"	"龙域VIP6奖励物品2"	"龙域VIP7奖励物品1"	"龙域VIP7奖励物品2"	"龙域VIP8奖励物品1"	"龙域VIP8奖励物品2"	"龙域VIP9奖励物品1"	"龙域VIP9奖励物品2"	"龙域VIP10奖励物品1"	"龙域VIP10奖励物品2"	"龙域VIP11奖励物品1"	"龙域VIP11奖励物品2"	"龙域VIP12奖励物品1"	"龙域VIP12奖励物品2"	"龙域VIP13奖励物品1"	"龙域VIP13奖励物品2"	
"lv"	"goldFinishSpend"	"rewardExp"	"rewardItem1"	"rewardItem2"	"rewardItem3"	"rewardItem4"	"rewardItem5"	"chest"	"chestDropId"	"LongYu_goldFinishSpend"	"LongYu_rewardTimes"	"LongYu_rewardExp"	"LongYu_rewardItem1"	"LongYu_rewardItem2"	"LongYu_rewardItem3"	"LongYu_rewardItem4"	"LongYu_vip0Item1"	"LongYu_vip0Item2"	"LongYu_vip1Item1"	"LongYu_vip1Item2"	"LongYu_vip2Item1"	"LongYu_vip2Item2"	"LongYu_vip3Item1"	"LongYu_vip3Item2"	"LongYu_vip4Item1"	"LongYu_vip4Item2"	"LongYu_vip5Item1"	"LongYu_vip5Item2"	"LongYu_vip6Item1"	"LongYu_vip6Item2"	"LongYu_vip7Item1"	"LongYu_vip7Item2"	"LongYu_vip8Item1"	"LongYu_vip8Item2"	"LongYu_vip9Item1"	"LongYu_vip9Item2"	"LongYu_vip10Item1"	"LongYu_vip10Item2"	"LongYu_vip11Item1"	"LongYu_vip11Item2"	"LongYu_vip12Item1"	"LongYu_vip12Item2"	"LongYu_vip13Item1"	"LongYu_vip13Item2"	
"int"	"int"	"int"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int"	"int"	"int"	"int"	"int"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"12"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"13"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"14"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"15"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"16"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"17"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"18"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"19"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"22"	"30"	""	""	""	""	""	""	""	""	"30"	"1"	"15000"	"561001,2"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
