"ID"	"背包解锁的格子"	"消耗时间（单位S）"	"消耗元宝"	"消耗背包扩充符（100042）数量"	"仓库解锁的格子"	"消耗时间（单位S）"	"消耗元宝"	
"id"	"unlock_bag"	"bagcost_time"	"bagcost_money"	"bagcost_item_num"	"unlock_store"	"storecost_time"	"storecost_money"	
"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"29"	"1"	"10"	"1"	"36"	"600"	"10"	
"2"	"30"	"1"	"10"	"1"	"37"	"1200"	"10"	
"3"	"31"	"1"	"10"	"1"	"38"	"1800"	"10"	
"4"	"32"	"1"	"10"	"1"	"39"	"2400"	"10"	
"5"	"33"	"1"	"10"	"1"	"40"	"3000"	"10"	
"6"	"34"	"1"	"10"	"1"	"41"	"3600"	"10"	
"7"	"35"	"1"	"10"	"1"	"42"	"4200"	"10"	
"8"	"36"	"1"	"10"	"1"	"43"	"4800"	"10"	
"9"	"37"	"1"	"10"	"1"	"44"	"5400"	"10"	
"10"	"38"	"1"	"10"	"1"	"45"	"6000"	"10"	
"11"	"39"	"1"	"10"	"1"	"46"	"6600"	"10"	
"12"	"40"	"1"	"10"	"1"	"47"	"7200"	"10"	
"13"	"41"	"1"	"10"	"1"	"48"	"7800"	"10"	
"14"	"42"	"1"	"10"	"1"	"49"	"8400"	"10"	
"15"	"43"	"1"	"10"	"1"	"50"	"9000"	"10"	
"16"	"44"	"1"	"10"	"1"	"51"	"9600"	"10"	
"17"	"45"	"1"	"10"	"1"	"52"	"10200"	"10"	
"18"	"46"	"600"	"10"	"1"	"53"	"10800"	"10"	
"19"	"47"	"1200"	"10"	"1"	"54"	"11400"	"10"	
"20"	"48"	"1800"	"10"	"1"	"55"	"12000"	"10"	
"21"	"49"	"2400"	"10"	"1"	"56"	"12600"	"10"	
"22"	"50"	"3000"	"10"	"1"	"57"	"13200"	"10"	
"23"	"51"	"3600"	"10"	"1"	"58"	"13800"	"10"	
"24"	"52"	"4200"	"10"	"1"	"59"	"14400"	"10"	
"25"	"53"	"4800"	"10"	"1"	"60"	"15000"	"10"	
"26"	"54"	"5400"	"10"	"1"	"61"	"15600"	"10"	
"27"	"55"	"6000"	"10"	"1"	"62"	"16200"	"10"	
