"id"	"法阵ID"	""	""	""	""	
"id"	"CircleID"	""	""	""	""	
"int"	"int"	""	""	""	""	
"cs"	"cs"	""	""	""	""	
"530001"	"1001"	""	""	""	""	
"531021"	"2001"	""	""	""	""	
"531022"	"2002"	""	""	""	""	
"531023"	"2003"	""	""	""	""	
"531024"	"2004"	""	""	""	""	
"531025"	"2009"	""	""	""	""	
"531026"	"2010"	""	""	""	""	
"531027"	"2013"	""	""	""	""	
"531028"	"2015"	""	""	""	""	
"531029"	"2017"	""	""	""	""	
"532021"	"2005"	""	""	""	""	
"532022"	"2006"	""	""	""	""	
"532023"	"2007"	""	""	""	""	
"532024"	"2008"	""	""	""	""	
"532025"	"2011"	""	""	""	""	
"532026"	"2012"	""	""	""	""	
"532027"	"2014"	""	""	""	""	
"532028"	"2016"	""	""	""	""	
"532029"	"2018"	""	""	""	""	
