"顺延ID"	"装备位（0-11）"	"该槽位对应宝石类型"	"宝石名（注释）"	"宝石对应装备多少级开放"	"开启槽位需要道具"	"开启槽位道具数量"	"未开启说明"	"职业（1-3对应战弓法）"	"该槽位对应1级宝石"	"特殊槽位对应宝石类型"	"普通宝石孔需要宝石子类型名称"	
"id"	"equipIndex"	"gemSubType"	""	"gemOpenlevel"	"OpenGemSlotCostItem_id"	"OpenGemSlotCostItem_num"	"closeTips"	"profession"	"buyGemId"	"specGemSubType"	"stringIds"	
"int"	"int"	"int[5]"	""	"int[5]"	"int[5]"	"int[5]"	"string[6]"	"int"	"int[5]"	"int[]"	"int[]"	
"cs"	"cs"	"cs"	""	"cs"	"cs"	"cs"	"c"	"cs"	"cs"	"cs"	"c"	
"1"	"0"	"2,2,2,6,8"	"攻击、攻击、攻击、暴击值、穿透值"	"60,60,60,60,60"	"100050,100050,100050,100050,100050"	"1,1,1,1,1"	""	"1"	"700105,700105,700105,0,0"	""	""	
"2"	"1"	"1,3,2,9,4"	"生命值、防御、攻击、格挡值、命中值"	"60,60,60,60,60"	"100050,100050,100050,100050,100050"	"1,1,1,1,1"	""	"1"	"700105,700105,700105,0,0"	""	""	
"3"	"2"	"1,3,1,7,9"	"生命值、防御、生命值、韧性值、格挡值"	"60,60,60,60,60"	"100050,100050,100050,100050,100050"	"1,1,1,1,1"	""	"1"	"700105,700105,700105,0,0"	""	""	
"4"	"3"	"3,2,2,5,6"	"防御、攻击、攻击、闪避值、暴击值"	"60,60,60,70,70"	"100050,100050,100050,100050,100050"	"1,1,1,1,1"	""	"1"	"700105,700105,700105,0,0"	""	""	
"5"	"4"	"2,1,3,8,9"	"攻击、生命值、防御、穿透值、格挡值"	"60,60,60,70,70"	"100050,100050,100050,100050,100050"	"1,1,1,1,1"	""	"1"	"700105,700105,700105,0,0"	"13,14,15,16,9,10"	"100935,100935,100935"	
"6"	"5"	"2,1,3,4,5"	"攻击、生命值、防御、命中值、闪避值"	"60,60,60,70,70"	"100050,100050,100050,100050,100050"	"1,1,1,1,1"	""	"1"	"700107,700108,700103,0,0"	"13,14,15,16,11,12"	"100937,100938,100933"	
"7"	"6"	"2,2,3,9,8"	"攻击、攻击、防御、格挡值、穿透值"	"60,60,60,70,70"	"100050,100050,100050,100050,100050"	"1,1,1,1,1"	""	"1"	"700107,700108,700103,0,0"	"13,14,15,16,11,12"	"100937,100938,100933"	
"8"	"7"	"1,2,1,5,4"	"生命值、攻击、生命值、闪避值、命中值"	"80,80,80,100,100"	"100050,100050,100050,100050,100050"	"2,2,2,5,5"	""	"1"	"700107,700108,700103,0,0"	"13,14,15,16,11,12"	"100937,100938,100933"	
"9"	"8"	"2,1,1,6,7"	"攻击、生命值、生命值、暴击值、韧性值"	"80,80,80,100,100"	"100050,100050,100050,100050,100050"	"2,2,2,5,5"	""	"1"	"700107,700108,700103,0,0"	"13,14,15,16,11,12"	"100937,100938,100933"	
"10"	"9"	"1,2,2,4,7"	"生命值、攻击、攻击、命中值、韧性值"	"90,90,90,100,100"	"100050,100050,100050,100050,100050"	"3,3,3,5,5"	""	"1"	"700101,700101,700105,0,0"	"17,18,19,20,9,10"	"100931,100931,100935"	
"11"	"10"	"1,2,2,8,5"	"生命值、攻击、攻击、穿透值、闪避值"	"90,90,90,100,100"	"100050,100050,100050,100050,100050"	"3,3,3,5,5"	""	"1"	"700107,700108,700103,0,1"	"13,14,15,16,11,13"	"100937,100938,100934"	
"12"	"11"	"2,2,3,7,6"	"攻击、攻击、防御、韧性值、暴击值"	"60,60,60,60,60"	"100050,100050,100050,100050,100050"	"1,1,1,1,1"	""	"1"	"700101,700101,700105,0,1"	"17,18,19,20,9,11"	"100931,100931,100936"	
