"ID(签到年份+月份+签到天数)"	"奖励ID"	"奖励数量"	""	""	
"id"	"item_id"	"item_num"	""	""	
"int"	"int[]"	"int[]"	""	""	
"cs"	"cs"	"cs"	""	""	
"20160501"	"100004"	"50"	""	""	
"20160502"	"100001"	"200000"	""	""	
"20160503"	"110201"	"5"	""	""	
"20160504"	"100036"	"10"	""	""	
"20160505"	"110301"	"5"	""	""	
"20160506"	"100202"	"2"	""	""	
"20160507"	"110101"	"5"	""	""	
"20160508"	"100004"	"50"	""	""	
"20160509"	"100001"	"200000"	""	""	
"20160510"	"110201"	"5"	""	""	
"20160511"	"100036"	"10"	""	""	
"20160512"	"110301"	"5"	""	""	
"20160513"	"100202"	"2"	""	""	
"20160514"	"110101"	"5"	""	""	
"20160515"	"100004"	"50"	""	""	
"20160516"	"100001"	"200000"	""	""	
"20160517"	"110201"	"5"	""	""	
"20160518"	"100036"	"10"	""	""	
"20160519"	"110301"	"5"	""	""	
"20160520"	"100202"	"2"	""	""	
"20160521"	"110101"	"5"	""	""	
"20160522"	"100004"	"50"	""	""	
"20160523"	"100001"	"200000"	""	""	
"20160524"	"110201"	"5"	""	""	
"20160525"	"100036"	"10"	""	""	
"20160526"	"110301"	"5"	""	""	
"20160527"	"100202"	"2"	""	""	
"20160528"	"110101"	"5"	""	""	
"20160529"	"100004"	"50"	""	""	
"20160530"	"100001"	"200000"	""	""	
"20160531"	"110201"	"5"	""	""	
"20160601"	"100036"	"10"	""	""	
"20160602"	"110301"	"5"	""	""	
"20160603"	"100202"	"2"	""	""	
"20160604"	"110101"	"5"	""	""	
"20160605"	"100004"	"50"	""	""	
"20160606"	"100001"	"200000"	""	""	
"20160607"	"110201"	"5"	""	""	
"20160608"	"100036"	"10"	""	""	
"20160609"	"110301"	"5"	""	""	
"20160610"	"100202"	"2"	""	""	
"20160611"	"110101"	"5"	""	""	
"20160612"	"100004"	"50"	""	""	
"20160613"	"100001"	"200000"	""	""	
"20160614"	"110201"	"5"	""	""	
"20160615"	"100036"	"10"	""	""	
"20160616"	"110301"	"5"	""	""	
"20160617"	"100202"	"2"	""	""	
"20160618"	"110101"	"5"	""	""	
"20160619"	"100004"	"50"	""	""	
"20160620"	"100001"	"200000"	""	""	
"20160621"	"110201"	"5"	""	""	
"20160622"	"100036"	"10"	""	""	
"20160623"	"110301"	"5"	""	""	
"20160624"	"100202"	"2"	""	""	
"20160625"	"110101"	"5"	""	""	
"20160626"	"100004"	"50"	""	""	
"20160627"	"100001"	"200000"	""	""	
"20160628"	"110201"	"5"	""	""	
"20160629"	"100036"	"10"	""	""	
"20160630"	"110301"	"5"	""	""	
"20160701"	"100202"	"2"	""	""	
"20160702"	"110101"	"5"	""	""	
"20160703"	"100004"	"50"	""	""	
"20160704"	"100001"	"200000"	""	""	
"20160705"	"110201"	"5"	""	""	
"20160706"	"100036"	"10"	""	""	
"20160707"	"110301"	"5"	""	""	
"20160708"	"100202"	"2"	""	""	
"20160709"	"110101"	"5"	""	""	
"20160710"	"100004"	"50"	""	""	
"20160711"	"100001"	"200000"	""	""	
"20160712"	"110201"	"5"	""	""	
"20160713"	"100036"	"10"	""	""	
"20160714"	"110301"	"5"	""	""	
"20160715"	"100202"	"2"	""	""	
"20160716"	"110101"	"5"	""	""	
"20160717"	"100004"	"50"	""	""	
"20160718"	"100001"	"200000"	""	""	
"20160719"	"110201"	"5"	""	""	
"20160720"	"100036"	"10"	""	""	
"20160721"	"110301"	"5"	""	""	
"20160722"	"100202"	"2"	""	""	
"20160723"	"110101"	"5"	""	""	
"20160724"	"100004"	"50"	""	""	
"20160725"	"100001"	"200000"	""	""	
"20160726"	"110201"	"5"	""	""	
"20160727"	"100036"	"10"	""	""	
"20160728"	"110301"	"5"	""	""	
"20160729"	"100202"	"2"	""	""	
"20160730"	"110101"	"5"	""	""	
"20160731"	"100004"	"50"	""	""	
"20160801"	"100001"	"200000"	""	""	
"20160802"	"110201"	"5"	""	""	
"20160803"	"100036"	"10"	""	""	
"20160804"	"110301"	"5"	""	""	
"20160805"	"100202"	"2"	""	""	
"20160806"	"110101"	"5"	""	""	
"20160807"	"100004"	"50"	""	""	
"20160808"	"100001"	"200000"	""	""	
"20160809"	"110201"	"5"	""	""	
"20160810"	"100036"	"10"	""	""	
"20160811"	"110301"	"5"	""	""	
"20160812"	"100202"	"2"	""	""	
"20160813"	"110101"	"5"	""	""	
"20160814"	"100004"	"50"	""	""	
"20160815"	"100001"	"200000"	""	""	
"20160816"	"110201"	"5"	""	""	
"20160817"	"100036"	"10"	""	""	
"20160818"	"110301"	"5"	""	""	
"20160819"	"100202"	"2"	""	""	
"20160820"	"110101"	"5"	""	""	
"20160821"	"100004"	"50"	""	""	
"20160822"	"100001"	"200000"	""	""	
"20160823"	"110201"	"5"	""	""	
"20160824"	"100036"	"10"	""	""	
"20160825"	"110301"	"5"	""	""	
"20160826"	"100202"	"2"	""	""	
"20160827"	"110101"	"5"	""	""	
"20160828"	"100004"	"50"	""	""	
"20160829"	"100001"	"200000"	""	""	
"20160830"	"110201"	"5"	""	""	
"20160831"	"100036"	"10"	""	""	
"20160901"	"110301"	"5"	""	""	
"20160902"	"100202"	"2"	""	""	
"20160903"	"110101"	"5"	""	""	
"20160904"	"100004"	"50"	""	""	
"20160905"	"100001"	"200000"	""	""	
"20160906"	"110201"	"5"	""	""	
"20160907"	"100036"	"10"	""	""	
"20160908"	"110301"	"5"	""	""	
"20160909"	"100202"	"2"	""	""	
"20160910"	"110101"	"5"	""	""	
"20160911"	"100004"	"50"	""	""	
"20160912"	"100001"	"200000"	""	""	
"20160913"	"110201"	"5"	""	""	
"20160914"	"100036"	"10"	""	""	
"20160915"	"110301"	"5"	""	""	
"20160916"	"100202"	"2"	""	""	
"20160917"	"110101"	"5"	""	""	
"20160918"	"100004"	"50"	""	""	
"20160919"	"100001"	"200000"	""	""	
"20160920"	"110201"	"5"	""	""	
"20160921"	"100036"	"10"	""	""	
"20160922"	"110301"	"5"	""	""	
"20160923"	"100202"	"2"	""	""	
"20160924"	"110101"	"5"	""	""	
"20160925"	"100004"	"50"	""	""	
"20160926"	"100001"	"200000"	""	""	
"20160927"	"110201"	"5"	""	""	
"20160928"	"100036"	"10"	""	""	
"20160929"	"110301"	"5"	""	""	
"20160930"	"100202"	"2"	""	""	
"20161001"	"110101"	"5"	""	""	
"20161002"	"100004"	"50"	""	""	
"20161003"	"100001"	"200000"	""	""	
"20161004"	"110201"	"5"	""	""	
"20161005"	"100036"	"10"	""	""	
"20161006"	"110301"	"5"	""	""	
"20161007"	"100202"	"2"	""	""	
"20161008"	"110101"	"5"	""	""	
"20161009"	"100004"	"50"	""	""	
"20161010"	"100001"	"200000"	""	""	
"20161011"	"110201"	"5"	""	""	
"20161012"	"100036"	"10"	""	""	
"20161013"	"110301"	"5"	""	""	
"20161014"	"100202"	"2"	""	""	
"20161015"	"110101"	"5"	""	""	
"20161016"	"100004"	"50"	""	""	
"20161017"	"100001"	"200000"	""	""	
"20161018"	"110201"	"5"	""	""	
"20161019"	"100036"	"10"	""	""	
"20161020"	"110301"	"5"	""	""	
"20161021"	"100202"	"2"	""	""	
"20161022"	"110101"	"5"	""	""	
"20161023"	"100004"	"50"	""	""	
"20161024"	"100001"	"200000"	""	""	
"20161025"	"110201"	"5"	""	""	
"20161026"	"100036"	"10"	""	""	
"20161027"	"110301"	"5"	""	""	
"20161028"	"100202"	"2"	""	""	
"20161029"	"110101"	"5"	""	""	
"20161030"	"100004"	"50"	""	""	
"20161031"	"100001"	"200000"	""	""	
"20161101"	"110201"	"5"	""	""	
"20161102"	"100036"	"10"	""	""	
"20161103"	"110301"	"5"	""	""	
"20161104"	"100202"	"2"	""	""	
"20161105"	"110101"	"5"	""	""	
"20161106"	"100004"	"50"	""	""	
"20161107"	"100001"	"200000"	""	""	
"20161108"	"110201"	"5"	""	""	
"20161109"	"100036"	"10"	""	""	
"20161110"	"110301"	"5"	""	""	
"20161111"	"100202"	"2"	""	""	
"20161112"	"110101"	"5"	""	""	
"20161113"	"100004"	"50"	""	""	
"20161114"	"100001"	"200000"	""	""	
"20161115"	"110201"	"5"	""	""	
"20161116"	"100036"	"10"	""	""	
"20161117"	"110301"	"5"	""	""	
"20161118"	"100202"	"2"	""	""	
"20161119"	"110101"	"5"	""	""	
"20161120"	"100004"	"50"	""	""	
"20161121"	"100001"	"200000"	""	""	
"20161122"	"110201"	"5"	""	""	
"20161123"	"100036"	"10"	""	""	
"20161124"	"110301"	"5"	""	""	
"20161125"	"100202"	"2"	""	""	
"20161126"	"110101"	"5"	""	""	
"20161127"	"100004"	"50"	""	""	
"20161128"	"100001"	"200000"	""	""	
"20161129"	"110201"	"5"	""	""	
"20161130"	"100036"	"10"	""	""	
"20161201"	"110301"	"5"	""	""	
"20161202"	"100202"	"2"	""	""	
"20161203"	"110101"	"5"	""	""	
"20161204"	"100004"	"50"	""	""	
"20161205"	"100001"	"200000"	""	""	
"20161206"	"110201"	"5"	""	""	
"20161207"	"100036"	"10"	""	""	
"20161208"	"110301"	"5"	""	""	
"20161209"	"100202"	"2"	""	""	
"20161210"	"110101"	"5"	""	""	
"20161211"	"100004"	"50"	""	""	
"20161212"	"100001"	"200000"	""	""	
"20161213"	"110201"	"5"	""	""	
"20161214"	"100036"	"10"	""	""	
"20161215"	"110301"	"5"	""	""	
"20161216"	"100202"	"2"	""	""	
"20161217"	"110101"	"5"	""	""	
"20161218"	"100004"	"50"	""	""	
"20161219"	"100001"	"200000"	""	""	
"20161220"	"110201"	"5"	""	""	
"20161221"	"100036"	"10"	""	""	
"20161222"	"110301"	"5"	""	""	
"20161223"	"100202"	"2"	""	""	
"20161224"	"110101"	"5"	""	""	
"20161225"	"100004"	"50"	""	""	
"20161226"	"100001"	"200000"	""	""	
"20161227"	"110201"	"5"	""	""	
"20161228"	"100036"	"10"	""	""	
"20161229"	"110301"	"5"	""	""	
"20161230"	"100202"	"2"	""	""	
"20161231"	"110101"	"5"	""	""	
"20170101"	"100004"	"50"	""	""	
"20170102"	"100004"	"50"	""	""	
"20170103"	"100004"	"50"	""	""	
"20170104"	"100004"	"50"	""	""	
"20170105"	"100004"	"50"	""	""	
"20170106"	"100004"	"50"	""	""	
"20170107"	"100004"	"50"	""	""	
"20170108"	"100004"	"50"	""	""	
"20170109"	"100004"	"50"	""	""	
"20170110"	"100004"	"50"	""	""	
"20170111"	"100004"	"50"	""	""	
"20170112"	"100004"	"50"	""	""	
"20170113"	"100004"	"50"	""	""	
"20170114"	"100004"	"50"	""	""	
"20170115"	"100004"	"50"	""	""	
"20170116"	"100004"	"50"	""	""	
"20170117"	"100004"	"50"	""	""	
"20170118"	"100004"	"50"	""	""	
"20170119"	"100004"	"50"	""	""	
"20170120"	"100004"	"50"	""	""	
"20170121"	"100004"	"50"	""	""	
"20170122"	"100004"	"50"	""	""	
"20170123"	"100004"	"50"	""	""	
"20170124"	"100004"	"50"	""	""	
"20170125"	"100004"	"50"	""	""	
"20170126"	"100004"	"50"	""	""	
