"ID"	"刷怪组数量"	"组1-模型大小缩放和位置去PublicConstConfig里调整"	"组2"	"组3"	"组4"	"组5"	"组6"	"组7"	"组8"	
"id"	"random_cnt"	"grop_1"	"grop_2"	"grop_3"	"grop_4"	"grop_5"	"grop_6"	"grop_7"	"grop_8"	
"int"	"int"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	
"cs"	"s"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"10041"	"3"	"44107,0,0"	"44108,0,0"	"44109,0,0"	""	""	""	""	""	
"10042"	"6"	"44121,44122,0"	"44122,44123,0"	"44123,44124,0"	"44124,44125,0"	"44125,44126,0"	"44121,44126,0"	""	""	
"10043"	"6"	"44141,44142,44143"	"44142,44143,44144"	"44143,44144,44145"	"44144,44145,44146"	"44141,44143,44145"	"44142,44144,44146"	""	""	
"10081"	"6"	"44201,0,0"	"44202,0,0"	"44203,0,0"	"44204,0,0"	"44205,0,0"	"44206,0,0"	""	""	
"10082"	"5"	"44221,44222,0"	"44222,44223,0"	"44223,44224,0"	"44224,44225,0"	"44225,44226,0"	""	""	""	
"10083"	"4"	"44241,44242,44243"	"44242,44243,44244"	"44243,44244,44245"	"44244,44245,44246"	""	""	""	""	
"10121"	"6"	"44301,0,0"	"44302,0,0"	"44303,0,0"	"44304,0,0"	"44305,0,0"	"44306,0,0"	""	""	
"10122"	"5"	"44321,44322,0"	"44322,44323,0"	"44323,44324,0"	"44324,44325,0"	"44325,44326,0"	""	""	""	
"10123"	"4"	"44341,44342,44343"	"44342,44343,44344"	"44343,44344,44345"	"44344,44345,44346"	""	""	""	""	
"10161"	"6"	"44401,0,0"	"44402,0,0"	"44403,0,0"	"44404,0,0"	"44405,0,0"	"44406,0,0"	""	""	
"10162"	"5"	"44421,44422,0"	"44422,44423,0"	"44423,44424,0"	"44424,44425,0"	"44425,44426,0"	""	""	""	
"10163"	"4"	"44441,44442,44443"	"44442,44443,44444"	"44443,44444,44445"	"44444,44445,44446"	""	""	""	""	
"10201"	"6"	"44501,0,0"	"44502,0,0"	"44503,0,0"	"44504,0,0"	"44505,0,0"	"44506,0,0"	""	""	
"10202"	"5"	"44521,44522,0"	"44522,44523,0"	"44523,44524,0"	"44524,44525,0"	"44525,44526,0"	""	""	""	
"10203"	"4"	"44541,44542,44543"	"44542,44543,44544"	"44543,44544,44545"	"44544,44545,44546"	""	""	""	""	
"10251"	"6"	"44801,0,0"	"44802,0,0"	"44803,0,0"	"44804,0,0"	"44805,0,0"	"44806,0,0"	""	""	
"10252"	"5"	"44821,44822,0"	"44822,44823,0"	"44823,44824,0"	"44824,44825,0"	"44825,44826,0"	""	""	""	
"10253"	"4"	"44841,44842,44843"	"44842,44843,44844"	"44843,44844,44545"	"44844,44845,44846"	""	""	""	""	
