"雕像等级"	"增益效果"	"buff1图片"	"增益效果"	"buff2图片"	"增益效果"	"buff3图片"	"增益效果"	"buff4图片"	"增益效果"	"buff5图片"	"增益效果"	"银币捐献消耗(0=银币1=金币2=贡献)"	"银币捐献收益"	"金币捐献消耗(0=银币1=金币2=贡献)"	"金币捐献收益"	"至尊捐献消耗(0=银币1=金币2=贡献)"	"至尊权限收益"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"level"	"buff_1"	"image_1"	"buff_2"	"image_2"	"buff_3"	"image_3"	"buff_4"	"image_4"	"buff_5"	"image_5"	"buff_6"	"silver_donate_cost"	"silver_donate_gain"	"gold_donate_cost"	"gold_donate_gain"	"prime_donate_cost"	"prime_donate_gain"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"int"	"int"	"string[]"	"int"	"string[]"	"int"	"string[]"	"int"	"string[]"	"int"	"string[]"	"int"	"int[]"	"int"	"int[]"	"int"	"int[]"	"int"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"cs"	"cs"	"c"	"cs"	"c"	"cs"	"c"	"cs"	"c"	"cs"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1"	"800000"	"iguld_pve_level_image_2013png,buff1"	""	"iguld_pve_level_image_2013png,buff4"	""	"iguld_pve_level_image_2013png,buff3"	""	"iguld_pve_level_image_2013png,buff5"	""	"iguld_pve_level_image_2013png,buff2"	""	"100001,50000"	"160"	"100003,10"	"160"	"100003,100"	"1600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2"	"800001"	"iguld_pve_level_image_2013png,buff1"	"800011"	"iguld_pve_level_image_2013png,buff4"	""	"iguld_pve_level_image_2013png,buff3"	""	"iguld_pve_level_image_2013png,buff5"	""	"iguld_pve_level_image_2013png,buff2"	""	"100001,50000"	"180"	"100003,10"	"180"	"100003,100"	"1800"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3"	"800002"	"iguld_pve_level_image_2013png,buff1"	"800012"	"iguld_pve_level_image_2013png,buff4"	"800022"	"iguld_pve_level_image_2013png,buff3"	""	"iguld_pve_level_image_2013png,buff5"	""	"iguld_pve_level_image_2013png,buff2"	""	"100001,50000"	"200"	"100003,10"	"200"	"100003,100"	"2000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4"	"800003"	"iguld_pve_level_image_2013png,buff1"	"800013"	"iguld_pve_level_image_2013png,buff4"	"800023"	"iguld_pve_level_image_2013png,buff3"	"800033"	"iguld_pve_level_image_2013png,buff5"	""	"iguld_pve_level_image_2013png,buff2"	""	"100001,50000"	"220"	"100003,10"	"220"	"100003,100"	"2200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5"	"800004"	"iguld_pve_level_image_2013png,buff1"	"800014"	"iguld_pve_level_image_2013png,buff4"	"800024"	"iguld_pve_level_image_2013png,buff3"	"800034"	"iguld_pve_level_image_2013png,buff5"	"800044"	"iguld_pve_level_image_2013png,buff2"	""	"100001,50000"	"240"	"100003,10"	"240"	"100003,100"	"2400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6"	"800005"	"iguld_pve_level_image_2013png,buff1"	"800015"	"iguld_pve_level_image_2013png,buff4"	"800025"	"iguld_pve_level_image_2013png,buff3"	"800035"	"iguld_pve_level_image_2013png,buff5"	"800045"	"iguld_pve_level_image_2013png,buff2"	""	"100001,50000"	"260"	"100003,10"	"260"	"100003,100"	"2600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7"	"800006"	"iguld_pve_level_image_2013png,buff1"	"800016"	"iguld_pve_level_image_2013png,buff4"	"800026"	"iguld_pve_level_image_2013png,buff3"	"800036"	"iguld_pve_level_image_2013png,buff5"	"800046"	"iguld_pve_level_image_2013png,buff2"	""	"100001,50000"	"280"	"100003,10"	"280"	"100003,100"	"2800"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
