"自增id"	"节日类型"	"排名参数1"	"排名参数2"	"排名奖励"	
"id"	"type"	"rank_point_1"	"rank_point_2"	"rank_reward"	
"int"	"int"	"int"	"int"	"int[2]"	
"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"1"	"1"	"1"	"530899,1"	
"2"	"1"	"2"	"2"	"700609,1"	
"3"	"1"	"3"	"3"	"700509,1"	
"4"	"1"	"4"	"10"	"820002,20"	
"5"	"1"	"11"	"50"	"820002,14"	
"6"	"1"	"51"	"100"	"820002,10"	
"7"	"1"	"101"	"200"	"820002,6"	
"8"	"2"	"1"	"1"	"530940,1"	
"9"	"2"	"2"	"2"	"700612,1"	
"10"	"2"	"3"	"3"	"700512,1"	
"11"	"2"	"4"	"10"	"530717,20"	
"12"	"2"	"11"	"50"	"530717,15"	
"13"	"2"	"51"	"100"	"530717,10"	
"14"	"2"	"101"	"200"	"530717,5"	
"15"	"3"	"1"	"1"	"530940,1"	
"16"	"3"	"2"	"2"	"700611,1"	
"17"	"3"	"3"	"3"	"700511,1"	
"18"	"3"	"4"	"10"	"400214,1"	
"19"	"3"	"11"	"50"	"400200,7"	
"20"	"3"	"51"	"100"	"400200,5"	
"21"	"3"	"101"	"200"	"400200,3"	
