"索引"	"商品顺序"	"道具ID"	"单次出售数量"	"单次购买价格"	"每日限购数量"	"帮派等级限制"	"个人等级限制"	
"ID"	"position"	"item_id"	"item_num"	"item_price"	"buylimit"	"guild_lv"	"person_lv"	
"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"1"	"100039"	"1"	"15"	"50"	""	""	
"2"	"2"	"100040"	"1"	"40"	"20"	""	""	
"3"	"3"	"100036"	"1"	"50"	"40"	""	""	
"4"	"4"	"400001"	"1"	"80"	"40"	""	""	
"5"	"5"	"100043"	"1"	"500"	"3"	""	""	
"6"	"6"	"110101"	"1"	"100"	"10"	""	""	
"7"	"7"	"110201"	"1"	"100"	"10"	"2"	""	
"8"	"8"	"100041"	"1"	"150"	"10"	"2"	""	
"9"	"9"	"570020"	"1"	"400"	"10"	"2"	""	
"10"	"10"	"110404"	"1"	"450"	"2"	"2"	""	
"11"	"11"	"110405"	"1"	"150"	"5"	"2"	""	
"12"	"12"	"110102"	"1"	"500"	"5"	"3"	""	
"13"	"13"	"110301"	"1"	"100"	"10"	"3"	""	
"14"	"14"	"710400"	"1"	"1500"	"1"	"3"	""	
"15"	"15"	"110401"	"1"	"100"	"5"	"3"	""	
"16"	"16"	"110202"	"1"	"500"	"5"	"4"	""	
"17"	"17"	"800231"	"1"	"500"	"5"	"4"	""	
"18"	"18"	"570030"	"1"	"400"	"10"	"4"	""	
"19"	"19"	"110402"	"1"	"500"	"5"	"4"	""	
"20"	"20"	"800061"	"1"	"500"	"5"	"5"	""	
"21"	"21"	"110302"	"1"	"500"	"5"	"5"	""	
"22"	"22"	"550070"	"1"	"200"	"10"	"5"	""	
"23"	"23"	"800291"	"1"	"1000"	"10"	"5"	""	
"24"	"24"	"550050"	"1"	"200"	"10"	"6"	""	
"25"	"25"	"570040"	"1"	"400"	"10"	"6"	""	
