"id"	"名称"	"不填(自动生成)"	""	""	""	""	""	""	""	""	
"id"	"name"	"utf_name"	""	""	""	""	""	""	""	""	
"int"	"string"	"string"	""	""	""	""	""	""	""	""	
"s"	"s"	"s"	""	""	""	""	""	""	""	""	
"0"	"背包扩容"	""	""	""	""	""	""	""	""	""	
"1"	"合成物品"	""	""	""	""	""	""	""	""	""	
"2"	"强化装备"	""	""	""	""	""	""	""	""	""	
"3"	"占星消耗"	""	""	""	""	""	""	""	""	""	
"4"	"升阶装备"	""	""	""	""	""	""	""	""	""	
"5"	"清除强化冷却"	""	""	""	""	""	""	""	""	""	
"6"	"激活祝福属性"	""	""	""	""	""	""	""	""	""	
"7"	"随机祝福属性"	""	""	""	""	""	""	""	""	""	
"8"	"定向祝福属性"	""	""	""	""	""	""	""	""	""	
"9"	"装备精炼"	""	""	""	""	""	""	""	""	""	
"10"	"活动竞拍"	""	""	""	""	""	""	""	""	""	
"11"	"活动buff"	""	""	""	""	""	""	""	""	""	
"12"	"购买物品"	""	""	""	""	""	""	""	""	""	
"13"	"lua脚本"	""	""	""	""	""	""	""	""	""	
"14"	"龙天赋学习锁定消耗"	""	""	""	""	""	""	""	""	""	
"15"	"无用"	""	""	""	""	""	""	""	""	""	
"16"	"无用"	""	""	""	""	""	""	""	""	""	
"17"	"创建联盟"	""	""	""	""	""	""	""	""	""	
"18"	"无用"	""	""	""	""	""	""	""	""	""	
"19"	"花钱复活"	""	""	""	""	""	""	""	""	""	
"20"	"重置精英副本"	""	""	""	""	""	""	""	""	""	
"21"	"无用"	""	""	""	""	""	""	""	""	""	
"22"	"无用"	""	""	""	""	""	""	""	""	""	
"23"	"无用"	""	""	""	""	""	""	""	""	""	
"24"	"无用"	""	""	""	""	""	""	""	""	""	
"25"	"占卜增次"	""	""	""	""	""	""	""	""	""	
"26"	"龙之召唤金币普通刷新"	""	""	""	""	""	""	""	""	""	
"27"	"龙之召唤金币龙笛刷新"	""	""	""	""	""	""	""	""	""	
"28"	"招募龙"	""	""	""	""	""	""	""	""	""	
"29"	"龙培养"	""	""	""	""	""	""	""	""	""	
"30"	"无用"	""	""	""	""	""	""	""	""	""	
"31"	"购买体力值"	""	""	""	""	""	""	""	""	""	
"32"	"通天塔重置"	""	""	""	""	""	""	""	""	""	
"33"	"大逃杀物品"	""	""	""	""	""	""	""	""	""	
"34"	"龙繁殖"	""	""	""	""	""	""	""	""	""	
"35"	"点金术"	""	""	""	""	""	""	""	""	""	
"36"	"坐骑升级"	""	""	""	""	""	""	""	""	""	
"37"	"坐骑扩容"	""	""	""	""	""	""	""	""	""	
"38"	"竞技场下注"	""	""	""	""	""	""	""	""	""	
"39"	"龙传承"	""	""	""	""	""	""	""	""	""	
"40"	"技能升级"	""	""	""	""	""	""	""	""	""	
"41"	"坐骑升阶"	""	""	""	""	""	""	""	""	""	
"42"	"购买公会商店物品"	""	""	""	""	""	""	""	""	""	
"43"	"手动刷新悬赏任务"	""	""	""	""	""	""	""	""	""	
"44"	"完成联盟任务"	""	""	""	""	""	""	""	""	""	
"45"	"瞻仰公会雕像"	""	""	""	""	""	""	""	""	""	
"46"	"塔罗牌翻牌"	""	""	""	""	""	""	""	""	""	
"47"	"塔罗牌重置"	""	""	""	""	""	""	""	""	""	
"48"	"完成云中城任务"	""	""	""	""	""	""	""	""	""	
"49"	"恶魔果树催熟"	""	""	""	""	""	""	""	""	""	
"50"	"金币猎龙"	""	""	""	""	""	""	""	""	""	
"51"	"猎龙双倍奖励"	""	""	""	""	""	""	""	""	""	
"52"	"水晶魔方转动"	""	""	""	""	""	""	""	""	""	
"53"	"家园赌博(风险投资)开始"	""	""	""	""	""	""	""	""	""	
"54"	"家园赌博(风险投资)复活"	""	""	""	""	""	""	""	""	""	
