"等级"	"属性参数"	"男转剑觉醒技能"	"男天威觉醒技能"	"男云锦觉醒技能"	"女转剑觉醒技能"	"女天威觉醒技能"	"女云锦觉醒技能"	
"level"	"attr_param"	"zs_magic_awake"	"gs_magic_awake"	"fs_magic_awake"	"zs_female_magic_awake"	"gs_female_magic_awake"	"fs_female_magic_awake"	
"int"	"int"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"106"	""	""	""	""	""	""	
"2"	"107"	""	""	""	""	""	""	
"3"	"108"	""	""	""	""	""	""	
"4"	"109"	""	""	""	""	""	""	
"5"	"110"	"10100010"	"12000010"	"11000010"	"10200010"	"12100010"	"11100010"	
"6"	"111"	""	""	""	""	""	""	
"7"	"112"	""	""	""	""	""	""	
"8"	"113"	""	""	""	""	""	""	
"9"	"114"	""	""	""	""	""	""	
"10"	"115"	""	""	""	""	""	""	
"11"	"116"	""	""	""	""	""	""	
"12"	"117"	""	""	""	""	""	""	
"13"	"118"	"10100020"	"12000020"	"11000020"	"10200020"	"12100020"	"11100020"	
"14"	"119"	""	""	""	""	""	""	
"15"	"120"	""	""	""	""	""	""	
"16"	"121"	""	""	""	""	""	""	
"17"	"122"	""	""	""	""	""	""	
"18"	"123"	"10100030"	"12000030"	"11000030"	"10200030"	"12100030"	"11100030"	
"19"	"124"	""	""	""	""	""	""	
"20"	"125"	""	""	""	""	""	""	
"21"	"127"	""	""	""	""	""	""	
"22"	"130"	""	""	""	""	""	""	
"23"	"132"	""	""	""	""	""	""	
"24"	"135"	""	""	""	""	""	""	
"25"	"137"	""	""	""	""	""	""	
"26"	"140"	""	""	""	""	""	""	
"27"	"142"	""	""	""	""	""	""	
"28"	"145"	""	""	""	""	""	""	
"29"	"147"	""	""	""	""	""	""	
"30"	"150"	""	""	""	""	""	""	
"31"	"157"	""	""	""	""	""	""	
"32"	"164"	""	""	""	""	""	""	
"33"	"171"	""	""	""	""	""	""	
"34"	"178"	""	""	""	""	""	""	
"35"	"185"	""	""	""	""	""	""	
"36"	"192"	""	""	""	""	""	""	
"37"	"199"	""	""	""	""	""	""	
"38"	"206"	""	""	""	""	""	""	
"39"	"213"	""	""	""	""	""	""	
"40"	"220"	""	""	""	""	""	""	
"41"	"228"	""	""	""	""	""	""	
"42"	"236"	""	""	""	""	""	""	
"43"	"244"	""	""	""	""	""	""	
"44"	"252"	""	""	""	""	""	""	
"45"	"260"	""	""	""	""	""	""	
"46"	"268"	""	""	""	""	""	""	
"47"	"276"	""	""	""	""	""	""	
"48"	"284"	""	""	""	""	""	""	
"49"	"292"	""	""	""	""	""	""	
"50"	"300"	""	""	""	""	""	""	
"51"	"310"	""	""	""	""	""	""	
"52"	"320"	""	""	""	""	""	""	
"53"	"330"	""	""	""	""	""	""	
"54"	"340"	""	""	""	""	""	""	
"55"	"350"	""	""	""	""	""	""	
"56"	"360"	""	""	""	""	""	""	
"57"	"370"	""	""	""	""	""	""	
"58"	"380"	""	""	""	""	""	""	
"59"	"390"	""	""	""	""	""	""	
"60"	"400"	""	""	""	""	""	""	
"61"	"412"	""	""	""	""	""	""	
"62"	"424"	""	""	""	""	""	""	
"63"	"436"	""	""	""	""	""	""	
"64"	"448"	""	""	""	""	""	""	
"65"	"460"	""	""	""	""	""	""	
"66"	"472"	""	""	""	""	""	""	
"67"	"484"	""	""	""	""	""	""	
"68"	"496"	""	""	""	""	""	""	
"69"	"508"	""	""	""	""	""	""	
"70"	"520"	""	""	""	""	""	""	
"71"	"540"	""	""	""	""	""	""	
"72"	"560"	""	""	""	""	""	""	
"73"	"580"	""	""	""	""	""	""	
"74"	"600"	""	""	""	""	""	""	
"75"	"620"	""	""	""	""	""	""	
"76"	"640"	""	""	""	""	""	""	
"77"	"660"	""	""	""	""	""	""	
"78"	"680"	""	""	""	""	""	""	
"79"	"700"	""	""	""	""	""	""	
"80"	"720"	""	""	""	""	""	""	
"81"	"740"	""	""	""	""	""	""	
"82"	"760"	""	""	""	""	""	""	
"83"	"780"	""	""	""	""	""	""	
"84"	"800"	""	""	""	""	""	""	
"85"	"820"	""	""	""	""	""	""	
"86"	"840"	""	""	""	""	""	""	
"87"	"860"	""	""	""	""	""	""	
"88"	"880"	""	""	""	""	""	""	
"89"	"900"	""	""	""	""	""	""	
"90"	"920"	""	""	""	""	""	""	
"91"	"940"	""	""	""	""	""	""	
"92"	"960"	""	""	""	""	""	""	
"93"	"980"	""	""	""	""	""	""	
"94"	"1000"	""	""	""	""	""	""	
"95"	"1020"	""	""	""	""	""	""	
"96"	"1040"	""	""	""	""	""	""	
"97"	"1060"	""	""	""	""	""	""	
"98"	"1080"	""	""	""	""	""	""	
"99"	"1100"	""	""	""	""	""	""	
"100"	"1120"	""	""	""	""	""	""	
"101"	"20000"	""	""	""	""	""	""	
"102"	"20000"	""	""	""	""	""	""	
"103"	"20000"	""	""	""	""	""	""	
"104"	"20000"	""	""	""	""	""	""	
"105"	"20000"	""	""	""	""	""	""	
"106"	"20000"	""	""	""	""	""	""	
"107"	"20000"	""	""	""	""	""	""	
"108"	"20000"	""	""	""	""	""	""	
"109"	"20000"	""	""	""	""	""	""	
"110"	"25000"	""	""	""	""	""	""	
"111"	"25000"	""	""	""	""	""	""	
"112"	"25000"	""	""	""	""	""	""	
"113"	"25000"	""	""	""	""	""	""	
"114"	"25000"	""	""	""	""	""	""	
"115"	"25000"	""	""	""	""	""	""	
"116"	"25000"	""	""	""	""	""	""	
"117"	"25000"	""	""	""	""	""	""	
"118"	"25000"	""	""	""	""	""	""	
"119"	"25000"	""	""	""	""	""	""	
"120"	"30000"	""	""	""	""	""	""	
"121"	"30000"	""	""	""	""	""	""	
"122"	"30000"	""	""	""	""	""	""	
"123"	"30000"	""	""	""	""	""	""	
"124"	"30000"	""	""	""	""	""	""	
"125"	"30000"	""	""	""	""	""	""	
"126"	"30000"	""	""	""	""	""	""	
"127"	"30000"	""	""	""	""	""	""	
"128"	"30000"	""	""	""	""	""	""	
"129"	"30000"	""	""	""	""	""	""	
"130"	"30000"	""	""	""	""	""	""	
"131"	"30000"	""	""	""	""	""	""	
"132"	"30000"	""	""	""	""	""	""	
"133"	"30000"	""	""	""	""	""	""	
"134"	"30000"	""	""	""	""	""	""	
"135"	"30000"	""	""	""	""	""	""	
"136"	"30000"	""	""	""	""	""	""	
"137"	"30000"	""	""	""	""	""	""	
"138"	"30000"	""	""	""	""	""	""	
"139"	"30000"	""	""	""	""	""	""	
"140"	"30000"	""	""	""	""	""	""	
"141"	"30000"	""	""	""	""	""	""	
"142"	"30000"	""	""	""	""	""	""	
"143"	"30000"	""	""	""	""	""	""	
"144"	"30000"	""	""	""	""	""	""	
"145"	"30000"	""	""	""	""	""	""	
"146"	"30000"	""	""	""	""	""	""	
"147"	"30000"	""	""	""	""	""	""	
"148"	"30000"	""	""	""	""	""	""	
"149"	"30000"	""	""	""	""	""	""	
"150"	"30000"	""	""	""	""	""	""	
