"节点ID第1位：类型第4、5位：阶数"	"军衔图集"	"军衔图片"	"军衔图片特效指引到GameEffectConfig"	"军衔名称"	"标签名字"	"积分获得规则strID"	"类型1.1v12.3v33.15v154.野外5.帮派再加需要服务器加，表里不能乱加"	"顺序"	"下一阶的ID"	"包含星级数量每阶从0星开始，所以填写的星级数量比实际能显示的最大星星数多1"	"该阶每个星级所需积分"	"每日积分上限"	"属性ID，对应后面列的属性值必须一一对应"	"到该阶为止的总属性每阶当前属性=当前星级/星级数量*（该阶属性-前一阶属性）+上一阶总属性每阶0星没有属性，最大星时不是全属性（因为最大星比星级数量少1），要到下一阶才能得到前一阶的全部属性"	
"id"	"imageSet"	"icon"	"icon_effect"	"name"	"typeName"	"ruleStr"	"type"	"order"	"nextId"	"starNum"	"powerNeed"	"powerDailyMax"	"attrId"	"attr"	
"int"	"string"	"string"	"int"	"string"	"string"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int[9]"	"int[9]"	
"cs"	"c"	"c"	"c"	"cl"	"cl"	"c"	"cs"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"100010"	"Pic_huizhang01"	"huizhang01"	"10170"	"伍长"	"雪崖剑圣"	"46001"	"1"	"1"	"100020"	"4"	"50"	"180"	"0,1,2,8,10,12,14,16,18"	"578,29,14,4,4,4,4,4,4"	
"100020"	"Pic_huizhang01"	"huizhang02"	"10171"	"牙门将"	"雪崖剑圣"	"46001"	"1"	"2"	"100030"	"4"	"100"	"180"	"0,1,2,8,10,12,14,16,18"	"1415,71,35,9,9,9,9,9,9"	
"100030"	"Pic_huizhang01"	"huizhang03"	"10172"	"都尉"	"雪崖剑圣"	"46001"	"1"	"3"	"100040"	"6"	"200"	"180"	"0,1,2,8,10,12,14,16,18"	"2927,146,73,18,18,18,18,18,18"	
"100040"	"Pic_huizhang01"	"huizhang04"	"10173"	"校尉"	"雪崖剑圣"	"46001"	"1"	"4"	"100050"	"6"	"300"	"180"	"0,1,2,8,10,12,14,16,18"	"5019,251,125,31,31,31,31,31,31"	
"100050"	"Pic_huizhang01"	"huizhang05"	"10174"	"中郎将"	"雪崖剑圣"	"46001"	"1"	"5"	"100060"	"6"	"500"	"180"	"0,1,2,8,10,12,14,16,18"	"7528,376,188,47,47,47,47,47,47"	
"100060"	"Pic_huizhang01"	"huizhang06"	"10175"	"裨将军"	"雪崖剑圣"	"46001"	"1"	"6"	"100070"	"8"	"700"	"180"	"0,1,2,8,10,12,14,16,18"	"10874,544,272,68,68,68,68,68,68"	
"100070"	"Pic_huizhang01"	"huizhang07"	"10176"	"偏将军"	"雪崖剑圣"	"46001"	"1"	"7"	"100080"	"8"	"1000"	"180"	"0,1,2,8,10,12,14,16,18"	"15056,753,376,94,94,94,94,94,94"	
"100080"	"Pic_huizhang01"	"huizhang08"	"10177"	"骠骑将军"	"雪崖剑圣"	"46001"	"1"	"8"	"100090"	"8"	"1500"	"180"	"0,1,2,8,10,12,14,16,18"	"20074,1004,502,125,125,125,125,125,125"	
"100090"	"Pic_huizhang01"	"huizhang09"	"10178"	"大将军"	"雪崖剑圣"	"46001"	"1"	"9"	"100100"	"10"	"2000"	"180"	"0,1,2,8,10,12,14,16,18"	"26347,1317,659,165,165,165,165,165,165"	
"100100"	"Pic_huizhang01"	"huizhang10"	"10179"	"元帅"	"雪崖剑圣"	"46001"	"1"	"10"	"-1"	"10"	"2500"	"180"	"0,1,2,8,10,12,14,16,18"	"33875,1694,847,212,212,212,212,212,212"	
"200010"	"Pic_huizhang01"	"huizhang01"	"10170"	"伍长"	"逐鹿苍原"	"46002"	"2"	"1"	"200020"	"4"	"50"	"150"	"0,1,2,8,10,12,14,16,18"	"578,29,14,4,4,4,4,4,4"	
"200020"	"Pic_huizhang01"	"huizhang02"	"10171"	"牙门将"	"逐鹿苍原"	"46002"	"2"	"2"	"200030"	"4"	"100"	"150"	"0,1,2,8,10,12,14,16,18"	"1415,71,35,9,9,9,9,9,9"	
"200030"	"Pic_huizhang01"	"huizhang03"	"10172"	"都尉"	"逐鹿苍原"	"46002"	"2"	"3"	"200040"	"6"	"200"	"150"	"0,1,2,8,10,12,14,16,18"	"2927,146,73,18,18,18,18,18,18"	
"200040"	"Pic_huizhang01"	"huizhang04"	"10173"	"校尉"	"逐鹿苍原"	"46002"	"2"	"4"	"200050"	"6"	"300"	"150"	"0,1,2,8,10,12,14,16,18"	"5019,251,125,31,31,31,31,31,31"	
"200050"	"Pic_huizhang01"	"huizhang05"	"10174"	"中郎将"	"逐鹿苍原"	"46002"	"2"	"5"	"200060"	"6"	"500"	"150"	"0,1,2,8,10,12,14,16,18"	"7528,376,188,47,47,47,47,47,47"	
"200060"	"Pic_huizhang01"	"huizhang06"	"10175"	"裨将军"	"逐鹿苍原"	"46002"	"2"	"6"	"200070"	"8"	"700"	"150"	"0,1,2,8,10,12,14,16,18"	"10874,544,272,68,68,68,68,68,68"	
"200070"	"Pic_huizhang01"	"huizhang07"	"10176"	"偏将军"	"逐鹿苍原"	"46002"	"2"	"7"	"200080"	"8"	"1000"	"150"	"0,1,2,8,10,12,14,16,18"	"15056,753,376,94,94,94,94,94,94"	
"200080"	"Pic_huizhang01"	"huizhang08"	"10177"	"骠骑将军"	"逐鹿苍原"	"46002"	"2"	"8"	"200090"	"8"	"1500"	"150"	"0,1,2,8,10,12,14,16,18"	"20074,1004,502,125,125,125,125,125,125"	
"200090"	"Pic_huizhang01"	"huizhang09"	"10178"	"大将军"	"逐鹿苍原"	"46002"	"2"	"9"	"200100"	"10"	"2000"	"150"	"0,1,2,8,10,12,14,16,18"	"26347,1317,659,165,165,165,165,165,165"	
"200100"	"Pic_huizhang01"	"huizhang10"	"10179"	"元帅"	"逐鹿苍原"	"46002"	"2"	"10"	"-1"	"10"	"2500"	"150"	"0,1,2,8,10,12,14,16,18"	"33875,1694,847,212,212,212,212,212,212"	
"300010"	"Pic_huizhang01"	"huizhang01"	"10170"	"伍长"	"南北之争"	"46003"	"3"	"1"	"300020"	"4"	"50"	"150"	"0,1,2,8,10,12,14,16,18"	"578,29,14,4,4,4,4,4,4"	
"300020"	"Pic_huizhang01"	"huizhang02"	"10171"	"牙门将"	"南北之争"	"46003"	"3"	"2"	"300030"	"4"	"100"	"150"	"0,1,2,8,10,12,14,16,18"	"1415,71,35,9,9,9,9,9,9"	
"300030"	"Pic_huizhang01"	"huizhang03"	"10172"	"都尉"	"南北之争"	"46003"	"3"	"3"	"300040"	"6"	"200"	"150"	"0,1,2,8,10,12,14,16,18"	"2927,146,73,18,18,18,18,18,18"	
"300040"	"Pic_huizhang01"	"huizhang04"	"10173"	"校尉"	"南北之争"	"46003"	"3"	"4"	"300050"	"6"	"300"	"150"	"0,1,2,8,10,12,14,16,18"	"5019,251,125,31,31,31,31,31,31"	
"300050"	"Pic_huizhang01"	"huizhang05"	"10174"	"中郎将"	"南北之争"	"46003"	"3"	"5"	"300060"	"6"	"500"	"150"	"0,1,2,8,10,12,14,16,18"	"7528,376,188,47,47,47,47,47,47"	
"300060"	"Pic_huizhang01"	"huizhang06"	"10175"	"裨将军"	"南北之争"	"46003"	"3"	"6"	"300070"	"8"	"700"	"150"	"0,1,2,8,10,12,14,16,18"	"10874,544,272,68,68,68,68,68,68"	
"300070"	"Pic_huizhang01"	"huizhang07"	"10176"	"偏将军"	"南北之争"	"46003"	"3"	"7"	"300080"	"8"	"1000"	"150"	"0,1,2,8,10,12,14,16,18"	"15056,753,376,94,94,94,94,94,94"	
"300080"	"Pic_huizhang01"	"huizhang08"	"10177"	"骠骑将军"	"南北之争"	"46003"	"3"	"8"	"300090"	"8"	"1500"	"150"	"0,1,2,8,10,12,14,16,18"	"20074,1004,502,125,125,125,125,125,125"	
"300090"	"Pic_huizhang01"	"huizhang09"	"10178"	"大将军"	"南北之争"	"46003"	"3"	"9"	"300100"	"10"	"2000"	"150"	"0,1,2,8,10,12,14,16,18"	"26347,1317,659,165,165,165,165,165,165"	
"300100"	"Pic_huizhang01"	"huizhang10"	"10179"	"元帅"	"南北之争"	"46003"	"3"	"10"	"-1"	"10"	"2500"	"150"	"0,1,2,8,10,12,14,16,18"	"33875,1694,847,212,212,212,212,212,212"	
"400010"	"Pic_huizhang01"	"huizhang01"	"10170"	"伍长"	"野外生存"	"46004"	"4"	"1"	"400020"	"4"	"50"	"200"	"0,1,2,8,10,12,14,16,18"	"578,29,14,4,4,4,4,4,4"	
"400020"	"Pic_huizhang01"	"huizhang02"	"10171"	"牙门将"	"野外生存"	"46004"	"4"	"2"	"400030"	"4"	"100"	"200"	"0,1,2,8,10,12,14,16,18"	"1415,71,35,9,9,9,9,9,9"	
"400030"	"Pic_huizhang01"	"huizhang03"	"10172"	"都尉"	"野外生存"	"46004"	"4"	"3"	"400040"	"6"	"200"	"200"	"0,1,2,8,10,12,14,16,18"	"2927,146,73,18,18,18,18,18,18"	
"400040"	"Pic_huizhang01"	"huizhang04"	"10173"	"校尉"	"野外生存"	"46004"	"4"	"4"	"400050"	"6"	"300"	"200"	"0,1,2,8,10,12,14,16,18"	"5019,251,125,31,31,31,31,31,31"	
"400050"	"Pic_huizhang01"	"huizhang05"	"10174"	"中郎将"	"野外生存"	"46004"	"4"	"5"	"400060"	"6"	"500"	"200"	"0,1,2,8,10,12,14,16,18"	"7528,376,188,47,47,47,47,47,47"	
"400060"	"Pic_huizhang01"	"huizhang06"	"10175"	"裨将军"	"野外生存"	"46004"	"4"	"6"	"400070"	"8"	"700"	"200"	"0,1,2,8,10,12,14,16,18"	"10874,544,272,68,68,68,68,68,68"	
"400070"	"Pic_huizhang01"	"huizhang07"	"10176"	"偏将军"	"野外生存"	"46004"	"4"	"7"	"400080"	"8"	"1000"	"200"	"0,1,2,8,10,12,14,16,18"	"15056,753,376,94,94,94,94,94,94"	
"400080"	"Pic_huizhang01"	"huizhang08"	"10177"	"骠骑将军"	"野外生存"	"46004"	"4"	"8"	"400090"	"8"	"1500"	"200"	"0,1,2,8,10,12,14,16,18"	"20074,1004,502,125,125,125,125,125,125"	
