"宝石ID"	"宝石等级"	"宝石价格"	"宝石组，同组不能镶2个1=属性攻，2=属性抗，不填为0，0表示不限制"	"镶嵌部件限制1=武器，2=防具，4=饰品"	"宝石属性，全部加基础值"	"宝石特效，仅武器"	"宝石颜色（装备上和宝石界面）"	"合成后的宝石ID"	"合成银币消耗"	"能否用金币不足"	
"id"	"level"	"gold"	"group"	"equipLimit"	"gemAttr"	"gemEffect"	"gemcolor"	"productId"	"silverCost"	"canUseGold"	
"int"	"int"	"int"	"int"	"int"	"float[2]"	"int"	"string"	"int"	"int"	"bool"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"c"	"cs"	"cs"	"cs"	
"700101"	"1"	"2"	""	"3"	"0,1500"	""	"gemgreen"	"700201"	"2000"	"1"	
"700102"	"1"	"2"	""	"3"	"1,50"	""	"gemgreen"	"700202"	"2000"	"1"	
"700103"	"1"	"2"	""	"6"	"2,75"	""	"gemgreen"	"700203"	"2000"	"1"	
"700104"	"1"	"2"	""	"6"	"8,75"	""	"gemgreen"	"700204"	"2000"	"1"	
"700105"	"1"	"2"	""	"5"	"10,75"	""	"gemgreen"	"700205"	"2000"	"1"	
"700106"	"1"	"2"	""	"5"	"12,75"	""	"gemgreen"	"700206"	"2000"	"1"	
"700107"	"1"	"2"	""	"2"	"14,75"	""	"gemgreen"	"700207"	"2000"	"1"	
"700108"	"1"	"2"	""	"2"	"16,75"	""	"gemgreen"	"700208"	"2000"	"1"	
"700109"	"1"	"2"	""	"5"	"18,75"	""	"gemgreen"	"700209"	"2000"	"0"	
"700201"	"2"	"8"	""	"3"	"0,3000"	""	"gemgreen"	"700301"	"3000"	"1"	
"700202"	"2"	"8"	""	"3"	"1,100"	""	"gemgreen"	"700302"	"3000"	"1"	
"700203"	"2"	"8"	""	"6"	"2,150"	""	"gemgreen"	"700303"	"3000"	"1"	
"700204"	"2"	"8"	""	"6"	"8,150"	""	"gemgreen"	"700304"	"3000"	"1"	
"700205"	"2"	"8"	""	"5"	"10,150"	""	"gemgreen"	"700305"	"3000"	"1"	
"700206"	"2"	"8"	""	"5"	"12,150"	""	"gemgreen"	"700306"	"3000"	"1"	
"700207"	"2"	"8"	""	"2"	"14,150"	""	"gemgreen"	"700307"	"3000"	"1"	
"700208"	"2"	"8"	""	"2"	"16,150"	""	"gemgreen"	"700308"	"3000"	"1"	
"700209"	"2"	"8"	""	"5"	"18,150"	""	"gemgreen"	"700309"	"3000"	"0"	
"700301"	"3"	"40"	""	"3"	"0,7500"	""	"gemgreen"	"700401"	"5000"	"1"	
"700302"	"3"	"40"	""	"3"	"1,250"	""	"gemgreen"	"700402"	"5000"	"1"	
"700303"	"3"	"40"	""	"6"	"2,375"	""	"gemgreen"	"700403"	"5000"	"1"	
"700304"	"3"	"40"	""	"6"	"8,375"	""	"gemgreen"	"700404"	"5000"	"1"	
"700305"	"3"	"40"	""	"5"	"10,375"	""	"gemgreen"	"700405"	"5000"	"1"	
"700306"	"3"	"40"	""	"5"	"12,375"	""	"gemgreen"	"700406"	"5000"	"1"	
"700307"	"3"	"40"	""	"2"	"14,375"	""	"gemgreen"	"700407"	"5000"	"1"	
"700308"	"3"	"40"	""	"2"	"16,375"	""	"gemgreen"	"700408"	"5000"	"1"	
"700309"	"3"	"40"	""	"5"	"18,375"	""	"gemgreen"	"700409"	"5000"	"0"	
"700401"	"4"	"200"	""	"3"	"0,15000"	""	"gemgreen"	"700501"	"10000"	"1"	
"700402"	"4"	"200"	""	"3"	"1,500"	""	"gemgreen"	"700502"	"10000"	"1"	
"700403"	"4"	"200"	""	"6"	"2,750"	""	"gemgreen"	"700503"	"10000"	"1"	
"700404"	"4"	"200"	""	"6"	"8,750"	""	"gemgreen"	"700504"	"10000"	"1"	
"700405"	"4"	"200"	""	"5"	"10,750"	""	"gemgreen"	"700505"	"10000"	"1"	
"700406"	"4"	"200"	""	"5"	"12,750"	""	"gemgreen"	"700506"	"10000"	"1"	
"700407"	"4"	"200"	""	"2"	"14,750"	""	"gemgreen"	"700507"	"10000"	"1"	
"700408"	"4"	"200"	""	"2"	"16,750"	""	"gemgreen"	"700508"	"10000"	"1"	
"700409"	"4"	"200"	""	"5"	"18,750"	""	"gemgreen"	"700509"	"10000"	"0"	
