"id"	"策划注释"	"类型(1=普通坐骑类型，其他类型依次增加)"	"等级"	"技能ID"	"消耗材料ID"	"升级消耗材料数量"	"是否可以金币代替"	""	""	""	""	""	""	""	""	""	
"id"	"index_name"	"kind"	"skill_level"	"skill_id"	"req_item_id"	"req_item_num"	"is_gold_replace"	""	""	""	""	""	""	""	""	""	
"int"	"string"	"int"	"int"	"int"	"int"	"int"	"bool"	""	""	""	""	""	""	""	""	""	
"cs"	"s"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	""	""	""	""	""	""	""	""	""	
"1"	"坐骑测试技能"	"1"	"1"	"50002001"	"6000003"	"1"	"0"	""	""	""	""	""	""	""	""	""	
"2"	"坐骑测试技能"	"1"	"2"	"50002002"	"6000003"	"2"	"0"	""	""	""	""	""	""	""	""	""	
"3"	"坐骑测试技能"	"1"	"3"	"50002003"	"6000003"	"3"	"0"	""	""	""	""	""	""	""	""	""	
"4"	"坐骑测试技能"	"1"	"4"	"50002004"	"6000003"	"4"	"0"	""	""	""	""	""	""	""	""	""	
"5"	"坐骑测试技能"	"1"	"5"	"50002005"	"6000003"	"5"	"0"	""	""	""	""	""	""	""	""	""	
"6"	"坐骑测试技能"	"1"	"6"	"50002006"	"6000003"	"6"	"0"	""	""	""	""	""	""	""	""	""	
"7"	"坐骑测试技能"	"1"	"7"	"50002007"	"6000003"	"7"	"0"	""	""	""	""	""	""	""	""	""	
"8"	"坐骑测试技能"	"1"	"8"	"50002008"	"6000003"	"8"	"0"	""	""	""	""	""	""	""	""	""	
"9"	"坐骑测试技能"	"1"	"9"	"50002009"	"6000003"	"9"	"0"	""	""	""	""	""	""	""	""	""	
"10"	"坐骑测试技能"	"1"	"10"	"50002010"	"6000003"	"10"	"0"	""	""	""	""	""	""	""	""	""	
"11"	"坐骑测试技能"	"1"	"11"	"50002011"	"6000003"	"11"	"0"	""	""	""	""	""	""	""	""	""	
"12"	"坐骑测试技能"	"1"	"12"	"50002012"	"6000003"	"12"	"0"	""	""	""	""	""	""	""	""	""	
"13"	"坐骑测试技能"	"1"	"13"	"50002013"	"6000003"	"13"	"0"	""	""	""	""	""	""	""	""	""	
"14"	"坐骑测试技能"	"1"	"14"	"50002014"	"6000003"	"14"	"0"	""	""	""	""	""	""	""	""	""	
"15"	"坐骑测试技能"	"1"	"15"	"50002015"	"6000003"	"15"	"0"	""	""	""	""	""	""	""	""	""	
"16"	"坐骑测试技能"	"1"	"16"	"50002016"	"6000003"	"16"	"0"	""	""	""	""	""	""	""	""	""	
"17"	"坐骑测试技能"	"1"	"17"	"50002017"	"6000003"	"17"	"0"	""	""	""	""	""	""	""	""	""	
"18"	"坐骑测试技能"	"1"	"18"	"50002018"	"6000003"	"18"	"0"	""	""	""	""	""	""	""	""	""	
"19"	"坐骑测试技能"	"1"	"19"	"50002019"	"6000003"	"19"	"0"	""	""	""	""	""	""	""	""	""	
"20"	"坐骑测试技能"	"1"	"20"	"50002020"	"6000003"	"20"	"0"	""	""	""	""	""	""	""	""	""	
"21"	"坐骑测试技能"	"1"	"21"	"50002021"	"6000003"	"21"	"0"	""	""	""	""	""	""	""	""	""	
"22"	"坐骑测试技能"	"1"	"22"	"50002022"	"6000003"	"22"	"0"	""	""	""	""	""	""	""	""	""	
"23"	"坐骑测试技能"	"1"	"23"	"50002023"	"6000003"	"23"	"0"	""	""	""	""	""	""	""	""	""	
"24"	"坐骑测试技能"	"1"	"24"	"50002024"	"6000003"	"24"	"0"	""	""	""	""	""	""	""	""	""	
"25"	"坐骑测试技能"	"1"	"25"	"50002025"	"6000003"	"25"	"0"	""	""	""	""	""	""	""	""	""	
"26"	"坐骑测试技能"	"1"	"26"	"50002026"	"6000003"	"26"	"0"	""	""	""	""	""	""	""	""	""	
"27"	"坐骑测试技能"	"1"	"27"	"50002027"	"6000003"	"27"	"0"	""	""	""	""	""	""	""	""	""	
"28"	"坐骑测试技能"	"1"	"28"	"50002028"	"6000003"	"28"	"0"	""	""	""	""	""	""	""	""	""	
"29"	"坐骑测试技能"	"1"	"29"	"50002029"	"6000003"	"29"	"0"	""	""	""	""	""	""	""	""	""	
"30"	"坐骑测试技能"	"1"	"30"	"50002030"	"6000003"	"30"	"0"	""	""	""	""	""	""	""	""	""	
"31"	"坐骑测试技能"	"1"	"31"	"50002031"	"6000003"	"31"	"0"	""	""	""	""	""	""	""	""	""	
"32"	"坐骑测试技能"	"1"	"32"	"50002032"	"6000003"	"32"	"0"	""	""	""	""	""	""	""	""	""	
"33"	"坐骑测试技能"	"1"	"33"	"50002033"	"6000003"	"33"	"0"	""	""	""	""	""	""	""	""	""	
"34"	"坐骑测试技能"	"1"	"34"	"50002034"	"6000003"	"34"	"0"	""	""	""	""	""	""	""	""	""	
