"活动id"	"活动名称"	"显示等级下限,不到等级（不包括自身）不显示"	"显示等级上限，超过等级（不包括自身）不显示"	"是否显示入口图标，入口图标和界面图标是互斥的；入口图标的形式适合单独放在外面的活动，界面图标就是通用活动中的图标"	"入口图标"	"是否界面中显示，在这里显示，就是通用活动的形式；否则就是在入口图标中显示，显示为单独活动的形式"	"界面中图标"	"星期几有活动（0-6,0是周日）"	"活动开始时间天，不在此时间内，则活动不会显示(0-11表示1-12月)"	"活动结束时间天(0-11表示1-12月)"	"活动前提示(秒)"	"活动前提示strid"	"活动结束提示strid"	"活动开启消息球"	"活动开始时间点，不在此时间内则活动不显示"	"活动结束时间点"	"活动说明，通用活动界面中的活动描述"	"奖励图标，领奖界面中该活动的领奖图标"	"显示时间"	"显示结束时间"	"活动替身奖励"	"活动是否在天梯服开启"	
"ActivityId"	"ActivityName"	"ActivityLevelLow"	"ActivityLevelHigh"	"IsShowEntrance"	"EntranceIcon"	"IsShowInterface"	"InterfaceIcon"	"TimeWeek"	"StartTimeDate"	"EndTimeDate"	"HintsTime"	"HintsStrId"	"EndStrId"	"notify_ball"	"StartTime"	"EndTime"	"Description"	"RewardIcon"	"ShowStartTime"	"ShowEndTime"	"SubstituteReward"	"IsOpenInLadder"	
"int"	"string"	"int"	"int"	"bool"	"string[]"	"bool"	"string[]"	"int[]"	"int"	"int"	"int[]"	"int[]"	"int"	"int"	"string[]"	"string[]"	"int"	"string"	"string"	"string"	"int[2]"	"bool"	
"cs"	"csl"	"s"	"s"	"c"	"c"	"c"	"cs"	"s"	"s"	"s"	""	""	"cs"	"s"	"cs"	"cs"	"cs"	"c"	"cs"	"cs"	"cs"	"s"	
"1"	"古墓迷宫"	"1"	"300"	"0"	""	"0"	""	"0,1,2,3,4,5,6"	"0001"	"1131"	"300,0"	"51616,51610"	"108014"	"401"	"12:00:00,19:00:00"	"12:20:00,19:20:00"	"10008"	"28"	"00:00:01"	"23:59:50"	""	"0"	
"2"	"新帮战"	"50"	"300"	"0"	""	"1"	""	"2,3,4"	"0001"	"1131"	"280,-20"	"108003,108004"	""	"402"	"19:59:40"	"20:20:00"	"10008"	"28"	"00:00:01"	"23:59:50"	""	"0"	
"3"	"龙骨矿井"	"1"	"100"	"0"	""	"1"	""	""	"0001"	"0002"	""	""	""	""	"23:59:50"	"23:59:50"	"10008"	"28"	"23:59:50"	"23:59:50"	"810118,1"	"0"	
"4"	"世界BOSS"	"1"	"300"	"0"	""	"1"	""	"0,1,2,3,4,5,6"	"0001"	"1131"	"300,0"	"108007,108005"	"108013"	"403"	"11:30:00"	"11:50:00"	"10008"	"28"	"00:00:01"	"23:59:50"	""	"0"	
"5"	"世界BOSS"	"1"	"300"	"0"	""	"1"	""	"0,1,2,3,4,5,6"	"0001"	"1131"	"300,0"	"108007,108005"	"108013"	"403"	"16:30:00"	"16:50:00"	"10008"	"28"	"00:00:01"	"23:59:50"	""	"0"	
"6"	"世界BOSS"	"1"	"300"	"0"	""	"1"	""	"0,1,2,3,4,5,6"	"0001"	"1131"	"300,0"	"108007,108005"	"108013"	"403"	"22:00:00"	"22:20:00"	"10008"	"28"	"00:00:01"	"23:59:50"	""	"0"	
"7"	"双倍护送"	"1"	"300"	"0"	""	"1"	""	"0,1,2,3,4,5,6"	"0001"	"1131"	"0"	"108006"	"108015"	""	"17:00:00"	"17:30:00"	"10008"	"28"	"00:00:01"	"23:59:50"	""	"0"	
"24"	"秘境试炼"	"1"	"300"	"0"	""	"0"	""	"2,3,4"	"0001"	"1131"	""	""	""	""	"00:01:00"	"23:59:50"	"10001"	"28"	"00:00:01"	"23:59:50"	""	"0"	
"25"	"跨服帮派战"	"1"	"300"	"0"	"main_skill_png,btn_jiayuan1"	"1"	""	"5,6"	"0001"	"1131"	"300,0"	"108001,108002"	""	""	"20:40:00,21:15:00"	"21:05:00,21:40:00"	"10001"	"28"	"23:59:50"	"23:59:50"	""	"1"	
