"索引"	"轮数"	"兑换物品（ID,数量）"	"积分消耗"	""	""	""	""	
"index"	"round"	"item"	"score"	""	""	""	""	
"int"	"int"	"int[2]"	"int"	""	""	""	""	
"cs"	"cs"	"cs"	"cs"	""	""	""	""	
"1"	"0"	"420306,1"	"30000"	""	""	""	""	
"2"	"0"	"800021,1"	"10000"	""	""	""	""	
"3"	"0"	"100044,1"	"2000"	""	""	""	""	
"4"	"0"	"100043,1"	"5000"	""	""	""	""	
"5"	"0"	"110401,1"	"1000"	""	""	""	""	
"6"	"0"	"110402,1"	"4000"	""	""	""	""	
"8"	"1"	"420306,1"	"30000"	""	""	""	""	
"9"	"1"	"800021,1"	"10000"	""	""	""	""	
"10"	"1"	"100044,1"	"2000"	""	""	""	""	
"11"	"1"	"100043,1"	"5000"	""	""	""	""	
"12"	"1"	"110401,1"	"1000"	""	""	""	""	
"13"	"1"	"110402,1"	"4000"	""	""	""	""	
"15"	"2"	"420306,1"	"30000"	""	""	""	""	
"16"	"2"	"800021,1"	"10000"	""	""	""	""	
"17"	"2"	"100044,1"	"2000"	""	""	""	""	
"18"	"2"	"100043,1"	"5000"	""	""	""	""	
"19"	"2"	"110401,1"	"1000"	""	""	""	""	
"20"	"2"	"110402,1"	"4000"	""	""	""	""	
"22"	"3"	"420306,1"	"30000"	""	""	""	""	
"23"	"3"	"800021,1"	"10000"	""	""	""	""	
"24"	"3"	"100044,1"	"2000"	""	""	""	""	
"25"	"3"	"100043,1"	"5000"	""	""	""	""	
"26"	"3"	"110401,1"	"1000"	""	""	""	""	
"27"	"3"	"110402,1"	"4000"	""	""	""	""	
"29"	"4"	"420306,1"	"30000"	""	""	""	""	
"30"	"4"	"800021,1"	"10000"	""	""	""	""	
"31"	"4"	"100044,1"	"2000"	""	""	""	""	
"32"	"4"	"100043,1"	"5000"	""	""	""	""	
"33"	"4"	"110401,1"	"1000"	""	""	""	""	
"34"	"4"	"110402,1"	"4000"	""	""	""	""	
"36"	"5"	"420306,1"	"30000"	""	""	""	""	
"37"	"5"	"800021,1"	"10000"	""	""	""	""	
"38"	"5"	"100044,1"	"2000"	""	""	""	""	
"39"	"5"	"100043,1"	"5000"	""	""	""	""	
"40"	"5"	"110401,1"	"1000"	""	""	""	""	
"41"	"5"	"110402,1"	"4000"	""	""	""	""	
"42"	"6"	"420306,1"	"30000"	""	""	""	""	
"43"	"6"	"800021,1"	"10000"	""	""	""	""	
"44"	"6"	"100044,1"	"2000"	""	""	""	""	
"45"	"6"	"100043,1"	"5000"	""	""	""	""	
"46"	"6"	"110401,1"	"1000"	""	""	""	""	
"47"	"6"	"110402,1"	"4000"	""	""	""	""	
