"条件技能id"	"备注"	"自身HP区间（百分比，100=%100）"	"目标HP区间（百分比，100=%100）"	"距离区间（单位：米）"	"脚本条件"	"进入战斗后多久可以施放（单位：ms）"	"CD（单位：ms）"	"技能释放的概率（10000=%100）"	"技能ID"	"放条件技能前说话(索引到NpcTalkConfig表)"	
"special_skill_id"	"remark"	"self_hp"	"target_hp"	"target_distance"	"script_cond"	"can_use_time"	"cd"	"skill_probability"	"skill_id"	"talkid"	
"int"	"string"	"int[2]"	"int[2]"	"float[2]"	"string"	"int"	"int"	"int[]"	"int[]"	"int"	
"cs"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"cs"	"s"	
"20"	"寒影孤月"	""	""	""	""	"3000"	"4000"	"10000"	"10100010"	""	
"21"	"翔鹰燕影"	""	""	""	""	"4000"	"7000"	"10000"	"10100020"	""	
"22"	"无量摩诃斩"	""	""	""	""	"5000"	"20000"	"10000"	"10100030"	""	
"30"	"天威旋风斩"	""	""	""	""	"3000"	"4000"	"10000"	"12000010"	""	
"31"	"天威乱舞"	""	""	""	""	"4000"	"7000"	"10000"	"12000020"	""	
"32"	"天威跳斩"	""	""	""	""	"5000"	"20000"	"10000"	"12000030"	""	
"40"	"阳春白雪"	""	""	""	""	"3000"	"4000"	"10000"	"11000010"	""	
"41"	"梅花三弄"	""	""	""	""	"4000"	"7000"	"10000"	"11000020"	""	
"42"	"平沙落雁"	""	""	""	""	"5000"	"20000"	"10000"	"11000030"	""	
"999"	"boss定期秒全场"	""	""	""	""	"120000"	"120000"	"10000"	"999"	""	
"300010000"	"越捷飞群伤+晕伤害"	""	""	""	""	"2000"	"10000"	"10000"	"30000020"	""	
"300010001"	"越捷飞群伤+减防"	""	""	""	""	"5000"	"10000"	"10000"	"30000030"	""	
"300010002"	"越捷飞群伤+晕伤害开场剧情用"	""	""	""	""	"2000"	"3000"	"10000"	"24100010"	""	
"300010003"	"越捷飞群伤+减防开场剧情用"	""	""	""	""	"2000"	"3000"	"10000"	"24100020"	""	
"300020000"	"柳色群体治疗"	""	""	""	""	"2000"	"10000"	"10000"	"30000120"	""	
"300020001"	"柳色四周群攻dot"	""	""	""	""	"5000"	"10000"	"10000"	"30000130"	""	
"300030000"	"楚玉发波"	""	""	""	""	"2000"	"10000"	"10000"	"30000210"	""	
"300030001"	"楚玉自身buff"	""	""	""	""	"5000"	"10000"	"10000"	"30000220"	""	
"300040000"	"百里流桑投掷匕首"	""	""	""	""	"2000"	"10000"	"10000"	"30000310"	""	
"300040001"	"百里流桑冲刺"	""	""	""	""	"5000"	"10000"	"10000"	"30000320"	""	
"300050000"	"恒远目标点群攻"	""	""	""	""	"2000"	"10000"	"10000"	"30000410"	""	
"300050001"	"恒远目标点大群攻"	""	""	""	""	"5000"	"10000"	"10000"	"30000420"	""	
"300060000"	"容止冲刺自己加速"	""	""	""	""	"2000"	"10000"	"10000"	"30000510"	""	
"300060001"	"容止四周爆炸"	""	""	""	""	"5000"	"10000"	"10000"	"30000520"	""	
"300060002"	"容止冲刺自己加速开场剧情用"	""	""	""	""	"2000"	"3000"	"10000"	"24100110"	""	
"300060003"	"容止四周爆炸开场剧情用"	""	""	""	""	"2000"	"3000"	"10000"	"24100120"	""	
"300070000"	"花错冲刺"	""	""	""	""	"2000"	"10000"	"10000"	"30000610"	""	
"300070001"	"花错乱舞"	""	""	""	""	"5000"	"10000"	"10000"	"30000620"	""	
"300070002"	"花错冲刺开场剧情用"	""	""	""	""	"2000"	"3000"	"10000"	"24100210"	""	
"300070003"	"花错乱舞开场剧情用"	""	""	""	""	"2000"	"3000"	"10000"	"24100220"	""	
"300080000"	"天如镜扇形攻击"	""	""	""	""	"2000"	"10000"	"10000"	"30000710"	""	
"300080001"	"天如镜加血"	""	""	""	""	"5000"	"10000"	"10000"	"30000720"	""	
"300090000"	"钟年年目标点砸地"	""	""	""	""	"2000"	"10000"	"10000"	"30000810"	""	
"300090001"	"钟年年直线攻击"	""	""	""	""	"5000"	"10000"	"10000"	"30000820"	""	
"300100000"	"粉黛拖拽"	""	""	""	""	"2000"	"10000"	"10000"	"30000910"	""	
"300100001"	"粉黛四周aoe箭雨"	""	""	""	""	"5000"	"10000"	"10000"	"30000920"	""	
"300100002"	"粉黛四周aoe一次"	""	""	""	""	"5000"	"10000"	"10000"	"30000930"	""	
"300110000"	"幼蓝目标中毒"	""	""	""	""	"2000"	"10000"	"10000"	"30001010"	""	
"300110001"	"幼蓝目标减速"	""	""	""	""	"5000"	"10000"	"10000"	"30001020"	""	
"300110002"	"幼蓝连续射击"	""	""	""	""	"8000"	"10000"	"10000"	"30001030"	""	
"300120000"	"墨香自身范围aoe"	""	""	""	""	"5000"	"10000"	"10000"	"30001110"	""	
"300120001"	"墨香自身buff"	""	""	""	""	"8000"	"10000"	"10000"	"30001120"	""	
