"ID"	"日常活动ID(需要与服务器枚举对应)1.签到2.单人副本3.旧坐骑已废弃4.竞技场5.英雄挑战本6.帮派捐献7.古墓迷宫8.旧技能已废弃9.单人boss10.野外boss11.装备升星12.装备提炼13.华山论剑14.抽卡-未用15.经脉16.跨服战场17.跨服组队本18.守卫战19.帮派boss20.帮派任务21.环任务22.世界boss23.VIP领奖24.侍从寻宝25.随机商店买26.PvP杀怪27.群怪挑战本"	"所需完成次数"	"活跃值"	"生效等级区间"	"开放等级"	"标签"	"活动名称"	"活动描述"	"活动奖励描述"	"链接界面填0表示任务寻路"	"切页（1,2,3为第几个切页，没有为空）"	"界面显示排序"	"已完成状态图标"	"推荐进行"	"界面显隐true显示false隐藏"	"链接任务多个任务为或的关系，身上有哪个寻路哪个"	
"id"	"activity_id"	"req_cnt"	"active_value"	"enable_level"	"open_level"	"label"	"name"	"desc"	"reward_desc"	"gui_id"	"ui_sub_page"	"order"	"icon_finished"	"recommended"	"display"	"quest_id"	
"int"	"int"	"int"	"int"	"int[2]"	"int"	"string"	"string"	"string"	"string"	"int"	"int"	"int"	"string[]"	"bool"	"bool"	"int[]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"cl"	"cl"	"cl"	"cl"	"c"	"cl"	"c"	"c"	"c"	"c"	"c"	
"1"	"1"	"1"	"5"	"20,300"	"30"	"[fb5c06]【签到】[-]"	"每日签到"	"每日签到"	"每日签到，获取大量奖励"	"200157"	"2"	"100"	"qiandao_main_png,day_yes"	"1"	"1"	""	
"2"	"2"	"2"	"10"	"20,300"	"52"	"[fb5c06]【副本】[-]"	"单人副本"	"挑战资源或剧情本"	"大量经验、铜币"	"200071"	"1"	"200"	"qiandao_main_png,day_yes"	"1"	"1"	""	
"4"	"4"	"2"	"10"	"20,300"	"60"	"[fb5c06]【竞技】[-]"	"竞技场"	"参加竞技场"	"竞技勋章，可兑换稀有道具"	"200101"	"1"	"1300"	"qiandao_main_png,day_yes"	"0"	"1"	""	
"5"	"5"	"1"	"10"	"20,300"	"50"	"[fb5c06]【副本】[-]"	"挑战BOSS"	"完成英雄挑战副本"	"侍从经验、心法残页"	"200071"	"3"	"400"	"qiandao_main_png,day_yes"	"1"	"1"	""	
"6"	"6"	"1"	"10"	"20,300"	"39"	"[fb5c06]【帮派】[-]"	"帮派捐献"	"帮派捐献"	"帮派贡献"	"200052"	"4"	"800"	"qiandao_main_png,day_yes"	"1"	"1"	""	
"7"	"7"	"1"	"15"	"20,300"	"58"	"[fb5c06]【活动】[-]"	"华林射鬼"	"华林射鬼"	"侍从经验"	"200101"	"1"	"1400"	"qiandao_main_png,day_yes"	"0"	"1"	""	
"9"	"9"	"1"	"10"	"20,300"	"45"	"[fb5c06]【活动】[-]"	"八王之乱"	"通关八王之乱1次"	"优质装备、装备升星石"	"200183"	""	"300"	"qiandao_main_png,day_yes"	"1"	"1"	""	
