"编号"	"丹药品级"	"同品级界面顺序"	"丹药ID指向"	"每日可使用数量上限"	"每角色可使用数量上限"	"丹药功效格式：属性类型，变化量只能有一种属性指向AttributeFormatConfig"	
"id"	"pill_lv"	"ui_sequence"	"item_id"	"num_limit_day"	"num_limit_life"	"attr_change"	
"int"	"int"	"int"	"int"	"int"	"int"	"int[2]"	
"cs"	"c"	"c"	"cs"	"cs"	"cs"	"cs"	
"1"	"1"	"1"	"808000"	"40"	"20000"	"1,1"	
"2"	"1"	"2"	"808001"	"20"	"10000"	"2,1"	
"3"	"1"	"3"	"808002"	"40"	"20000"	"0,20"	
"4"	"2"	"1"	"808003"	"20"	"8000"	"1,2"	
"5"	"2"	"2"	"808004"	"10"	"4000"	"2,2"	
"6"	"2"	"3"	"808005"	"20"	"8000"	"0,40"	
"7"	"3"	"1"	"808006"	"12"	"5000"	"1,3"	
"8"	"3"	"2"	"808007"	"6"	"2500"	"2,3"	
"9"	"3"	"3"	"808008"	"12"	"5000"	"0,60"	
"10"	"4"	"1"	"808009"	"10"	"3000"	"1,5"	
"11"	"4"	"2"	"808010"	"5"	"1500"	"2,5"	
"12"	"4"	"3"	"808011"	"10"	"3000"	"0,100"	
"13"	"5"	"1"	"808012"	"10"	"2000"	"1,8"	
"14"	"5"	"2"	"808013"	"5"	"1000"	"2,8"	
"15"	"5"	"3"	"808014"	"10"	"2000"	"0,160"	
