"id"	"道具特殊标签(填写的是资源图标图集pic_shop_png，名字pic_re是热卖，time是限时，zhekou是折扣)"	"道具特殊表现2（仅打折特效生效时间才会取）"	"商品折扣(填0-100,0和100均表示无折扣)"	"商品手填价格(优先级高于商品折扣)"	"上架时间(不填不上架)(如2016-04-0118:00:00)"	"下架时间(不填不下架)(如2014-04-0118:30:00)"	"折扣或特价生效时间(不填不打折)(如2014-04-0118:00:00)"	"折扣或特价失效时间(不填不取消打折)(如2014-04-0118:30:00)"	"是否显示在每日特惠1为每日限购2为尊爵限购3为精品特惠"	"全服限量"	"单人限量"	"单人每日限量"	"单次购买数量上限"	"购买尊爵限制"	""	""	""	""	
"id"	"label"	"label_discount"	"discount"	"fixedPrice"	"soldTimeBegin"	"soldTimeEnd"	"discountTimeBegin"	"discountTimeEnd"	"Ui_limit"	"globalLimit"	"singleLimit"	"singleLimitOneDay"	"max_count"	"vip_limt"	""	""	""	""	
"int"	"string[2]"	"string[2]"	"int"	"int"	"string"	"string"	"string"	"string"	"int"	"int"	"int"	"int"	"int"	"int"	""	""	""	""	
"cs"	"c"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"cs"	"cs"	"cs"	"c"	"cs"	""	""	""	""	
"1001"	"pic_shop_png,pic_re"	""	""	""	"2016-06-30-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1002"	"pic_shop_png,pic_re"	""	""	""	"2016-06-30-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1003"	""	""	""	""	"2016-06-30-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1004"	""	""	""	""	"2016-06-30-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1005"	""	""	""	""	"2016-06-30-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1006"	""	""	""	""	"2016-06-30-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1007"	"pic_shop_png,pic_re"	""	""	""	"2016-06-30-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1008"	""	""	""	""	"2016-06-30-00:00:00"	""	""	""	""	""	"50"	""	"50"	"0"	""	""	""	""	
"1009"	""	""	""	""	"2016-06-30-00:00:00"	""	""	""	""	""	"50"	""	"50"	"0"	""	""	""	""	
"1010"	""	""	""	""	"2016-06-30-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1011"	""	""	""	""	"2016-06-30-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1012"	""	""	""	""	"2016-06-30-00:00:00"	""	""	""	""	""	""	""	"50"	"0"	""	""	""	""	
"1013"	""	""	""	""	"2016-06-30-00:00:00"	""	""	""	""	""	""	""	"50"	"0"	""	""	""	""	
"1101"	""	""	""	""	"2016-07-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1102"	""	""	""	""	"2016-07-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1103"	""	""	""	""	"2016-07-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1104"	""	""	""	""	"2016-07-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1105"	""	""	""	""	"2016-07-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1106"	""	""	""	""	"2016-07-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1107"	""	""	""	""	"2016-07-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1108"	""	""	""	""	"2016-07-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1109"	""	""	""	""	"2016-07-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1110"	""	""	""	""	"2016-07-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1301"	""	""	""	""	"2016-07-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1302"	""	""	""	""	"2016-07-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1303"	""	""	""	""	"2016-07-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1304"	""	""	""	""	"2016-07-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1305"	""	""	""	""	"2016-07-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1306"	""	""	""	""	"2016-07-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1701"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1702"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
