"id"	"奖励位置"	"充值目标(金币)"	"奖励礼包id"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"id"	"award_point"	"recharge_goal"	"award_gift_id"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"int"	"int"	"int"	"int[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"cs"	"cs"	"cs"	"cs"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1"	"0"	"0"	"530849"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2"	"1"	"1"	"530844"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3"	"2"	"1"	"530845"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4"	"3"	"1"	"530846"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5"	"4"	"1"	"530847"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6"	"5"	"1"	"530848"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7"	"0"	"0"	"530855"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8"	"1"	"1"	"530850"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9"	"2"	"1"	"530851"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10"	"3"	"1"	"530852"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11"	"4"	"1"	"530853"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"12"	"5"	"1"	"530854"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"13"	"0"	"0"	"530849"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"14"	"1"	"1"	"530844"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"15"	"2"	"1"	"530845"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"16"	"3"	"1"	"530846"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"17"	"4"	"1"	"530847"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"18"	"5"	"1"	"530848"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
