"新手指引ID"	"自动关闭等级(玩家达到多少级后，登录时该指引会自动关闭)"	"触发条件"	"触发条件参数"	"触发后激活条件"	"激活条件的关系"	"前置指引ID"	"后置指引ID（打开）"	"激活时关闭其他ID（填数组)"	"打开自动完成（一般只用来关闭别人）"	"groupname"	"指引名称（策划专用）"	"utfname(程序用,不填)"	"指引倒计时"	""	
"id"	"closeLevel"	"triggerType"	"triggerKey"	"openCondition"	"conditionType"	"prefixid"	"suffixid"	"activeclose"	"closeTag"	"groupname"	"name"	"utfname"	"countdown"	""	
"int"	"int"	"int[]"	"int[]"	"int[]"	"int"	"int"	"int"	"int[]"	"bool"	"string[]"	"string"	"string"	"int"	""	
"cs"	"cs"	"cs"	"cs"	"s"	"s"	"s"	"s"	"s"	"s"	"c"	"s"	"s"	"c"	""	
"1"	"10"	"24"	"1501"	""	""	""	""	""	"0"	"shediao_zhuangbeikuaijie.helpergroup.txt"	"装备系统开放"	""	"5"	""	
"2"	"13"	"24"	"1540"	""	""	""	""	""	"0"	"fqh_shicong.helpergroup.txt"	"侍从开启"	""	"5"	""	
"3"	"20"	"24"	"1505"	""	""	""	""	""	"0"	"shediao_zuoqishengji.helpergroup.txt"	"坐骑开放"	""	"5"	""	
"4"	"25"	"24"	"1503"	""	""	""	""	""	"0"	"shediao_diyigeyingxiong.helpergroup.txt"	"抽卡（第一个英雄）"	""	"5"	""	
"5"	"25"	"24"	"1506"	""	""	""	""	""	"0"	"shediao_jingmai.helpergroup.txt"	"经脉系统"	""	"5"	""	
"6"	"30"	"24"	"1502"	""	""	""	""	""	"0"	"fqh_shicongshengji.helpergroup.txt"	"侍从升级"	""	"5"	""	
"7"	"30"	"24"	"1508"	""	""	""	""	""	"0"	"fqh_jineng.helpergroup.txt"	"技能系统"	""	"5"	""	
"8"	"38"	"24"	"1509"	""	""	""	""	""	"0"	"shediao_diercijingmai.helpergroup.txt"	"自动冲穴"	""	"5"	""	
"9"	"80"	"24"	"1510"	""	""	""	""	""	"0"	"shediao_fubenzhiyin.helpergroup.txt"	"剧情副本"	""	"5"	""	
"10"	"80"	"24"	"1511"	""	""	""	""	""	"0"	"shediao_bangpaizhiyin.helpergroup.txt"	"帮派指引"	""	"5"	""	
"11"	"75"	"24"	"1512"	""	""	""	""	""	"0"	"shediao_jingmai2.helpergroup.txt"	"第二次经脉系统"	""	"5"	""	
"12"	"300"	"24"	"1513"	""	""	""	""	""	"0"	"shediao_huanrenwu.helpergroup.txt"	"日常任务"	""	"5"	""	
"13"	"300"	"24"	"1514"	""	""	""	""	""	"0"	"shediao_zhuangbeishengxing.helpergroup.txt"	"装备升星"	""	"5"	""	
"14"	"300"	"24"	"1515"	""	""	""	""	""	"0"	"shediao_huashanlunjian.helpergroup.txt"	"华山论剑"	""	"5"	""	
"15"	"300"	"24"	"1516"	""	""	""	""	""	"0"	"shediao_zuoqishengji.helpergroup.txt"	"坐骑升级"	""	"5"	""	
"16"	"300"	"24"	"1517"	""	""	""	""	""	"0"	"shediao_yingxiongtiaozhan.helpergroup.txt"	"英雄副本"	""	"5"	""	
"17"	"300"	"24"	"1518"	""	""	""	""	""	"0"	"shediao_ziyuanben.helpergroup.txt"	"每日经验资源本"	""	"5"	""	
"18"	"300"	"24"	"1504"	""	""	""	""	""	"0"	"shediao_pvpzhiyin.helpergroup.txt"	"pvp战场"	""	"5"	""	
"19"	"300"	"24"	"1520"	""	""	""	""	""	"0"	"shediao_tongbiziyuan.helpergroup.txt"	"铜币本"	""	"5"	""	
"20"	"300"	"24"	"1521"	""	""	""	""	""	"0"	"shediao_kuafufuben.helpergroup.txt"	"跨服副本"	""	"3"	""	
"21"	"300"	"24"	"1522"	""	""	""	""	""	"0"	"shediao_qiandao.helpergroup.txt"	"每日签到"	""	"5"	""	
