"id"	"类型0=修改MagicType表1=修改EffectCommon表2=修改EffectCollison表3=修改EffectMotion表4=修改EffectFlexible表5=修改Aura表6=修改AuraEffect表"	"要修改的字段"	"字段hash(不填,程序用)"	"技能id"	"操作0=增加1=减少2=替换"	"操作值(对整数类型的字段操作,会自动转换为整数)"	""	""	""	""	""	""	""	""	
"id"	"type"	"field"	"field_hash"	"skill_id"	"oper_type"	"oper_val"	""	""	""	""	""	""	""	""	
"int"	"int"	"string"	"long"	"int"	"int"	"float"	""	""	""	""	""	""	""	""	
"cs"	"cs"	"s"	"s"	"cs"	"cs"	"cs"	""	""	""	""	""	""	""	""	
"100000"	"1"	"hurtPercentagePhys"	""	"1000"	"0"	"5.000000"	""	""	""	""	""	""	""	""	
"100010"	"1"	"hurtPercentagePhys"	""	"1000"	"0"	"40.000000"	""	""	""	""	""	""	""	""	
"100020"	"1"	"hurtPercentagePhys"	""	"1000"	"0"	"60.000000"	""	""	""	""	""	""	""	""	
"100100"	"1"	"hitBuff3"	""	"1000"	"2"	"110.000000"	""	""	""	""	""	""	""	""	
"100101"	"1"	"hitBuffChance3"	""	"1000"	"2"	"0.050000"	""	""	""	""	""	""	""	""	
"100110"	"1"	"hitBuff3"	""	"1000"	"2"	"110.000000"	""	""	""	""	""	""	""	""	
"100111"	"1"	"hitBuffChance3"	""	"1000"	"2"	"0.100000"	""	""	""	""	""	""	""	""	
"100120"	"1"	"hitBuff3"	""	"1000"	"2"	"110.000000"	""	""	""	""	""	""	""	""	
"100121"	"1"	"hitBuffChance3"	""	"1000"	"2"	"0.150000"	""	""	""	""	""	""	""	""	
"100200"	"1"	"hurtValuePhys"	""	"1000"	"0"	"20.000000"	""	""	""	""	""	""	""	""	
"100201"	"1"	"hurtValuePhys"	""	"1001"	"0"	"20.000000"	""	""	""	""	""	""	""	""	
"100210"	"1"	"hurtValuePhys"	""	"1000"	"0"	"33.000000"	""	""	""	""	""	""	""	""	
"100211"	"1"	"hurtValuePhys"	""	"1001"	"0"	"33.000000"	""	""	""	""	""	""	""	""	
"100220"	"1"	"hurtValuePhys"	""	"1000"	"0"	"46.000000"	""	""	""	""	""	""	""	""	
"100221"	"1"	"hurtValuePhys"	""	"1001"	"0"	"46.000000"	""	""	""	""	""	""	""	""	
"100230"	"1"	"hurtValuePhys"	""	"1000"	"0"	"60.000000"	""	""	""	""	""	""	""	""	
"100231"	"1"	"hurtValuePhys"	""	"1001"	"0"	"60.000000"	""	""	""	""	""	""	""	""	
"100240"	"1"	"hurtValuePhys"	""	"1000"	"0"	"75.000000"	""	""	""	""	""	""	""	""	
"100241"	"1"	"hurtValuePhys"	""	"1001"	"0"	"75.000000"	""	""	""	""	""	""	""	""	
"101000"	"1"	"hitBuff3"	""	"1010"	"2"	"1010.000000"	""	""	""	""	""	""	""	""	
"101001"	"1"	"hitBuffChance3"	""	"1010"	"2"	"1.000000"	""	""	""	""	""	""	""	""	
"101100"	"0"	"CDTime"	""	"1010"	"1"	"2000.000000"	""	""	""	""	""	""	""	""	
"102000"	"5"	"groupID"	""	"1020"	"2"	"2.000000"	""	""	""	""	""	""	""	""	
"102100"	"5"	"effectID3"	""	"1020"	"2"	"1021.000000"	""	""	""	""	""	""	""	""	
