"ID"	"排名"	"排名奖励[ID,NUM]"	"排名奖励银币"	"排名奖励荣誉"	"单挑胜利奖励银币"	"单挑胜利奖励荣誉"	"单挑胜利奖励武神勋章"	"单挑失败奖励银币"	"单挑失败奖励荣誉"	"单挑失败奖励武神勋章"	"客户端显示用宝箱序号"	"宝箱TIPS"	"宝箱资源icon"	
"id"	"rank"	"rank_award_item"	"rank_award_silver"	"rank_award_honor"	"win_award_silver"	"win_award_honor"	"win_award_medal"	"fail_award_silver"	"fail_award_honor"	"fail_award_medal"	"bagId"	"tips"	"icon"	
"int"	"int[2]"	"int[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"float[2]"	"int"	"string"	"string[]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"cl"	"c"	
"1"	"1,1"	"420104,1"	"0,0"	"1000,0"	"1000,0"	"50,0"	"0,0"	"1000,0"	"50,0"	"0,0"	"1"	"可以获得：武神荣誉1000"	"offlink_pk_png,7lv"	
"2"	"2,3"	"0,0"	"0,0"	"900,0"	"1000,0"	"50,0"	"0,0"	"1000,0"	"50,0"	"0,0"	"2"	"可以获得：武神荣誉900"	"offlink_pk_png,6lv"	
"3"	"4,5"	"0,0"	"0,0"	"800,0"	"1000,0"	"50,0"	"0,0"	"1000,0"	"50,0"	"0,0"	"2"	"可以获得：武神荣誉800"	"offlink_pk_png,6lv"	
"4"	"6,10"	"0,0"	"0,0"	"700,0"	"1000,0"	"50,0"	"0,0"	"1000,0"	"50,0"	"0,0"	"3"	"可以获得：武神荣誉700"	"offlink_pk_png,5lv"	
"5"	"11,20"	"0,0"	"0,0"	"600,0"	"1000,0"	"50,0"	"0,0"	"1000,0"	"50,0"	"0,0"	"4"	"可以获得：武神荣誉600"	"offlink_pk_png,4lv"	
"6"	"21,30"	"0,0"	"0,0"	"500,0"	"1000,0"	"50,0"	"0,0"	"1000,0"	"50,0"	"0,0"	"5"	"可以获得：武神荣誉500"	"offlink_pk_png,3lv"	
"7"	"31,50"	"0,0"	"0,0"	"400,0"	"1000,0"	"50,0"	"0,0"	"1000,0"	"50,0"	"0,0"	"5"	"可以获得：武神荣誉400"	"offlink_pk_png,3lv"	
"8"	"51,70"	"0,0"	"0,0"	"350,0"	"1000,0"	"50,0"	"0,0"	"1000,0"	"50,0"	"0,0"	"5"	"可以获得：武神荣誉350"	"offlink_pk_png,3lv"	
"9"	"71,100"	"0,0"	"0,0"	"300,0"	"1000,0"	"50,0"	"0,0"	"1000,0"	"50,0"	"0,0"	"6"	"可以获得：武神荣誉300"	"offlink_pk_png,2lv"	
"10"	"101,200"	"0,0"	"0,0"	"250,0"	"1000,0"	"50,0"	"0,0"	"1000,0"	"50,0"	"0,0"	"6"	"可以获得：武神荣誉250"	"offlink_pk_png,2lv"	
"11"	"201,500"	"0,0"	"0,0"	"200,0"	"1000,0"	"50,0"	"0,0"	"1000,0"	"50,0"	"0,0"	"6"	"可以获得：武神荣誉200"	"offlink_pk_png,2lv"	
"12"	"501,1000"	"0,0"	"0,0"	"150,0"	"1000,0"	"50,0"	"0,0"	"1000,0"	"50,0"	"0,0"	"7"	"可以获得：武神荣誉150"	"offlink_pk_png,1lv"	
"13"	"1001,999999"	"0,0"	"0,0"	"100,0"	"1000,0"	"50,0"	"0,0"	"1000,0"	"50,0"	"0,0"	"8"	"可以获得：武神荣誉100"	"offlink_pk_png,1lv"	
