"母任务id（与任务表对应）"	"随机任务库（与任务表对应）"	"最低可接等级"	"最高可接等级"	"任务总环数"	"奖励环数(任务总环数/奖励环数=物品id数量)"	"消耗元宝"	"特殊环奖励物品1"	"奖励数量1"	"特殊环奖励物品2"	"奖励数量2"	"特殊环奖励物品3"	"奖励数量3"	"特殊环奖励物品4"	"奖励数量4"	
"questid"	"quest_set"	"accept_min_level"	"accept_max_level"	"quest_round"	"quest_reward_step"	"quest_cost"	"special_quest_reward1"	"reward_num1"	"special_quest_reward2"	"reward_num2"	"special_quest_reward3"	"reward_num3"	"special_quest_reward4"	"reward_num4"	
"int"	"int[]"	"int"	"int"	"int"	"int"	"int"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"20000"	"20004,20013,20014,20015,20016,20017,20018,20019,20020,20021,20022,20023,20024,20025,20026,20027,20028,20029,20030,20031,20032,20033,20034,20035,20036,20037,20038,20039,20040,20041,20042,20043,20044,20045,20046,20047,20048,20049,20050"	"58"	"74"	"20"	"10"	"2"	"100002,100002"	"3750000,3750000"	"100010,100010"	"1200,1680"	"100035,100035"	"5,10"	"100044,100044"	"1,2"	
"20051"	"20052,20053,20054,20055,20056,20057,20058,20059,20060,20061,20062,20063,20064,20065,20066,20069,20071,20077,20079,20080,20081,20082,20083,20084,20085,20086,20087,20088,20089,20090,20091,20092,20093,20094,20095,20096,20097,20098,20099,20211"	"75"	"89"	"20"	"10"	"2"	"100002,100002"	"5625000,5625000"	"100010,100010"	"1250,1750"	"100035,100035"	"5,10"	"100044,100044"	"1,2"	
"20100"	"20101,20102,20103,20104,20105,20106,20107,20108,20109,20110,20122,20123,20124,20125,20126,20127,20128,20129,20130,20131,20132,20212,20213,20214,20215,20216,20217,20218,20219,20220,20221,20222,20223,20224,20225,20226,20227,20228,20229,20230,20231,20232,20233,20234,20235,20236,20237,20238,20239,20240,20241"	"90"	"104"	"20"	"10"	"2"	"100002,100002"	"11250000,11250000"	"100010,100010"	"1300,1825"	"100035,100035"	"5,10"	"100044,100044"	"1,2"	
"20111"	"20112,20113,20114,20115,20116,20117,20118,20119,20120,20121,20133,20134,20135,20136,20137,20138,20139,20140,20141,20142,20143,20144,20145,20146,20147,20148,20149,20242,20243,20244,20245,20246,20247,20248,20249,20250,20251,20252,20253,20254,20255,20256,20257,20258,20259,20260,20261,20262,20263,20264"	"105"	"119"	"20"	"10"	"2"	"100002,100002"	"28125000,28125000"	"100010,100010"	"1350,1900"	"100035,100035"	"5,10"	"100044,100044"	"1,2"	
"20150"	"20151,20152,20153,20154,20155,20156,20157,20158,20159,20160,20161,20167,20168,20169,20170,20171,20172,20173,20174,20175,20176,20177,20178,20179,20265,20266,20267,20268,20269,20270,20271,20272,20273,20274,20275,20276,20277,20278,20279,20280,20281,20282,20283,20284"	"120"	"134"	"20"	"10"	"2"	"100002,100002"	"56250000,56250000"	"100010,100010"	"1400,1950"	"100035,100035"	"5,10"	"100044,100044"	"1,2"	
"20180"	"20181,20182,20183,20184,20185,20186,20187,20188,20189,20190,20191,20192,20199,20200,20201,20202,20203,20204,20205,20206,20207,20208,20209,20210,20285,20286,20287,20288,20289,20290,20291,20292,20293,20294,20295,20296,20297,20298,20299,20300,20301,20302,20303,20304,20305"	"135"	"149"	"20"	"10"	"2"	"100002,100002"	"84375000,84375000"	"100010,100010"	"1450,2020"	"100035,100035"	"5,10"	"100044,100044"	"1,2"	
"20306"	"20307,20308,20309,20310,20311,20312,20313,20314,20315,20316,20317,20318,20319,20320,20321,20322,20323,20324,20325,20326,20327,20328,20329,20330,20331,20332,20333,20334,20335,20336,20337,20338,20339,20340,20341,20342,20343,20344,20345,20346,20347,20348,20349,20350,20351,20352,20353,20354,20355,20356"	"150"	"164"	"20"	"10"	"2"	"100002,100002"	"112500000,112500000"	"100010,100010"	"1500,2100"	"100035,100035"	"5,10"	"100044,100044"	"1,2"	
"20357"	"20358,20359,20360,20361,20362,20363,20364,20365,20366,20367,20368,20369,20370,20371,20372,20373,20374,20375,20376,20377,20378,20379,20380,20381,20382,20383,20384,20385,20386,20387"	"165"	"179"	"20"	"10"	"2"	"100002,100002"	"140625000,140625000"	"100010,100010"	"1550,2175"	"100035,100035"	"5,10"	"100044,100044"	"1,2"	
"20407"	"20408,20409,20410,20411,20412,20413,20414,20415,20416,20417,20418,20419,20420,20421,20422,20423,20424,20425,20426,20427,20428,20429,20430,20431,20432,20433,20434,20435,20436,20437,20438,20439,20440,20441,20442,20443,20444,20445,20446,20447,20448,20449,20450,20451,20452,20453,20454,20455,20456"	"180"	"194"	"20"	"10"	"2"	"100002,100002"	"168750000,168750000"	"100010,100010"	"1600,2250"	"100035,100035"	"5,10"	"100044,100044"	"1,2"	
"20457"	"20458,20459,20460,20461,20462,20463,20464,20465,20466,20467,20468,20469,20470,20471,20472,20473,20492,20493,20494,20495,20496,20497,20498,20499,20500,20501,20502,20503,20504,20505,20506"	"195"	"209"	"20"	"10"	"2"	"100002,100002"	"196875000,196875000"	"100010,100010"	"1650,2300"	"100035,100035"	"5,10"	"100044,100044"	"1,2"	
"20507"	"20508,20509,20510,20511,20512,20513,20514,20515,20516,20517,20518,20519,20520,20521,20522,20523,20542,20543,20544,20545,20546,20547,20548,20549,20550,20551,20552,20553,20554,20555,20556"	"210"	"224"	"20"	"10"	"2"	"100002,100002"	"225000000,225000000"	"100010,100010"	"1700,2375"	"100035,100035"	"5,10"	"100044,100044"	"1,2"	
"20557"	"20558,20559,20560,20561,20562,20563,20564,20565,20566,20567,20568,20569,20570,20571,20572,20573,20592,20593,20594,20595,20596,20597,20598,20599,20600,20601,20602,20603,20604,20605,20606"	"225"	"239"	"20"	"10"	"2"	"100002,100002"	"253125000,253125000"	"100010,100010"	"1750,2450"	"100035,100035"	"5,10"	"100044,100044"	"1,2"	
"20607"	"20608,20609,20610,20611,20612,20613,20614,20615,20616,20617,20618,20619,20620,20621,20622,20623,20624,20625,20626,20627,20628,20629,20630,20631,20632,20633,20634,20635,20636,20637,20638,20639,20640,20641,20642,20643,20644,20645"	"240"	"300"	"20"	"10"	"2"	"100002,100002"	"281250000,281250000"	"100010,100010"	"1800,2525"	"100035,100035"	"5,10"	"100044,100044"	"1,2"	
