"索引"	"轮数"	"兑换物品（ID,数量）"	"积分消耗"	""	""	""	""	
"index"	"round"	"item"	"score"	""	""	""	""	
"int"	"int"	"int[2]"	"int"	""	""	""	""	
"cs"	"cs"	"cs"	"cs"	""	""	""	""	
"1"	"0"	"420305,1"	"30000"	""	""	""	""	
"2"	"0"	"800291,1"	"10000"	""	""	""	""	
"3"	"0"	"100044,1"	"5000"	""	""	""	""	
"4"	"0"	"100203,1"	"4000"	""	""	""	""	
"5"	"0"	"110101,1"	"2000"	""	""	""	""	
"6"	"0"	"110201,1"	"2000"	""	""	""	""	
"7"	"0"	"110301,1"	"2000"	""	""	""	""	
"8"	"1"	"420305,1"	"30000"	""	""	""	""	
"9"	"1"	"800291,1"	"10000"	""	""	""	""	
"10"	"1"	"100044,1"	"5000"	""	""	""	""	
"11"	"1"	"100203,1"	"4000"	""	""	""	""	
"12"	"1"	"110101,1"	"2000"	""	""	""	""	
"13"	"1"	"110201,1"	"2000"	""	""	""	""	
"14"	"1"	"110301,1"	"2000"	""	""	""	""	
"15"	"2"	"420305,1"	"30000"	""	""	""	""	
"16"	"2"	"800291,1"	"10000"	""	""	""	""	
"17"	"2"	"100044,1"	"5000"	""	""	""	""	
"18"	"2"	"100203,1"	"4000"	""	""	""	""	
"19"	"2"	"110101,1"	"2000"	""	""	""	""	
"20"	"2"	"110201,1"	"2000"	""	""	""	""	
"21"	"2"	"110301,1"	"2000"	""	""	""	""	
"22"	"3"	"420305,1"	"30000"	""	""	""	""	
"23"	"3"	"800291,1"	"10000"	""	""	""	""	
"24"	"3"	"100044,1"	"5000"	""	""	""	""	
"25"	"3"	"100203,1"	"4000"	""	""	""	""	
"26"	"3"	"110101,1"	"2000"	""	""	""	""	
"27"	"3"	"110201,1"	"2000"	""	""	""	""	
"28"	"3"	"110301,1"	"2000"	""	""	""	""	
"29"	"4"	"420305,1"	"30000"	""	""	""	""	
"30"	"4"	"800291,1"	"10000"	""	""	""	""	
"31"	"4"	"100044,1"	"5000"	""	""	""	""	
"32"	"4"	"100203,1"	"4000"	""	""	""	""	
"33"	"4"	"110101,1"	"2000"	""	""	""	""	
"34"	"4"	"110201,1"	"2000"	""	""	""	""	
"35"	"4"	"110301,1"	"2000"	""	""	""	""	
"36"	"5"	"420305,1"	"30000"	""	""	""	""	
"37"	"5"	"800291,1"	"10000"	""	""	""	""	
"38"	"5"	"100044,1"	"5000"	""	""	""	""	
"39"	"5"	"100203,1"	"4000"	""	""	""	""	
"40"	"5"	"110101,1"	"2000"	""	""	""	""	
"41"	"5"	"110201,1"	"2000"	""	""	""	""	
"42"	"5"	"110301,1"	"2000"	""	""	""	""	
"43"	"6"	"420305,1"	"30000"	""	""	""	""	
"44"	"6"	"800291,1"	"10000"	""	""	""	""	
"45"	"6"	"100044,1"	"5000"	""	""	""	""	
"46"	"6"	"100203,1"	"4000"	""	""	""	""	
"47"	"6"	"110101,1"	"2000"	""	""	""	""	
"48"	"6"	"110201,1"	"2000"	""	""	""	""	
"49"	"6"	"110301,1"	"2000"	""	""	""	""	
