"探险ID"	"随机事件数组中的每一个ID均为事件ID"	"插入段"	"插入数量"	""	""	""	
"adventure_id"	"events"	"section"	"num"	""	""	""	
"int"	"int[]"	"float[2]"	"int"	""	""	""	
"s"	"s"	"s"	"s"	""	""	""	
"10001"	"1001,1002,1003,1004,1005"	"0,15"	"1"	""	""	""	
"10001"	"1001,1002,1003,1004,1005,1006"	"15,30"	"1"	""	""	""	
"10001"	"1001,1002,1003,1004,1005"	"30,45"	"1"	""	""	""	
"10001"	"1001,1002,1003,1004,1005,1006"	"45,60"	"1"	""	""	""	
"10001"	"1001,1002,1003,1004,1005"	"60,80"	"1"	""	""	""	
"10001"	"1001,1002,1003,1004,1005"	"80,100"	"1"	""	""	""	
"10002"	"1001"	"0,20"	"1"	""	""	""	
"10002"	"1002"	"20,30"	"1"	""	""	""	
"10002"	"1003"	"30,50"	"1"	""	""	""	
"10002"	"1004"	"50,60"	"1"	""	""	""	
"10002"	"1005"	"60,80"	"1"	""	""	""	
"10002"	"1006"	"80,100"	"1"	""	""	""	
