"效果ID"	"备注"	"效果类型"	"效果索引(程序用,不填)"	"周期时间"	"参数1"	"参数2"	"参数3"	"参数4"	"参数5"	"参数6"	"参数1等级修正"	"参数2等级修正"	"参数3等级修正"	"参数4等级修正"	"参数5等级修正"	"参数6等级修正"	"触发条件（触发型效果需填）"	"内置CD（触发型效果需填）"	"光环生效期间，附带触发器id=CombatTriggerConfig.xls"	""	""	
"id"	"desc"	"type"	"index"	"cycleTime"	"para1"	"para2"	"para3"	"para4"	"para5"	"para6"	"para1_lvmod"	"para2_lvmod"	"para3_lvmod"	"para4_lvmod"	"para5_lvmod"	"para6_lvmod"	"triggerCondition"	"internalCD"	"trigger_id"	""	""	
"int"	"string"	"string"	"int"	"int"	"int"	"int"	"int"	"float"	"float"	"float"	"string"	"string"	"string"	"string"	"string"	"string"	"string"	"int"	"int"	""	""	
"cs"	"cs"	"cs"	"s"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"s"	"s"	"cs"	""	""	
"1"	"不可操作"	"keepbitex"	"0"	"0"	"2"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"2"	"无敌"	"keepbitex"	"0"	"0"	"5"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"3"	"不可选为攻击目标"	"keepbitex"	"0"	"0"	"12"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"4"	"破甲表现"	"keepbitex"	"0"	"0"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"5"	"定帧表现"	"keepbitex"	"0"	"0"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"6"	"冻结全身泛蓝"	"keepbitex"	"0"	"0"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"7"	"小沉默（只能普攻：技能表中技能类型非0的）"	"keepbitex"	"0"	"0"	"10"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"8"	"拾取龙蛋"	"keepbitex"	"0"	"0"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"9"	"下坐骑下龙"	"touchingfloor"	"0"	"0"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"10"	"大沉默（不可用一切技能，包含普攻）"	"keepbitex"	"0"	"0"	"31"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"100"	"物防降低100%"	"attr"	"0"	"0"	"10"	"1"	"0"	"-1.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"101"	"魔防降低100%"	"attr"	"0"	"0"	"11"	"1"	"0"	"-1.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"150"	"缠绕"	"attr"	"0"	"0"	"32"	"1"	"0"	"-10.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"200"	"减速10%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.100000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"201"	"减速20%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.200000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"202"	"减速30%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.300000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"203"	"减速40%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.400000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"204"	"减速50%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.500000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"205"	"减速60%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.600000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"206"	"减速70%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.700000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"207"	"减速80%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.800000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"208"	"减速90%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.900000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"209"	"减速100%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-1.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"300"	"力量增加1000"	"attr"	"0"	"0"	"0"	"0"	"0"	"1000.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"301"	"力量减少1000"	"attr"	"0"	"0"	"0"	"0"	"0"	"-1000.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"1000"	"狂击减速50%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.500000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"1010"	"龙天赋冲锋减速30%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.300000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"1020"	"剑舞风暴"	"whirlwind"	"0"	"500"	"1021"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"1021"	"剑舞风暴天赋加速30%"	"attr"	"0"	"0"	"32"	"1"	"0"	"0.300000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"1022"	"剑舞风暴格挡值"	"attr"	"0"	"0"	"22"	"0"	"0"	"674.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,112],[61,100,674]]"	""	""	"null"	"0"	"-1"	""	""	
"1030"	"死亡之握减速"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.200000"	"0.000000"	"0.000000"	""	""	""	"[[2,200,-0.004]]"	""	""	"null"	"0"	"-1"	""	""	
"1040"	"圣躯燃烧加速40%"	"attr"	"0"	"0"	"32"	"1"	"0"	"0.200000"	"0.000000"	"0.000000"	""	""	""	"[[2,200,0.002]]"	""	""	"null"	"0"	"-1"	""	""	
"1041"	"圣躯燃烧物理攻击力提升"	"attr"	"0"	"0"	"8"	"1"	"0"	"0.100000"	"0.000000"	"0.000000"	""	""	""	"[[2,200,0.001]]"	""	""	"null"	"0"	"-1"	""	""	
"1070"	"回旋连舞格挡值"	"attr"	"0"	"0"	"22"	"0"	"0"	"674.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,60,112],[61,100,674]]"	""	""	"null"	"0"	"-1"	""	""	
"1080"	"战士跳劈无敌"	"keepbitex"	"0"	"0"	"5"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"1110"	"无限战意暴击值"	"attr"	"0"	"0"	"16"	"0"	"0"	"31.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,20,5],[21,40,19],[41,50,57],[51,200,80]]"	""	""	"null"	"0"	"-1"	""	""	
"1111"	"无限战意暴击率"	"attr"	"0"	"0"	"17"	"0"	"0"	"0.050000"	"0.000000"	"0.000000"	""	""	""	"[[2,200,0.002]]"	""	""	"null"	"0"	"-1"	""	""	
"1112"	"无限战意物攻"	"attr"	"0"	"0"	"8"	"1"	"0"	"0.100000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"1130"	"光之盾格挡值"	"attr"	"0"	"0"	"22"	"0"	"0"	"31.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,20,5],[21,40,19],[41,50,56],[51,200,79]]"	""	""	"null"	"0"	"-1"	""	""	
"1131"	"光之盾反弹"	"thorns"	"0"	"0"	"0"	"0"	"0"	"0.500000"	"0.000000"	"0.000000"	""	""	""	"[[2,100,5]]"	""	""	"null"	"0"	"-1"	""	""	
"1132"	"光之盾格挡加血"	"recover_when_block"	"0"	"0"	"1"	"0"	"0"	"0.100000"	"0.000000"	"0.000000"	""	""	""	"[[2,100,5]]"	""	""	"null"	"0"	"-1"	""	""	
"1133"	"光之盾所有伤害减免"	"attr"	"0"	"0"	"80"	"0"	"0"	"0.400000"	"0.000000"	"0.000000"	""	""	""	"[[2,200,0.004]]"	""	""	"null"	"0"	"-1"	""	""	
"1141"	"无双连斩"	"invincible_chop"	"0"	"280"	"1142"	"0"	"0"	"6.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"2000"	"毒箭中毒"	"dot"	"0"	"500"	"2000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"2001"	"毒箭减速"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.200000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"2010"	"榴弹减速"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.500000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"2011"	"榴弹眩晕"	"keepbitex"	"0"	"0"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"2021"	"死亡标记额外伤害"	"amplifydamage"	"0"	"0"	"207"	"0"	"0"	"0.100000"	"0.000000"	"0.000000"	""	""	""	"[[2,200,0.001]]"	""	""	"null"	"0"	"-1"	""	""	
"2022"	"死亡标记降低物防"	"attr"	"0"	"0"	"10"	"0"	"0"	"-21.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,20,-3],[21,40,-12],[41,50,-36],[51,200,-53]]"	""	""	"null"	"0"	"-1"	""	""	
"2023"	"死亡标记降低物防百分比"	"attr"	"0"	"0"	"11"	"1"	"0"	"-0.500000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"2024"	"死亡标记降低魔防百分比"	"attr"	"0"	"0"	"10"	"1"	"0"	"-0.500000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"2025"	"死亡标记降低魔防"	"attr"	"0"	"0"	"11"	"0"	"0"	"-21.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,20,-3],[21,40,-12],[41,50,-36],[51,200,-53]]"	""	""	"null"	"0"	"-1"	""	""	
"2050"	"暗影之舞闪避值"	"attr"	"0"	"0"	"14"	"0"	"0"	"111.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,20,19],[21,40,69],[41,50,204],[51,200,287]]"	""	""	"null"	"0"	"-1"	""	""	
"2051"	"暗影之舞连闪加速"	"attr"	"0"	"0"	"32"	"1"	"0"	"0.800000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"2052"	"绝影连闪"	"reduce_magic_cooldown_when_hit"	"0"	"0"	"0"	"10000"	"0"	"0.500000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"2053"	"暗影之舞闪避率"	"attr"	"0"	"0"	"15"	"0"	"0"	"0.200000"	"0.000000"	"0.000000"	""	""	""	"[[2,200,0.004]]"	""	""	"null"	"0"	"-1"	""	""	
"2054"	"暗影之舞攻击力"	"attr"	"0"	"0"	"8"	"1"	"0"	"0.050000"	"0.000000"	"0.000000"	""	""	""	"[[2,200,0.002]]"	""	""	"null"	"0"	"-1"	""	""	
"2060"	"影轮翻无敌"	"keepbitex"	"0"	"0"	"5"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"2061"	"影轮翻闪避值"	"attr"	"0"	"500"	"14"	"0"	"0"	"19.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,20,3],[21,40,12],[41,50,34],[51,200,49]]"	""	""	"null"	"0"	"-1"	""	""	
"2062"	"影轮翻加速"	"attr"	"0"	"500"	"32"	"1"	"0"	"0.100000"	"0.000000"	"0.000000"	""	""	""	"[[2,200,0.003]]"	""	""	"null"	"0"	"-1"	""	""	
"2080"	"乱射"	"volley"	"0"	"200"	"2081"	"0"	"0"	"0.000000"	"15.000000"	"180.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"2081"	"乱射-加闪避"	"attr"	"0"	"0"	"14"	"0"	"0"	"0.300000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"2090"	"弓箭手箭雨"	"whirlwind"	"0"	"500"	"2091"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"2101"	"爆炸箭dot"	"dot"	"0"	"1000"	"2103"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"2121"	"元素陷阱火dot"	"dot"	"0"	"1000"	"2122"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"3000"	"冰之铠甲"	"ice_shield"	"0"	"0"	"3001"	"1"	"1"	"600.000000"	"0.000000"	"10.000000"	""	""	""	"[[2,20,95],[21,40,350],[41,50,1040],[51,200,1510]]"	""	"[[2,200,0.1]]"	"null"	"0"	"-1"	""	""	
"3001"	"冰之铠甲减伤"	"attr"	"0"	"0"	"80"	"1"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"3010"	"等离子场加速"	"attr"	"0"	"0"	"32"	"1"	"0"	"0.300000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"3020"	"冰旋风"	"whirlwind"	"0"	"500"	"3021"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"3021"	"减速光环表现"	"keepbitex"	"0"	"0"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"3030"	"冰寒限界减速"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.500000"	"0.000000"	"0.000000"	""	""	""	"[[2,200,-0.0025]]"	""	""	"null"	"0"	"-1"	""	""	
"3040"	"连续电链"	"whirlwind"	"0"	"500"	"3041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"3050"	"闪电风暴"	"lightning_storm"	"0"	"500"	"3"	"3051"	"0"	"8.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"3051"	"闪电风暴加速"	"attr"	"0"	"0"	"32"	"1"	"0"	"0.200000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"3060"	"火焰波地面"	"whirlwind"	"0"	"500"	"3061"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"3061"	"火焰波dot"	"dot"	"0"	"500"	"3062"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
