"官职ID"	"官职名称"	"备注（策划用）"	"官职列表头像图片（图集，图片名）"	"官职原画图片（图集，图片名）"	"主界面美术字"	"列表名称美术字"	"当前品阶给人物增加属性（填总属性值，而非差值）（属性ID，属性值）"	"升阶条件1（Function表的ID，条件【后端用，没有填0，品质的话，品质。0=白色，1=绿色，2=蓝色，3=紫色，4=金色，5=橙色，6=红色】，满级数值【前端用】，描述文字【读Str】）"	"升阶条件2（Function表的ID，条件【后端用，没有填0，品质的话，品质。0=白色，1=绿色，2=蓝色，3=紫色，4=金色，5=橙色，6=红色】，满级数值【前端用】，描述文字【读Str】）"	"升阶条件3（Function表的ID，条件【后端用，没有填0，品质的话，品质。0=白色，1=绿色，2=蓝色，3=紫色，4=金色，5=橙色，6=红色】，满级数值【前端用】，描述文字【读Str】）"	"升阶条件4（Function表的ID，条件【后端用，没有填0，品质的话，品质。0=白色，1=绿色，2=蓝色，3=紫色，4=金色，5=橙色，6=红色】，满级数值【前端用】，描述文字【读Str】）"	
"id"	"name"	"note"	"government_icon_pic"	"government_pic"	"main_icon"	"list_icon"	"attr"	"s_condition1"	"s_condition2"	"s_condition3"	"s_condition4"	
"int"	"string"	"string"	"string[2]"	"string[2]"	"string[2]"	"string[2]"	"int[]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	
"cs"	"cl"	"c"	"c"	"c"	"c"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1001"	"提辖"	""	"icon_item1,icon_guanzhi01"	"guanzhi,guan01"	"shenqiname,s_guan09"	"shenqiname,s_guan09"	"0,1575,1,78,2,39"	"67,0,2,7501"	"68,0,2,7502"	"53,0,30,7505"	"55,0,2,7507"	
"1002"	"教头"	""	"icon_item1,icon_guanzhi02"	"guanzhi,guan02"	"shenqiname,s_guan08"	"shenqiname,s_guan08"	"0,4041,1,202,2,101"	"59,2,1,7510"	"53,0,50,7505"	"55,0,4,7507"	"24,0,1,7509"	
"1003"	"抚军"	""	"icon_item1,icon_guanzhi03"	"guanzhi,guan03"	"shenqiname,s_guan07"	"shenqiname,s_guan07"	"0,7641,1,382,2,191"	"67,0,3,7501"	"62,0,2,7512"	"55,0,5,7507"	"24,0,2,7509"	
"1004"	"都尉"	""	"icon_item1,icon_guanzhi04"	"guanzhi,guan04"	"shenqiname,s_guan06"	"shenqiname,s_guan06"	"0,12141,1,607,2,303"	"59,2,3,7510"	"68,0,3,7502"	"63,0,2,7513"	"24,0,3,7509"	
"1005"	"参军"	""	"icon_item1,icon_guanzhi05"	"guanzhi,guan05"	"shenqiname,s_guan05"	"shenqiname,s_guan05"	"0,18441,1,922,2,461"	"78,0,2,7518"	"62,0,3,7512"	"86,0,2,7519"	"53,0,60,7505"	
"1006"	"大将军"	""	"icon_item1,icon_guanzhi06"	"guanzhi,guan06"	"shenqiname,s_guan04"	"shenqiname,s_guan04"	"0,25941,1,1297,2,648"	"59,2,4,7510"	"87,0,2,7516"	"55,0,9,7507"	"53,0,80,7505"	
"1007"	"司马"	""	"icon_item1,icon_guanzhi07"	"guanzhi,guan07"	"shenqiname,s_guan03"	"shenqiname,s_guan03"	"0,35316,1,1765,2,882"	"88,0,2,7516"	"67,0,5,7501"	"62,0,5,7512"	"24,0,4,7509"	
"1008"	"太尉"	""	"icon_item1,icon_guanzhi08"	"guanzhi,guan08"	"shenqiname,s_guan02"	"shenqiname,s_guan02"	"0,47766,1,2388,2,1194"	"59,3,3,7523"	"86,0,3,7519"	"63,0,3,7513"	"82,3,2,7526"	
"1009"	"大元帅"	""	"icon_item1,icon_guanzhi09"	"guanzhi,guan09"	"shenqiname,s_guan01"	"shenqiname,s_guan01"	"0,63516,1,3175,2,1587"	"60,3,1,7511"	"68,0,4,7502"	"63,0,4,7513"	"82,3,3,7526"	
