"iD"	"副本等级难度(策划专用)"	"难度级别"	"副本开启min等级"	"副本开启max等级"	"刷怪ID组"	"可能获得的物品（展示用）物品+数量"	"通关奖励物品+数量"	"刷新BOSS消耗"	"推荐战力"	
"id"	"name"	"level"	"open_lvl_min"	"open_lvl_max"	"brush_boss"	"impos_item"	"reward_item"	"cost"	"recommend"	
"int"	"string"	"int"	"int"	"int"	"int"	"int[]"	"int[]"	"int"	"int"	
"cs"	"c"	"cs"	"cs"	"cs"	"cs"	"c"	"cs"	"cs"	"c"	
"1"	"40级简单"	"0"	"1"	"70"	"10041"	"22231000,1,22221000,1,100039,1"	"100039,6"	"10"	"11500"	
"2"	"40级普通"	"1"	"1"	"70"	"10042"	"22231000,1,22221000,1,100039,1"	"100039,8"	"10"	"24500"	
"3"	"40级困难"	"2"	"1"	"70"	"10043"	"22231000,1,22221000,1,100040,1,100039,1"	"100039,8,100040,1"	"10"	"35000"	
"4"	"80级简单"	"0"	"71"	"119"	"10081"	"22341000,1,22331000,1,22321000,1,100039,1"	"100039,8"	"10"	"29000"	
"5"	"80级普通"	"1"	"71"	"119"	"10082"	"22342000,1,22341000,1,22331000,1,22321000,1,100039,1"	"100039,10"	"10"	"101700"	
"6"	"80级困难"	"2"	"71"	"119"	"10083"	"22342000,1,22341000,1,22331000,1,22321000,1,100040,1,100039,1"	"100039,10,100040,1"	"10"	"215700"	
"7"	"120级简单"	"0"	"120"	"159"	"10121"	"22441000,1,22431000,1,22421000,1,100040,1,100039,1"	"100039,15,100040,1"	"10"	"70400"	
"8"	"120级普通"	"1"	"120"	"159"	"10122"	"22442000,1,22441000,1,22431000,1,22421000,1,100040,1,100039,1"	"100039,15,100040,2"	"10"	"252400"	
"9"	"120级困难"	"2"	"120"	"159"	"10123"	"22442000,1,22441000,1,22431000,1,22421000,1,100040,1,100039,1"	"100039,15,100040,3"	"10"	"542600"	
"10"	"160级简单"	"0"	"160"	"199"	"10161"	"22541000,1,22531000,1,22521000,1,100040,1,100039,1"	"100039,16,100040,1"	"10"	"172200"	
"11"	"160级普通"	"1"	"160"	"199"	"10162"	"22542000,1,22541000,1,22531000,1,22521000,1,100040,1,100039,1"	"100039,17,100040,2"	"10"	"595300"	
"12"	"160级困难"	"2"	"160"	"199"	"10163"	"22542000,1,22541000,1,22531000,1,22521000,1,100040,1,100039,1"	"100039,18,100040,3"	"10"	"1233600"	
"13"	"200级简单"	"0"	"200"	"239"	"10201"	"22641000,1,22631000,1,22621000,1,100040,1,100039,1"	"100039,16,100040,1"	"10"	"364400"	
"14"	"200级普通"	"1"	"200"	"239"	"10202"	"22651000,1,22641000,1,22631000,1,22621000,1,100040,1,100039,1"	"100039,17,100040,2"	"10"	"1175700"	
"15"	"200级困难"	"2"	"200"	"239"	"10203"	"22652000,1,22651000,1,22641000,1,22631000,1,22621000,1,100040,1"	"100039,18,100040,3"	"10"	"2307100"	
"16"	"240级简单"	"0"	"240"	"300"	"10251"	"22741000,1,22731000,1,22721000,1,100040,1,100039,1"	"100039,22,100040,1"	"10"	"609900"	
"17"	"240级普通"	"1"	"240"	"300"	"10252"	"22751000,1,22741000,1,22731000,1,22721000,1,100040,1,100039,1"	"100039,24,100040,2"	"10"	"1891200"	
"18"	"240级困难"	"2"	"240"	"300"	"10253"	"22752000,1,22751000,1,22741000,1,22731000,1,22721000,1,100040,1"	"100039,26,100040,3"	"10"	"3612600"	
