"法阵等级"	"类型（1=普通法阵,2=待定）"	"法阵升级所需材料ID"	"当前级法阵升级单次所需材料级量"	"当前级法阵升级所需总材料级量"	"当前级法阵附加属性（填总属性值，而非差值）（属性ID，属性值）"	"当前阶当前级属性占比（每次升阶段占总属性的百分之多少，填累加值，结果向下取整）（第1个数据是0星属性）"	
"id"	"kind"	"item_id"	"item_num"	"item_num_total"	"attr"	"level_percent"	
"int"	"int"	"int"	"int"	"int"	"int[]"	"float[]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"1"	"110401"	"2"	"4"	"0,2541,1,127,2,64,8,10,10,10,12,10,14,10,18,10,16,10"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"2"	"1"	"110401"	"2"	"4"	"0,5081,1,254,2,127,8,19,10,19,12,19,14,19,18,19,16,19"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"3"	"1"	"110401"	"2"	"4"	"0,7622,1,381,2,191,8,29,10,29,12,29,14,29,18,29,16,29"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"4"	"1"	"110401"	"2"	"4"	"0,10163,1,508,2,254,8,38,10,38,12,38,14,38,18,38,16,38"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"5"	"1"	"110401"	"2"	"4"	"0,12703,1,635,2,318,8,48,10,48,12,48,14,48,18,48,16,48"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"6"	"1"	"110401"	"2"	"4"	"0,15244,1,762,2,381,8,57,10,57,12,57,14,57,18,57,16,57"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"7"	"1"	"110401"	"2"	"4"	"0,17784,1,889,2,445,8,67,10,67,12,67,14,67,18,67,16,67"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"8"	"1"	"110401"	"2"	"4"	"0,20325,1,1016,2,508,8,76,10,76,12,76,14,76,18,76,16,76"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"9"	"1"	"110401"	"2"	"4"	"0,22866,1,1143,2,572,8,86,10,86,12,86,14,86,18,86,16,86"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
