"怪物唯一ID"	"地图ID"	"位置标识"	"位置X坐标"	"位置Y坐标"	"位置Z坐标"	"初始朝向(Z为正方向的旋转度数)"	
"guid"	"map"	"point_name"	"pos_x"	"pos_y"	"pos_z"	"orientation"	
"int"	"int"	"string"	"float"	"float"	"float"	"float"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"10090001"	"1009"	"scn1009_guai_team1_feizei"	"112.820000"	"60.460000"	"51.680000"	"0.000000"	
"10090002"	"1009"	"scn1009_guai_team1_feizei"	"105.680000"	"60.460000"	"51.680000"	"0.000000"	
"10090003"	"1009"	"scn1009_guai_team1_feizei"	"109.210000"	"60.460000"	"51.680000"	"0.000000"	
"10090004"	"1009"	"scn1009_guai_team1_nvcike"	"103.940000"	"64.900000"	"49.900000"	"0.000000"	
"10090005"	"1009"	"scn1009_guai_team1_nvcike"	"109.030000"	"64.900000"	"49.900000"	"0.000000"	
"10090006"	"1009"	"scn1009_guai_team1_nvcike"	"114.530000"	"64.900000"	"49.900000"	"0.000000"	
"10090007"	"1009"	"scn1009_guai_team2_feizei"	"103.820000"	"51.850000"	"76.360000"	"180.000800"	
"10090008"	"1009"	"scn1009_guai_team2_feizei"	"103.560000"	"51.850000"	"70.740000"	"0.000000"	
"10090009"	"1009"	"scn1009_guai_team2_feizei"	"96.610000"	"51.850000"	"70.930000"	"0.000000"	
"10090010"	"1009"	"scn1009_guai_team2_feizei"	"96.610000"	"51.850000"	"76.510000"	"180.000800"	
"10090011"	"1009"	"scn1009_guai_team2_nvcike"	"100.050000"	"51.850000"	"70.350000"	"0.000000"	
"10090012"	"1009"	"scn1009_guai_team2_nvcike"	"96.980000"	"51.850000"	"73.450000"	"90.000000"	
"10090013"	"1009"	"scn1009_guai_team2_nvcike"	"103.510000"	"51.850000"	"73.570000"	"270.000000"	
"10090014"	"1009"	"scn1009_guai_team2_nvcike"	"99.780000"	"51.850000"	"76.370000"	"180.000600"	
"10090015"	"1009"	"scn1009_guai_team2_rongzhi"	"99.880000"	"51.850000"	"74.150000"	"0.000000"	
"10090016"	"1009"	"scn1009_guai_team2_huacuo"	"100.980000"	"51.850000"	"73.590000"	"90.000000"	
"10090017"	"1009"	"scn1009_guai_team2_yuejiefei"	"99.880000"	"51.850000"	"72.870000"	"180.000800"	
"10090018"	"1009"	"scn1009_guai_team5_1"	"89.940000"	"50.910000"	"180.610000"	"0.000000"	
"10090019"	"1009"	"scn1009_guai_team5_2"	"92.850000"	"50.910000"	"180.610000"	"0.000000"	
"10090020"	"1009"	"scn1009_guai_team5_3"	"95.930000"	"50.910000"	"180.610000"	"0.000000"	
"10090021"	"1009"	"scn1009_guai_team5_jiangjun"	"92.990000"	"50.910000"	"183.880000"	"0.000000"	
"10090022"	"1009"	"scn1009_guai_team6_1"	"69.230000"	"52.869000"	"200.210000"	"0.000000"	
"10090023"	"1009"	"scn1009_guai_team6_2"	"71.650000"	"52.869000"	"200.170000"	"0.000000"	
"10090024"	"1009"	"scn1009_guai_team6_3"	"66.710000"	"52.869000"	"200.220000"	"0.000000"	
"10090025"	"1009"	"scn1009_guai_team6_liuse"	"70.680000"	"52.869000"	"202.230000"	"0.000000"	
