"所属法宝（ID*100+阶数ID）"	"当前阶法宝总属性（属性ID，属性值）"	"进阶所需材料"	"单次进阶所需材料数量"	"进阶所需材料总数量"	"升级所需材料"	"单次升级所需材料数量"	"各级所需升级材料数量第1个数据是1升2"	"当前阶当前级属性占比（每次升级占总属性的百分之多少，填累加值，结果向下取整）"	"技能ID（读MagicType表）"	
"weapon_id"	"class_attr"	"class_item"	"class_item_single"	"class_item_total"	"level_item"	"level_item_single"	"level_item_num"	"level_percent"	"skill_id"	
"int"	"int[]"	"int"	"int"	"int"	"int"	"int"	"int[9]"	"float[]"	"int"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"100101"	"1,310,2,212,0,5051,14,79,10,79,8,79"	"100043"	"1"	"2"	"100044"	"1"	"2,2,2,2,2,2,2,2,2"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25001000"	
"100102"	"1,1277,2,875,0,20799,14,328,10,328,8,328"	"100043"	"2"	"4"	"100044"	"2"	"6,6,6,6,6,6,6,6,6"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25001010"	
"100103"	"1,2736,2,1876,0,44569,14,703,10,703,8,703"	"100043"	"3"	"6"	"100044"	"3"	"12,12,12,12,12,12,12,12,12"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25001020"	
"100104"	"1,4561,2,3127,0,74282,14,1172,10,1172,8,1172"	"100043"	"4"	"12"	"100044"	"4"	"20,20,20,20,20,20,20,20,20"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25001030"	
"100105"	"1,6568,2,4503,0,106966,14,1688,10,1688,8,1688"	"100043"	"5"	"15"	"100044"	"5"	"30,30,30,30,30,30,30,30,30"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25001040"	
"100106"	"1,8575,2,5880,0,139650,14,2205,10,2205,8,2205"	"100043"	"6"	"18"	"100044"	"6"	"36,36,36,36,36,36,36,36,36"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25001050"	
"100107"	"1,10764,2,7381,0,175306,14,2767,10,2767,8,2767"	"100043"	"7"	"28"	"100044"	"7"	"49,49,49,49,49,49,49,49,49"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25001060"	
"100108"	"1,12953,2,8882,0,210962,14,3330,10,3330,8,3330"	"100043"	"8"	"32"	"100044"	"8"	"56,56,56,56,56,56,56,56,56"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25001070"	
"100109"	"1,15508,2,10634,0,252560,14,3987,10,3987,8,3987"	"100043"	"9"	"36"	"100044"	"9"	"72,72,72,72,72,72,72,72,72"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25001080"	
"100110"	"1,18244,2,12510,0,297129,14,4691,10,4691,8,4691"	"100043"	"0"	"0"	"100044"	"10"	"80,80,80,80,80,80,80,80,80"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25001090"	
"100201"	"1,292,2,186,0,6114,16,79,18,79,12,79"	"100043"	"1"	"2"	"100044"	"1"	"2,2,2,2,2,2,2,2,2"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25002000"	
"100202"	"1,1204,2,766,0,25177,16,328,18,328,12,328"	"100043"	"2"	"4"	"100044"	"2"	"6,6,6,6,6,6,6,6,6"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25002010"	
