"礼包ID"	"战士专属道具"	"弓箭手专属道具"	"法师专属道具"	"通用奖励物品1"	"通用奖励物品2"	"通用奖励物品3"	"通用奖励物品4"	"通用奖励物品5"	"通用奖励物品6"	"通用奖励物品7"	"通用奖励物品8"	"通用奖励物品9"	"通用奖励物品10"	"开启礼包全服公告（有的话填对应的serverstrID,没有不填）"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"id"	"warrior_items"	"archer_items"	"magician_items"	"item_1"	"item_2"	"item_3"	"item_4"	"item_5"	"item_6"	"item_7"	"item_8"	"item_9"	"item_10"	"serverstr"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"int"	"int[]"	"int[]"	"int[]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100201"	""	""	""	"100039,100"	"100040,20"	"100041,5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100202"	""	""	""	"100039,10"	"100040,1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100206"	""	""	""	"100001,100000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"110110"	""	""	""	"110111,10"	"110112,10"	"110113,10"	"110114,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"121001"	""	""	""	"121002,1"	""	"400001,1"	"100081,1"	"100082,1"	"100083,1"	"100084,1"	"100085,1"	"420001,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"121002"	""	""	""	"121003,1"	"100004,10"	"400001,1"	"100081,1"	"100082,1"	"100083,1"	"100084,1"	"100085,1"	"420001,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"121003"	""	""	""	"121004,1"	"100004,20"	"400001,1"	"100081,1"	"100082,1"	"100083,1"	"100084,1"	"100085,1"	"420002,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"121004"	""	""	""	"121005,1"	"100004,30"	"400001,1"	"100081,1"	"100082,1"	"100083,1"	"100084,1"	"100085,1"	"420002,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"121005"	""	""	""	"121006,1"	"100004,40"	"400001,1"	"100081,1"	"100082,1"	"100083,1"	"100084,1"	"100085,1"	"420002,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"121006"	""	""	""	"121007,1"	"100004,60"	"400001,1"	"100081,1"	"100082,1"	"100083,1"	"100084,1"	"100085,1"	"420003,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"121007"	""	""	""	""	"100004,80"	"400001,1"	"100081,1"	"100082,1"	"100083,1"	"100084,1"	"100085,1"	"420003,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
