"索引id"	"登录天数"	"图标"	"主题"	"展示战力"	"通用奖励物品ID"	"通用奖励数量"	"通用奖励物品ID"	"通用奖励数量"	"通用奖励物品ID"	"通用奖励数量"	"vip奖励物品ID丐帮"	"vip奖励数量"	"vip奖励物品ID全真"	"vip奖励数量"	"vip奖励物品ID少林"	"vip奖励数量"	"模型类型1.装备(人装备)2.坐骑(人骑乘)3.模型4.模型（自身旋转）"	"特殊显示.模型展示装备读ItemEquipConfig坐骑读rideconfig模型（2种）读CharacterConfig"	"模型展示全真"	"模型展示少林"	"选中时展示动作（act文件名）"	"距离模型X-CameraX模型Y-CameraY"	"角度"	"尺寸不调整尺寸该列填-1"	"展示描述（填写装备图集和图片名）"	"展示描述"	"展示描述"	"展示名称右上角文本描述"	"距离-主界面用模型X-CameraX模型Y-CameraY"	"角度-主界面用"	"尺寸-主界面用不调整尺寸该列填-1"	
"index"	"loginday"	"reward_icon"	"reward_name"	"fight_show"	"war_reward"	"war_reward_num"	"mag_reward"	"mag_reward_num"	"arc_reward"	"arc_reward_num"	"war_rewardvip"	"war_rewardvip_num"	"mag_rewardvip"	"mag_rewardvip_num"	"arc_rewardvip"	"arc_rewardvip_num"	"model_type"	"war_modelID"	"mag_modelID"	"arc_modelID"	"model_act_select"	"distance"	"angle"	"size"	"war_equip_des"	"mag_equip_des"	"arc_equip_des"	"model_title"	"distance_main"	"angle_main"	"size_main"	
"int"	"int"	"string[]"	"string"	"string"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int"	"int"	"int"	"int"	"string[]"	"float[2]"	"float[3]"	"float"	"string[]"	"string[]"	"string[]"	"int"	"float[2]"	"float[3]"	"float"	
"cs"	"cs"	"cl"	"cl"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"cl"	"cl"	"cl"	"c"	"c"	"c"	"c"	
"1"	"1"	"dengluIcon,dl_yuanbao"	"海量铜币"	"2794"	"100001,420315,110102,110103,500001,110101"	"2000000,1,6,4,1,10"	"100001,420315,110102,110103,500001,110101"	"2000000,1,6,4,1,10"	"100001,420315,110102,110103,500001,110101"	"2000000,1,6,4,1,10"	"100040,110102,110202,100203,400001,100001"	"30,1,1,1,1,10000"	"100040,110102,110202,100203,400001,100001"	"30,1,1,1,1,10000"	"100040,110102,110202,100203,400001,100001"	"30,1,1,1,1,10000"	"3"	"7003"	"7003"	"7003"	""	"0,0"	"-24,44,-14"	"0.4"	"chenghao_ceshi_s,biyishuangfei"	"chenghao_ceshi_s,biyishuangfei"	"chenghao_ceshi_s,biyishuangfei"	"13601"	"0.04,-0.091"	""	"0.5"	
"2"	"2"	"dengluIcon,day_zhongniannian"	"绝世女神"	"3557"	"800061,100101,110202,110203,500002,110201"	"30,100,6,4,1,10"	"800061,100101,110202,110203,500002,110201"	"30,100,6,4,1,10"	"800061,100101,110202,110203,500002,110201"	"30,100,6,4,1,10"	"800061,110102,110202,100203,400001,100001"	"40,1,1,1,1,10000"	"800061,110102,110202,100203,400001,100001"	"40,1,1,1,1,10000"	"800061,110102,110202,100203,400001,100001"	"40,1,1,1,1,10000"	"3"	"70006"	"70006"	"70006"	""	"0.1,-0.8"	""	"1.1"	"chenghao_ceshi_s,baidanian"	"chenghao_ceshi_s,baidanian"	"chenghao_ceshi_s,baidanian"	"13602"	"0.1,-1.2"	""	"1.1"	
"3"	"3"	"dengluIcon,day_wuqi"	"极品武器"	"2400"	"21141101,110401,110302,110303,500003,110301"	"1,6,6,4,1,10"	"21141301,110401,110302,110303,500003,110301"	"1,6,6,4,1,10"	"21141201,110401,110302,110303,500003,110301"	"1,6,6,4,1,10"	"100080,110102,110202,100203,400001,100001"	"20,1,1,1,1,10000"	"100080,110102,110202,100203,400001,100001"	"20,1,1,1,1,10000"	"100080,110102,110202,100203,400001,100001"	"20,1,1,1,1,10000"	"4"	"3"	"5"	"7"	""	"0,-0.1"	"0,0,-30"	"0.9"	"chenghao_ceshi_s,baidanian"	"chenghao_ceshi_s,baidanian"	"chenghao_ceshi_s,baidanian"	"13603"	"0,-0.1"	"0,0,-30"	"0.9"	
"4"	"4"	"dengluIcon,day_wyc"	"无影刺"	"1062"	"550100,110302,110405,100044,500001,110404"	"50,6,10,4,1,4"	"550100,110302,110405,100044,500001,110404"	"50,6,10,4,1,4"	"550100,110302,110405,100044,500001,110404"	"50,6,10,4,1,4"	"100044,110102,110202,100203,400001,100001"	"10,1,1,1,1,10000"	"100044,110102,110202,100203,400001,100001"	"10,1,1,1,1,10000"	"100044,110102,110202,100203,400001,100001"	"10,1,1,1,1,10000"	"3"	"40011"	"40011"	"40011"	""	"0.8,-1.2"	"2,122.55,-16.99"	"0.4"	"chenghao_ceshi_s,biyishuangfei"	"chenghao_ceshi_s,biyishuangfei"	"chenghao_ceshi_s,biyishuangfei"	"13601"	"0.8,-1.2"	"2,122.55,-16.99"	"0.4"	
"5"	"5"	"dengluIcon,day_cat"	"软萌宠物"	"3000"	"511002,110102,110103,100044,100203,110406"	"1,6,4,4,4,10"	"511002,110102,110103,100044,100203,110406"	"1,6,4,4,4,10"	"511002,110102,110103,100044,100203,110406"	"1,6,4,4,4,10"	"100040,110102,110202,100203,400001,100001"	"30,1,1,1,1,10000"	"100040,110102,110202,100203,400001,100001"	"30,1,1,1,1,10000"	"100040,110102,110202,100203,400001,100001"	"30,1,1,1,1,10000"	"3"	"30033"	"30033"	"30033"	"pet_zhaocaimao_standby1.act.txt"	"0,-0.4"	""	"0.7"	"chenghao_ceshi_s,baidanian"	"chenghao_ceshi_s,baidanian"	"chenghao_ceshi_s,baidanian"	"13601"	"0,-0.5"	""	"0.7"	
"6"	"6"	"dengluIcon,day_lu"	"神话坐骑"	"4000"	"521021,110202,110402,100044,100203,110401"	"1,6,4,4,4,10"	"521021,110202,110402,100044,100203,110401"	"1,6,4,4,4,10"	"521021,110202,110402,100044,100203,110401"	"1,6,4,4,4,10"	"100037,110102,110202,100203,400001,100001"	"15,1,1,1,1,10000"	"100037,110102,110202,100203,400001,100001"	"15,1,1,1,1,10000"	"100037,110102,110202,100203,400001,100001"	"15,1,1,1,1,10000"	"3"	"50001"	"50001"	"50001"	""	"0.2,-1.4"	"0,140,0"	"2"	"chenghao_ceshi_s,biyishuangfei"	"chenghao_ceshi_s,biyishuangfei"	"chenghao_ceshi_s,biyishuangfei"	"13603"	"0.2,-1.9"	"0,140,0"	"1.7"	
"7"	"7"	"dengluIcon,day_zhongniannian"	"女神强化"	"52600"	"800061,550100,100080,100044,100203,500002"	"40,50,30,4,4,1"	"800061,550100,100080,100044,100203,500002"	"40,50,30,4,4,1"	"800061,550100,100080,100044,100203,500002"	"40,50,30,4,4,1"	"800061,110102,110202,100203,400001,100001"	"40,1,1,1,1,10000"	"800061,110102,110202,100203,400001,100001"	"40,1,1,1,1,10000"	"800061,110102,110202,100203,400001,100001"	"40,1,1,1,1,10000"	"3"	"70006"	"70006"	"70006"	""	"0.1,-0.8"	""	"1.1"	"chenghao_ceshi_s,baidanian"	"chenghao_ceshi_s,baidanian"	"chenghao_ceshi_s,baidanian"	"13602"	"0.1,-1.2"	""	"1.1"	
