"id"	"玩家等级"	"A类任务ID库"	"A类任务概率"	"A类任务奖励系数"	"B类任务ID库"	"B类任务概率"	"B类任务奖励系数"	"C类任务ID库"	"C类任务奖励系数"	"D类任务ID库"	"D类任务奖励系数"	"自动刷新时间（单位秒）"	"普通刷新所需元宝"	"一键全橙刷新元宝"	"VIP刷新所需元宝"	"完成所需金币"	"每天可做次数"	
"id"	"humanLv"	"QuestA_ID"	"QuestA_rate"	"QuestA_multi"	"QuestB_ID"	"QuestB_rate"	"QuestB_multi"	"QuestC_ID"	"QuestC_multi"	"QuestD_ID"	"QuestD_multi"	"autoRefreshTime"	"goldRefreshPrice"	"HighqualityPrice"	"superRefreshPrice"	"goldFinishPrice"	"timesPerDay"	
"int"	"int[2]"	"int[]"	"int"	"float"	"int[]"	"int"	"float"	"int[]"	"float"	"int[]"	"float"	"int"	"int"	"int"	"int"	"int"	"int"	
"cs"	"cs"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"cs"	"cs"	"cs"	"cs"	"s"	
"1"	"35,59"	"30004,30008,30012,30016,30020,30024,30028,30032,30036,30040,30044,30048,30052,30056,30060,30064,30068,30072,30076,30080"	"1000"	"4"	"30003,30007,30011,30015,30019,30023,30027,30031,30035,30039,30043,30047,30051,30055,30059,30063,30067,30071,30075,30079"	"3000"	"3"	"30002,30006,30010,30014,30018,30022,30026,30030,30034,30038,30042,30046,30050,30054,30058,30062,30066,30070,30074,30078"	"2"	"30000,30005,30009,30013,30017,30021,30025,30029,30033,30037,30041,30045,30049,30053,30057,30061,30065,30069,30073,30077"	"1.000000"	"900"	"5"	"50"	"10"	"10"	"10"	
"2"	"60,84"	"30084,30088,30092,30096,30100,30104,30108,30112,30116,30120,30124,30128,30132,30136,30140,30144,30148,30152,30156,30160"	"1000"	"4"	"30083,30087,30091,30095,30099,30103,30107,30111,30115,30119,30123,30127,30131,30135,30139,30143,30147,30151,30155,30159"	"3000"	"3"	"30082,30086,30090,30094,30098,30102,30106,30110,30114,30118,30122,30126,30130,30134,30138,30142,30146,30150,30154,30158"	"2"	"30081,30085,30089,30093,30097,30101,30105,30109,30113,30117,30121,30125,30129,30133,30137,30141,30145,30149,30153,30157"	"1"	"900"	"5"	"50"	"10"	"10"	"10"	
"3"	"85,109"	"30164,30168,30172,30176,30180,30184,30188,30192,30196,30200"	"1000"	"4"	"30163,30167,30171,30175,30179,30183,30187,30191,30195,30199"	"3000"	"3"	"30162,30166,30170,30174,30178,30182,30186,30190,30194,30198"	"2"	"30161,30165,30169,30173,30177,30181,30185,30189,30193,30197"	"1"	"900"	"5"	"50"	"10"	"10"	"10"	
"4"	"110,134"	"30204,30208,30212,30216,30220,30224,30228,30232,30236,30240"	"1000"	"4"	"30203,30207,30211,30215,30219,30223,30227,30231,30235,30239"	"3000"	"3"	"30202,30206,30210,30214,30218,30222,30226,30230,30234,30238"	"2"	"30201,30205,30209,30213,30217,30221,30225,30229,30233,30237"	"1"	"900"	"5"	"50"	"10"	"10"	"10"	
"5"	"135,159"	"30244,30248,30252,30256,30260,30264,30268,30272,30276,30280"	"1000"	"4"	"30243,30247,30251,30255,30259,30263,30267,30271,30275,30279"	"3000"	"3"	"30242,30246,30250,30254,30258,30262,30266,30270,30274,30278"	"2"	"30241,30245,30249,30253,30257,30261,30265,30269,30273,30277"	"1"	"900"	"5"	"50"	"10"	"10"	"10"	
"6"	"160,184"	"30284,30288,30292,30296,30300,30304,30308,30312,30316,30320,30324,30328,30332,30336,30340,30344,30348,30352,30356,30360,30364"	"1000"	"4"	"30283,30287,30291,30295,30299,30303,30307,30311,30315,30319,30323,30327,30331,30335,30339,30343,30347,30351,30355,30359,30363"	"3000"	"3"	"30282,30286,30290,30294,30298,30302,30306,30310,30314,30318,30322,30326,30330,30334,30338,30342,30346,30350,30354,30358,30362"	"2"	"30281,30285,30289,30293,30297,30301,30305,30309,30313,30317,30321,30325,30329,30333,30337,30341,30345,30349,30353,30357,30361"	"1"	"900"	"5"	"50"	"10"	"10"	"10"	
"7"	"185,199"	"30368,30372,30376,30380,30384,30388,30392,30396,30400,30404,30408,30412,30416,30420,30424,30428,30432,30436,30440,30444"	"1000"	"4"	"30367,30371,30375,30379,30383,30387,30391,30395,30399,30403,30407,30411,30415,30419,30423,30427,30431,30435,30439,30443"	"3000"	"3"	"30366,30370,30374,30378,30382,30386,30390,30394,30398,30402,30406,30410,30414,30418,30422,30426,30430,30434,30438,30442"	"2"	"30365,30369,30373,30377,30381,30385,30389,30393,30397,30401,30405,30409,30413,30417,30421,30425,30429,30433,30437,30441"	"1"	"900"	"5"	"50"	"10"	"10"	"10"	
