"判定ID"	"描述"	"效果位0x01：结算伤害，0x02：结算buff/debuff"	"区域类型1.选中目标2.原点处圆形范围加偏移圆形半径,正向偏移,左向偏移3.选中目标点处圆形范围圆形半径4.原点前方扇形范围扇形外径,左偏移角，右偏移角,扇形内径，顶点偏移5.原点前方一定距离的长条形区域长度,宽度,偏移,旋转角度(逆时针)6.选中目标点前方一定距离的长条形区域长度,宽度7.从原点到选中目标点的长条形区域宽度"	"区域参数1"	"区域参数2"	"区域参数3"	"区域参数4"	"区域参数5"	"判定延迟时间（ms）"	"目标个数上限AOE技能可攻击的最大目标个数"	"范围搜索的逻辑规则0=1次结算；1=把判定区域按照距离分成n等分，依次结算；2=把判定区域按照距离分成n等分，依次叠加结算；3=在判定区域内按照时间平滑过渡结算"	"范围搜索顺序如果搜索逻辑规则不是0，则0=从近及远进行搜索；1=由远及近进行搜索"	"范围搜索间隔如果范围搜索逻辑规则是1或2，那么就是范围搜索的时间间隔；如果范围搜索逻辑规则是3，那么就是整个平滑搜索的时间，单位ms"	"范围搜索次数"	"受击表现效果ID"	"死亡时[碎尸几率,击飞几率]<=1，都填0时播放死亡动画"	"伤害-击退类型0:普通击退1:挤开2:拉到周围"	"伤害-击退几率(0-1)"	"伤害-击退距离最小值单位m"	"伤害-击退距离最大值单位m"	"击中产生buff1"	"击中产生buff2"	"击中产生buff3"	"buff1产生几率"	"buff2产生几率"	"buff3产生几率"	"物理力类型0=无，1=左切线,2=右切线,3=方向,4=爆炸//"	"力大小"	"力偏移角度"	"力校正(Y),提供向上方向打飞的力"	"力高度0=上1=中2=下"	"反向力(上)取值为0.0到1.0,表示百分比"	"反向力(中)取值为0.0到1.0,表示百分比"	"反向力(下)取值为0.0到1.0,表示百分比"	"是否必中"	"技能伤害百分比"	"技能伤害固定值"	"属性伤害类型0=物理，1=火，2=水，3=风，4=土"	"技能伤害百分比-等级修正"	"技能伤害固定值-等级修正"	""	
"commonID"	"des"	"effectBits"	"rangeType"	"rangePara1"	"rangePara2"	"rangePara3"	"rangePara4"	"rangePara5"	"delay"	"objectNum"	"searchLogic"	"searchSequence"	"searchTimeInteval"	"searchTimes"	"beatenPerformanceID"	"deadSmashProbablity"	"beatBackType"	"beatBackProbablity"	"beatBackDistMin"	"beatBackDistMax"	"hitBuff1"	"hitBuff2"	"hitBuff3"	"hitBuffChance1"	"hitBuffChance2"	"hitBuffChance3"	"physicsForceType"	"physicsForce"	"physicsForceAdjustAngle"	"physicsForceAdjustY"	"physicsForceHeight"	"physics_if_top"	"physics_if_middle"	"physics_if_bottom"	"isMustHit"	"hurtPercentage"	"hurtValue"	"additionalHurtType"	"hurtPercentageMods"	"hurtValueMods"	""	
"int"	"string"	"int"	"int"	"float"	"float"	"float"	"float"	"float"	"int"	"int"	"int"	"int"	"int"	"int"	"string"	"float[2]"	"int"	"float"	"float"	"float"	"int"	"int"	"int"	"float"	"float"	"float"	"int"	"float"	"float"	"float"	"float"	"float"	"float"	"float"	"bool"	"int"	"int"	"int"	"string"	"string"	""	
"cs"	""	"cs"	"s"	"cs"	"cs"	"cs"	"cs"	"cs"	"s"	"cs"	"s"	"s"	"s"	"s"	"c"	"cs"	"cs"	"s"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"s"	"cs"	"cs"	"cs"	"cs"	"cs"	""	
"999"	"boss定期aoe瞬秒人"	"1"	"2"	"99.000000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"999"	"0"	"0"	"0"	"0"	"0"	"0,0"	"0"	"0.000000"	"0.000000"	"0.000000"	"-1"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"0"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"1"	"100000"	"9999999"	"1"	""	""	""	
"1050"	"gm命令killall"	"1"	"2"	"99.000000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0,0"	"0"	"0.000000"	"0.000000"	"0.000000"	"-1"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"0"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"1"	"9999"	"9999"	"0"	""	""	""	
"10000000"	"主角技能"	"3"	"4"	"4.000000"	"120.000000"	"120.000000"	"0.000000"	"-0.500000"	"0"	"1"	"0"	"0"	"0"	"0"	""	"0,0"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"0"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"22"	"22"	"0"	"[[2,300,0]]"	"[[2,60,2],[61,80,6],[81,100,12],[101,120,18],[121,150,26],[151,200,39],[201,250,55],[251,300,71]]"	""	
"10100000"	"璇光斩1"	"3"	"5"	"6.000000"	"1.200000"	"-0.500000"	"0.000000"	"0.000000"	"0"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_2hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"325.000000"	"0.000000"	"0.960000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"63"	"63"	"0"	"[[2,300,0]]"	"[[2,60,17],[61,80,37],[81,100,80],[101,120,130],[121,150,224],[151,200,611],[201,250,878],[251,300,1050]]"	""	
"10100001"	"璇光斩2"	"3"	"4"	"3.300000"	"150.000000"	"150.000000"	"0.000000"	"-0.500000"	"0"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_2hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"1"	"325.000000"	"-25.000000"	"0.960000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"53"	"53"	"0"	"[[2,300,0]]"	"[[2,60,14],[61,80,31],[81,100,67],[101,120,109],[121,150,188],[151,200,514],[201,250,739],[251,300,883]]"	""	
"10100002"	"璇光斩3"	"3"	"4"	"3.300000"	"150.000000"	"150.000000"	"0.000000"	"-0.500000"	"0"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_2hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"2"	"325.000000"	"-25.000000"	"0.960000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"66"	"66"	"0"	"[[2,300,0]]"	"[[2,60,18],[61,80,39],[81,100,84],[101,120,136],[121,150,234],[151,200,640],[201,250,920],[251,300,1100]]"	""	
"10100003"	"璇光斩4"	"3"	"4"	"3.700000"	"150.000000"	"150.000000"	"0.000000"	"-0.500000"	"0"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_2hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"1"	"390.000000"	"-25.000000"	"0.960000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"103"	"103"	"0"	"[[2,300,0]]"	"[[2,60,28],[61,80,61],[81,100,131],[101,120,212],[121,150,366],[151,200,999],[201,250,1436],[251,300,1716]]"	""	
