"章节ID"	"章节名称"	"章节描述"	"章节展示"	"章节结点任务id"	"奖励物品1id"	"奖励物品1数量"	"奖励物品2id"	"奖励物品2数量"	"奖励物品3id"	"奖励物品3数量"	"奖励物品4id"	"奖励物品4数量"	"奖励物品5id"	"奖励物品5数量"	"奖励物品6id"	"奖励物品6数量"	
"id"	"chaptername"	"chapterdesc"	"chapterpic"	"lastquest"	"chapter_reward_item1_id"	"chapter_reward_item1_count"	"chapter_reward_item2_id"	"chapter_reward_item2_count"	"chapter_reward_item3_id"	"chapter_reward_item3_count"	"chapter_reward_item4_id"	"chapter_reward_item4_count"	"chapter_reward_item5_id"	"chapter_reward_item5_count"	"chapter_reward_item6_id"	"chapter_reward_item6_count"	
"int"	"string"	"string"	"string[]"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	
"cs"	"cl"	"cl"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"引子：府邸风波"	"貌似平静的公主别苑，实则暗潮涌动。知道谋反计划的刘楚玉将作何决定？"	""	"1050"	"800121"	"5"	"100004"	"20"	"100036"	"5"	""	""	""	""	""	""	
"2"	"第一章：新仇旧恨"	"江湖聚义，目标竟是柔弱公主。桓家的新仇旧恨，一场报复正在酝酿……"	"chapter1,chapter1"	"1083"	"800121"	"5"	"100004"	"25"	"100036"	"5"	""	""	""	""	""	""	
"3"	"第二章：红颜祸水"	"各处美男来荟萃，却是拜倒在一位女子的石榴裙下？这名女子究竟有怎样的魅力？"	"chapter1,chapter2"	"1121"	"800121"	"5"	"100004"	"30"	"100036"	"5"	""	""	""	""	""	""	
"4"	"第三章：危机四伏"	"太后病逝，皇帝驱鬼。华林园政变之后，往事都成灰烬……"	"chapter2,chapter3"	"1239"	"800121"	"5"	"100004"	"35"	"100036"	"5"	""	""	""	""	""	""	
"5"	"第四章：绝命逃亡"	"深宫中逃出，后有追兵，前路茫茫。生死之际，幸得相救。"	"chapter2,chapter4"	"1293"	"800121"	"5"	"100004"	"40"	"100036"	"5"	""	""	""	""	""	""	
"6"	"第五章：穷追不舍"	"皇族追杀，从此世上无楚玉。"	"chapter2,chapter5"	"1422"	"800121"	"5"	"100004"	"45"	"100036"	"5"	""	""	""	""	""	""	
"7"	"第六章：绝命天涯"	"高山流水、诗会结友，偷得浮生半日闲。"	"chapter3,chapter6"	"1429"	"800121"	"5"	"100004"	"50"	"100036"	"5"	""	""	""	""	""	""	
"8"	"第七章：不速之客"	"刺客之后又来追兵。为争夺法显，北魏秘使也来到了南朝……"	"chapter3,chapter7"	"1747"	"800121"	"5"	"100004"	"60"	"100036"	"5"	""	""	""	""	""	""	
"9"	"第八章：三件法器"	"华夏九鼎、龙渊剑、传国玉玺传说再现，成为各种势力追逐的焦点。"	"chapter3,chapter8"	"1914"	"800121"	"5"	"100004"	"70"	"100036"	"5"	""	""	""	""	""	""	
"10"	"第九章：分道扬镳"	"刘彧登机，刘昶北上，刘子勋南下，南朝天下三足鼎立。"	"chapter4,chapter9"	"2083"	"800121"	"5"	"100004"	"80"	"100036"	"5"	""	""	""	""	""	""	
"11"	"第十章：前尘往事"	"楚玉记忆被封印，暗藏的阴谋浮出水面……"	"chapter4,chapter10"	"2193"	"800121"	"5"	"100004"	"90"	"100036"	"5"	""	""	""	""	""	""	
"12"	"第十一章：明争暗斗"	"北魏出手，王朝将倾，明争暗斗，谁主沉浮？"	""	"2330"	"800121"	"5"	"100004"	"100"	"100036"	"5"	""	""	""	""	""	""	
"13"	"第十二章：神秘星罗"	"江湖朝堂俱乱，神秘星罗岩现世，中原将乱，谁才是最终霸者。"	""	"2461"	"800121"	"5"	"100004"	"110"	"100036"	"5"	""	""	""	""	""	""	
"14"	"第十三章：乱象将起"	"阴差阳错，华夏九鼎终出现。波澜随风起，何处得安身……"	""	"2582"	"800121"	"5"	"100004"	"120"	"100036"	"5"	""	""	""	""	""	""	
"15"	"第十四章：千秋大劫"	"北上寻找龙渊剑，却误入千秋城。神秘的千秋城和拂衣教之间到底有哪些秘密？"	""	"4139"	"800121"	"5"	"100004"	"130"	"100036"	"5"	""	""	""	""	""	""	
"16"	"第十五章：千秋之阵"	"一步一步走向陷阱的中心，到底是谁布下这千秋大阵？"	""	"4256"	"800121"	"5"	"100004"	"140"	"100036"	"5"	""	""	""	""	""	""	
"17"	"第十六章：江湖大梦"	"众人汇合，却遇拂衣教主。是生是死，可由天定？"	""	"4354"	"800121"	"5"	"100004"	"150"	"100036"	"5"	""	""	""	""	""	""	
"18"	"第十七章：武林之外"	"千秋城势力渗入江湖，是否又会掀起一番血雨腥风？"	""	"4489"	"800121"	"5"	"100004"	"160"	"100036"	"5"	""	""	""	""	""	""	
"19"	"第十八章"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20"	"第十九章"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
