"编号"	"怪物等级段"	"怪物ID随机选一刷怪物模型前7行为一波，循环复用"	"品质稀有度(1=绿，2=蓝，3=紫，4=金)"	"品质对应文字界面下拉菜单使用"	"提品消耗"	"击杀奖励（显示在界面中）可最多5个物品ID"	"界面模型体积缩放调整的是照射模型的摄像机Size"	"界面模型上下位移"	
"id"	"monster_lv"	"monster_id"	"color"	"color_str"	"expend_num"	"exp_num"	"model_size"	"model_pos_y"	
"int"	"int[2]"	"int[]"	"int"	"string"	"int[2]"	"int[]"	"float[]"	"float[]"	
"cs"	"cs"	"cs"	"cs"	"csl"	"cs"	"cs"	"c"	"c"	
"1"	"60,80"	"52001,52002,52003,52004"	"1"	"绿色品质"	"100075,1"	"100076,808256,808259"	"2.2,2.2,4.2,4.5"	"-1.7,-1.7,-3.2,-3.5"	
"2"	"60,80"	"52005,52006,52007,52008"	"2"	"蓝色品质"	"100075,2"	"100076,808256,808259"	"4.5,3.3,4,4.4"	"-3.5,-2.5,-3,-3.4"	
"3"	"60,80"	"52009,52010,52011,52012"	"3"	"紫色品质"	"100075,3"	"100076,808256,808259"	"4,3.3,2,3.8"	"-3.2,-2.6,-1.6,-3"	
"4"	"60,80"	"52013,52014,52015,52016"	"4"	"金色品质"	"0,0"	"100076,808256,808259"	"3.8,5,3.5,2.2"	"-2.9,-4,-2.7,-1.7"	
"5"	"81,100"	"52017,52018,52019,52020"	"1"	"绿色品质"	"100075,1"	"100076,808256,808259"	"3.6,3.5,3,4.4"	"-2.8,-2.7,-2.4,-3.8"	
"6"	"81,100"	"52021,52022,52023,52024"	"2"	"蓝色品质"	"100075,2"	"100076,808256,808259"	"2.5,4.6,2.4,3.6"	"-2,-3.5,-2,-3.7"	
"7"	"81,100"	"52025,52026,52027,52028"	"3"	"紫色品质"	"100075,3"	"100076,808256,808259"	"2.2,2.2,4.2,4.5"	"-1.7,-1.7,-3.2,-3.5"	
"8"	"81,100"	"52029,52030,52031,52032"	"4"	"金色品质"	"0,0"	"100076,808256,808259"	"4.5,3.3,4,4.4"	"-3.5,-2.5,-3,-3.4"	
"9"	"101,120"	"52033,52034,52035,52036"	"1"	"绿色品质"	"100075,1"	"100076,808256,808259"	"4,3.3,2,3.8"	"-3.2,-2.6,-1.6,-3"	
"10"	"101,120"	"52037,52038,52039,52040"	"2"	"蓝色品质"	"100075,2"	"100076,808256,808259"	"3.8,5,3.5,2.2"	"-2.9,-4,-2.7,-1.7"	
"11"	"101,120"	"52041,52042,52043,52044"	"3"	"紫色品质"	"100075,3"	"100076,808256,808259"	"3.6,3.5,3,4.4"	"-2.8,-2.7,-2.4,-3.8"	
