"自增id"	"兑换位置"	"兑换道具"	"道具原始价值"	"兑换道具积分价格"	
"id"	"pos"	"item"	"prices"	"price_point"	
"int"	"int"	"int[2]"	"int"	"int"	
"cs"	"cs"	"cs"	"c"	"cs"	
"1"	"1"	"820001,10"	"100"	"1000"	
"2"	"2"	"820001,100"	"1000"	"9000"	
"3"	"3"	"820001,255"	"2500"	"17500"	
"4"	"4"	"521039,100"	"35000"	"35000"	
"5"	"1"	"900025,1"	"500"	"100"	
"6"	"2"	"531082,1"	"2500"	"500"	
"7"	"3"	"900025,10"	"5000"	"900"	
"8"	"4"	"400308,10"	"12500"	"2500"	
"9"	"1"	"400200,1"	"100"	"500"	
"10"	"2"	"400200,10"	"1000"	"4000"	
"11"	"3"	"400200,50"	"5000"	"12000"	
"12"	"4"	"521040,40"	"20000"	"20000"	
