"子弹ID"	"描述"	"目标类型1.选中目标点（选点技能）2.选中目标方向固定距离的点（选点技能）距离3.选中原点处圆形范围内随机一个点（选点技能）范围半径4.选中目标点处圆形范围内随机一个点（选点技能）范围半径5.选择目标方向带方向偏移（子弹类技能）偏移角度6.选择目标方向随机方向偏移（子弹类技能）范围参数1（向左偏移角度一般为正数）范围参数2（向右偏移角度一般为负数）7.选中目标方向固定距离点带方向偏移（选点技能）距离偏移角度8.选中目标方向固定距离点随机方向偏移（选点技能）距离范围参数1范围参数2"	"目标参数1"	"目标参数2"	"目标参数3"	"产生方式0=平行1=扇形2=追踪3=随机曲线"	"产生数量"	"子弹空间间隔如果产生方式是0，则填入距离；如果产生方式是1，则填入角度"	"飞行曲线bezier曲线id-1表示直线1=2=3=4="	"最大飞行距离（m）"	"飞行速度（m/s）"	"碰撞后产生技能ID"	"最大碰撞次数"	"到最大距离是否产生效果"	"产生挂点定子弹飞出的高度挂点专人专用，绝不可复制"	"子弹产生挂点(坐标z,x,y)"	"子弹大小子弹的判定半径"	"只造成一次伤害"	"(全局)只造成一次伤害"	"生效延迟时间（ms）"	"子弹附加光环"	"掩码0x01=不产生碰撞"	"特效"	"消失表现"	"模型缩小比例"	
"collisionID"	"des"	"objType"	"objParam1"	"objParam2"	"objParam3"	"generateType"	"generateNum"	"bulletGap"	"bezierId"	"maxDist"	"speed"	"skillID"	"maxCollisionTimes"	"hasFinalEffect"	"bind"	"bind_new"	"scale"	"hitOnce"	"hitOnceG"	"delay"	"aura"	"flags"	"Effect"	"disappearAct"	"ReducedScale"	
"int"	"string"	"int"	"float"	"float"	"float"	"int"	"int"	"float"	"int"	"float"	"float"	"int"	"int"	"bool"	"string"	"float[]"	"float"	"bool"	"bool"	"int"	"int"	"int"	"string"	"string"	"float"	
"cs"	""	"s"	"s"	"s"	"s"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"s"	"s"	"c"	"cs"	"cs"	"cs"	"s"	"s"	"s"	"s"	"c"	"c"	"c"	
"10100010"	"五岳连横"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"3"	"30.000000"	"-1"	"5.500000"	"22.000000"	"-1"	"1"	"0"	"self"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"1"	"zhuanjian2_attack2_b.prefab"	""	"1.000000"	
"10101010"	"五岳连横"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"4"	"23.000000"	"-1"	"6.500000"	"22.000000"	"-1"	"1"	"0"	"self"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"1"	"zhuanjian3_attack2_b.prefab"	""	"1.000000"	
"10102010"	"五岳连横"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"5"	"14.000000"	"-1"	"7.000000"	"22.000000"	"-1"	"1"	"0"	"self"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"1"	"zhuanjian4_attack2_b.prefab"	""	"1.000000"	
"10103010"	"五岳连横"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"5"	"14.000000"	"-1"	"7.500000"	"22.000000"	"-1"	"1"	"0"	"self"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"1"	"zhuanjian4_attack2_b.prefab"	""	"1.000000"	
"10200010"	"五岳连横"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"3"	"30.000000"	"-1"	"5.500000"	"22.000000"	"-1"	"1"	"0"	"self"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"1"	"zhuanjian2_attack2_b.prefab"	""	"1.000000"	
"10201010"	"五岳连横"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"4"	"23.000000"	"-1"	"6.500000"	"22.000000"	"-1"	"1"	"0"	"self"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"1"	"zhuanjian3_attack2_b.prefab"	""	"1.000000"	
"10202010"	"五岳连横"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"5"	"14.000000"	"-1"	"7.000000"	"22.000000"	"-1"	"1"	"0"	"self"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"1"	"zhuanjian4_attack2_b.prefab"	""	"1.000000"	
