"法阵ID"	"法阵名字"	"法阵级别1=初级法阵；2=中级法阵；3=高级法阵；4=龙法阵；5=限时法阵"	"法阵类别（首位，1为普通法阵，2为幻形法阵，3为多人法阵）"	"有效期（天数永久填-1）"	"每个法阵装备槽最大等级（不判断填-1）"	"法阵最大阶（不判断填-1）"	"法阵最大级（不判断填-1）"	"等阶"	"法阵升级类型（对应MagicCircleLevelupConfig表中的类型，同类型可进行升级，0=未不可升级）"	"法阵突破类型（对应MagicCircleBreakupConfig表中的类型，同类型可进行升级，0=未不可升级）"	"法阵属性（针对幻形和多人，其他法阵不读取填-1）（属性ID，属性值）"	"法阵头像"	"新获得界面名称美术字"	"模型ID"	"法阵界面坐标"	"法阵界面角度"	"模型缩放"	"多人法阵对应CreatureType的ID"	"法阵主控者BUFF"	"跟随者BUFF（针对多人，其他法阵不读取填-1）"	"基础移动速度"	"法阵速度增量(百分比)"	"角色stand动画"	"角色srun动画"	"特效资源"	"特效挂点"	"排行榜中尺寸"	"排行榜中位置"	"排行榜中角度"	"商城中尺寸"	"商城中位置"	"商城中角度"	"新获得时尺寸"	"新获得时位置"	"新获得时角度"	"列表名称美术字"	"获取途径美术字"	"是否商城购买"	"跳转界面-1:不跳转数字：Gui表中的ID"	"标签页id-1:无数字：Gui表中的ID"	
"id"	"name"	"grade"	"sort"	"validity"	"itemhole_max"	"class_max"	"level_max"	"rank"	"levelsort"	"stagesort"	"attr"	"portrait"	"name_icon"	"character"	"ui_position"	"ui_rotation"	"model_scale"	"map_creature_id"	"MagicCirclebuff"	"followbuff"	"baseMoveSpeed"	"speed"	"stand"	"run"	"effectList"	"effectBandPointList"	"rank_size"	"rank_position"	"rank_rotation"	"mail_size"	"mail_position"	"mail_rotation"	"get_size"	"get_position"	"get_rotation"	"list_icon"	"achieve_icon"	"mall_buy"	"ui_id"	"ui_tab_id"	
"int"	"string"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int[]"	"string[2]"	"string[2]"	"int"	"float[2]"	"float[3]"	"float"	"int"	"int"	"int"	"float"	"float"	"string"	"string"	"string[]"	"string[]"	"float"	"float[2]"	"float[3]"	"float"	"float[2]"	"float[3]"	"float"	"float[2]"	"float[3]"	"string[2]"	"string[2]"	"int"	"int"	"int"	
"cs"	"csl"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"c"	"c"	"c"	"c"	"c"	"cs"	"cs"	"cs"	"c"	"cs"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	
"1001"	"龙腾"	"1"	"1001"	"-1"	"50"	"10"	"100"	"1"	"1"	"1"	"-1"	"icon_pet_png,jianzhen_01"	"shenqiname1,s_fz01"	"90001"	"0,0.2"	"0,0,0"	"1.8"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	""	""	""	""	""	""	"1.8"	"0,0.2"	"0,0,0"	"shenqiname1,s_fz01"	""	"0"	""	""	
"1002"	"流火"	"1"	"1002"	"-1"	"50"	"10"	"100"	"2"	"0"	"0"	"-1"	"icon_pet_png,jianzhen_02"	"shenqiname1,s_fz02"	"90002"	"0,0.2"	"0,0,0"	"1.8"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	""	""	""	""	""	""	"1.8"	"0,0.2"	"0,0,0"	"shenqiname1,s_fz02"	""	""	""	""	
"1003"	"三分天下"	"1"	"1003"	"-1"	"50"	"10"	"100"	"3"	"0"	"0"	"-1"	"icon_pet_png,jianzhen_03"	"shenqiname1,s_fz05"	"90003"	"0,0.2"	"0,0,0"	"1.8"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	""	""	""	""	""	""	"1.8"	"0,0.2"	"0,0,0"	"shenqiname1,s_fz05"	""	""	""	""	
"1004"	"斗转星移"	"1"	"1004"	"-1"	"50"	"10"	"100"	"4"	"0"	"0"	"-1"	"icon_pet_png,jianzhen_04"	"shenqiname1,s_fz06"	"90004"	"0,0.2"	"0,0,0"	"1.8"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	""	""	""	""	""	""	"1.8"	"0,0.2"	"0,0,0"	"shenqiname1,s_fz06"	""	""	""	""	
"1005"	"天衍"	"1"	"1005"	"-1"	"50"	"10"	"100"	"5"	"0"	"0"	"-1"	"icon_pet_png,jianzhen_05"	"shenqiname1,s_fz03"	"90005"	"0,0.2"	"0,0,0"	"1.8"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	""	""	""	""	""	""	"1.8"	"0,0.2"	"0,0,0"	"shenqiname1,s_fz03"	""	""	""	""	
"1006"	"移步生莲"	"1"	"1006"	"-1"	"50"	"10"	"100"	"6"	"0"	"0"	"-1"	"icon_pet_png,jianzhen_06"	"shenqiname1,s_fz04"	"90006"	"0,0.2"	"0,0,0"	"1.8"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	""	""	""	""	""	""	"1.8"	"0,0.2"	"0,0,0"	"shenqiname1,s_fz04"	""	""	""	""	
"1007"	"紫气东来"	"1"	"1007"	"-1"	"50"	"10"	"100"	"7"	"0"	"0"	"-1"	"icon_pet_png,jianzhen_07"	"shenqiname1,s_fz09"	"90007"	"0,0.2"	"0,0,0"	"2.1"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	""	""	""	""	""	""	"1.8"	"0,0.2"	"0,0,0"	"shenqiname1,s_fz09"	""	""	""	""	
