"所属神器（ID*100+阶数ID）"	"当前阶神器总属性（属性ID，属性值）"	"进阶所需材料"	"单次进阶所需材料数量"	"进阶所需材料总数量"	"升级所需材料"	"单次升级所需材料数量"	"各级所需升级材料数量第1个数据是1升2"	"当前阶当前级属性占比（每次升级占总属性的百分之多少，填累加值，结果向下取整）"	
"weapon_id"	"class_attr"	"class_item"	"class_item_single"	"class_item_total"	"level_item"	"level_item_single"	"level_item_num"	"level_percent"	
"int"	"int[]"	"int"	"int"	"int"	"int"	"int"	"int"	"float[]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"100101"	"1,11,2,1,0,137,14,2,16,2,12,2"	"0"	"0"	"0"	"110406"	"2"	"20"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100102"	"1,387,2,63,0,4799,14,75,16,75,12,75"	"0"	"0"	"0"	"110406"	"3"	"45"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100103"	"1,1106,2,180,0,13713,14,216,16,216,12,216"	"0"	"0"	"0"	"110406"	"4"	"80"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100104"	"1,2213,2,360,0,27427,14,433,16,433,12,433"	"0"	"0"	"0"	"110406"	"5"	"125"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100105"	"1,3541,2,577,0,43883,14,692,16,692,12,692"	"0"	"0"	"0"	"110406"	"6"	"180"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100106"	"1,5422,2,884,0,67197,14,1061,16,1061,12,1061"	"0"	"0"	"0"	"110406"	"7"	"280"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100107"	"1,7857,2,1281,0,97367,14,1537,16,1537,12,1537"	"0"	"0"	"0"	"110406"	"8"	"400"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100108"	"1,11067,2,1804,0,137136,14,2165,16,2165,12,2165"	"0"	"0"	"0"	"110406"	"0"	"0"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100201"	"1,7,2,8,0,108,16,2,8,2,10,2"	"0"	"0"	"0"	"110406"	"2"	"20"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100202"	"1,261,2,303,0,3789,16,75,8,75,10,75"	"0"	"0"	"0"	"110406"	"3"	"45"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100203"	"1,745,2,866,0,10826,16,216,8,216,10,216"	"0"	"0"	"0"	"110406"	"4"	"80"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100204"	"1,1491,2,1732,0,21653,16,433,8,433,10,433"	"0"	"0"	"0"	"110406"	"5"	"125"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100205"	"1,2386,2,2771,0,34645,16,692,8,692,10,692"	"0"	"0"	"0"	"110406"	"6"	"180"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100206"	"1,3654,2,4244,0,53050,16,1061,8,1061,10,1061"	"0"	"0"	"0"	"110406"	"7"	"280"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100207"	"1,5295,2,6149,0,76868,16,1537,8,1537,10,1537"	"0"	"0"	"0"	"110406"	"8"	"400"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100208"	"1,7458,2,8661,0,108265,16,2165,8,2165,10,2165"	"0"	"0"	"0"	"110406"	"0"	"0"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100301"	"1,8,2,4,0,151,10,2,12,2,18,2"	"0"	"0"	"0"	"110406"	"2"	"20"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100302"	"1,311,2,151,0,5305,10,75,12,75,18,75"	"0"	"0"	"0"	"110406"	"3"	"45"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100303"	"1,890,2,433,0,15157,10,216,12,216,18,216"	"0"	"0"	"0"	"110406"	"4"	"80"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100304"	"1,1780,2,866,0,30314,10,433,12,433,18,433"	"0"	"0"	"0"	"110406"	"5"	"125"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100305"	"1,2848,2,1385,0,48503,10,692,12,692,18,692"	"0"	"0"	"0"	"110406"	"6"	"180"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100306"	"1,4361,2,2122,0,74270,10,1061,12,1061,18,1061"	"0"	"0"	"0"	"110406"	"7"	"280"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100307"	"1,6320,2,3074,0,107616,10,1537,12,1537,18,1537"	"0"	"0"	"0"	"110406"	"8"	"400"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100308"	"1,8901,2,4330,0,151572,10,2165,12,2165,18,2165"	"0"	"0"	"0"	"110406"	"0"	"0"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100401"	"1,6,2,2,0,274,18,2,8,2,14,2"	"0"	"0"	"0"	"110406"	"2"	"20"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100402"	"1,218,2,75,0,9599,18,75,8,75,14,75"	"0"	"0"	"0"	"110406"	"3"	"45"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100403"	"1,625,2,216,0,27427,18,216,8,216,14,216"	"0"	"0"	"0"	"110406"	"4"	"80"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100404"	"1,1251,2,433,0,54854,18,433,8,433,14,433"	"0"	"0"	"0"	"110406"	"5"	"125"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100405"	"1,2001,2,692,0,87767,18,692,8,692,14,692"	"0"	"0"	"0"	"110406"	"6"	"180"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100406"	"1,3065,2,1061,0,134394,18,1061,8,1061,14,1061"	"0"	"0"	"0"	"110406"	"7"	"280"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100407"	"1,4441,2,1537,0,194734,18,1537,8,1537,14,1537"	"0"	"0"	"0"	"110406"	"8"	"400"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
"100408"	"1,6255,2,2165,0,274273,18,2165,8,2165,14,2165"	"0"	"0"	"0"	"110406"	"0"	"0"	"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1"	
