"性格ID"	"备注"	"进战斗随机延迟(单位：ms)"	"锁敌距离(单位：米)如果是机关，则锁敌和清除仇恨距离必须小于攻击距离"	"锁敌是否包含全场景内的玩家"	"锁敌是否包含全场景内的指定NPC"	"锁敌指定NPC的类型"	"恐吓几率（10000=%100）"	"恐吓时间（单位：ms）"	"恐吓施放距离（单位：米）"	"在绕敌圈内绕敌几率（10000=%100）"	"在绕地圈外绕敌几率（10000=%100）"	"绕敌动画时间（单位：ms）"	"强制每次绕敌重选绕敌点"	"绕敌圈半径（单位：米）"	"绕敌圈角度（单位：度）"	"绕敌超时时间（单位：ms）"	"攻击间隔"	"技能cd时追敌距离（停止在拒敌x米处）"	"行动选择超时（单位：ms）"	"追敌时间（单位：ms）"	"归位距离（单位：米）"	"清楚仇恨距离（单位：米）"	"加速追敌距离"	"加速追敌速度"	"加速绕敌速度"	"脱战不满血"	"脱战不清伤害信息"	
"ai_style"	"remark"	"enter_combat_delay"	"search_distance"	"search_all_palyer"	"search_extra_npc"	"extra_npc"	"threaten_probability"	"threaten_time"	"threaten_distance"	"harass_probability1"	"harass_probability2"	"harass_anim_time"	"harass_rechoice_point"	"harass_distance"	"harass_angle"	"harass_timeout"	"attack_cd"	"cd_chase_dist"	"action_choose_timeout"	"time_chase"	"homing_distance"	"clear_target_distance"	"chase_dist_1"	"chase_speed_1"	"harass_speed_1"	"not_full_hp"	"not_clean_damages"	
"int"	"string"	"int"	"int"	"bool"	"bool"	"string[]"	"int"	"int[2]"	"int[2]"	"int"	"int"	"int[2]"	"bool"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"float"	"int[2]"	"int"	"int"	"int"	"float[2]"	"float"	"float"	"bool"	"bool"	
"cs"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	
"1"	"冰火模板"	"500"	"150"	"1"	"0"	""	"3000"	"3000,3000"	"10,10"	"5000"	"5000"	"3000,4000"	"0"	"0,4"	"-90,90"	"10000,12000"	"1200,1800"	"2"	"6000,6000"	"30000"	"60"	"100"	"0,0"	""	""	""	""	
"30"	"全场景锁敌兽人战士"	"500"	"150"	"1"	"0"	""	"3000"	"3000,3000"	"10,10"	"5000"	"5000"	"3000,4000"	"0"	"0,4"	"-90,90"	"10000,12000"	"1200,1800"	"2"	"6000,6000"	"30000"	"60"	"100"	"0,0"	""	""	""	""	
"6200"	"新手村展示职业AI"	""	"30"	"0"	"0"	""	"0"	"2000,3000"	"12,15"	"2000"	"5000"	"1000,1500"	"1"	"8,16"	"-40,40"	"10000,12000"	"500,1000"	"15"	"12000,12000"	"30000"	"30"	"30"	"0,0"	""	""	""	""	
"6300"	"新手村展示职业AI"	""	"30"	"0"	"0"	""	"0"	"2000,3000"	"12,15"	"2000"	"5000"	"1000,1500"	"1"	"3,7"	"-30,30"	"10000,12000"	"500,1000"	"6"	"12000,12000"	"30000"	"30"	"30"	"0,0"	""	""	""	""	
"10401"	"哥布林_低频_野外"	"500"	"11"	"0"	"0"	""	"2000"	"2000,3000"	"8,10"	"1000"	"3000"	"2000,2500"	"0"	"0,7"	"-30,90"	"10000,12000"	"2000,3000"	"2"	"5000,6000"	"30000"	"20"	"20"	"9,20"	"4.500000"	"4.500000"	""	""	
"11100"	"剑盾小怪_野外"	"500"	"10"	"0"	"0"	""	"3000"	"2000,3000"	"5,10"	"1000"	"5000"	"2000,2500"	"0"	"0,4"	"-90,90"	"10000,12000"	"1000,2000"	"2"	"3000,4000"	"15000"	"20"	"20"	"0,0"	""	""	""	""	
"11802"	"邪教兽人_野外"	"500"	"10"	"0"	"0"	""	"1000"	"2000,3000"	"8,10"	"2500"	"5000"	"2000,2500"	"0"	"0,4"	"-90,90"	"10000,12000"	"1000,2000"	"2"	"5000,6000"	"15000"	"20"	"20"	"0,0"	""	""	""	""	
"13003"	"修炼场盗宝哥布林只会逃跑"	""	"10"	"1"	"0"	""	"0"	"0,0"	"0,0"	"10000"	"10000"	"1000,1500"	"1"	"0,15"	"-240,240"	"10000,12000"	"1000,2000"	"15"	"400,600"	"1000000"	"200"	"200"	"0,0"	""	"6.000000"	""	""	
"15101"	"世界BOSS地精机器人"	""	"15"	"0"	"0"	""	"2000"	"2000,3000"	"5,10"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"500,1000"	"4"	"10000,10000"	"300000"	"50"	"120"	"0,0"	""	""	""	""	
"15701"	"熊人_野外"	"500"	"15"	"0"	"0"	""	"2000"	"2000,3000"	"10,10"	"0"	"5000"	"0,0"	"0"	"0,4"	"-90,90"	"10000,12000"	"1000,2000"	"2"	"6000,6000"	"15000"	"20"	"20"	"0,0"	""	""	""	""	
"59303"	"水晶矿井boss"	""	"14"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"500,1000"	"2"	"6000,8000"	"30000"	"50"	"50"	"0,0"	""	""	"1"	"1"	
"75005"	"大地精矿长_野外1任务用"	""	"10"	"0"	"0"	""	"2000"	"2000,3000"	"8,15"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"2000,2500"	"2"	"6000,8000"	"1000000"	"200"	"200"	"0,8"	"5.000000"	""	""	""	
"100000"	"近战怪物性格模板"	""	"0"	"0"	"0"	""	"2000"	"2000,3000"	"5,10"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"150000"	"20"	"20"	"0,0"	""	""	""	""	
"100001"	"近战_无绕敌_追敌10米"	""	"6"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"100000"	"10"	"10"	"0,0"	""	""	""	""	
"100002"	"近战_无绕敌_追敌15米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"150000"	"15"	"15"	"0,0"	""	""	""	""	
"100003"	"近战_无绕敌_追敌20米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"200000"	"20"	"20"	"0,0"	""	""	""	""	
