"序号"	"分类。1=宝石，2=装备，3=材料"	"类型对应strID"	"等级"	"合成物品"	"消耗物品1"	"消耗物品2"	"消耗物品3"	"消耗物品4"	"子类型，标识道具子类对于装备，1=剑，2=弓，3=杖，4=头盔，5=肩膀，6=胸甲，7=护腿，8=项链，9=戒指，10=护符，11=时装剑，12=时装弓，13=时装杖，14=时装套装，15=时装翅膀对于材料，1=合成材料，2=合成配方对于宝石，数字表示宝石种类，共20种"	
"id"	"type"	"strID"	"level"	"compItem"	"consItem1"	"consItem2"	"consItem3"	"consItem4"	"subType"	
"int"	"int"	"int"	"int"	"int"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"1"	"100950"	"5"	"700501"	"700401,1"	"300201,1"	""	""	"1"	
"2"	"1"	"100950"	"6"	"700601"	"700501,1"	"300202,1"	""	""	"1"	
"3"	"1"	"100950"	"7"	"700701"	"700601,1"	"300203,1"	""	""	"1"	
"4"	"1"	"100950"	"8"	"700801"	"700701,1"	"300204,1"	""	""	"1"	
"5"	"1"	"100950"	"9"	"700901"	"700801,1"	"300205,1"	""	""	"1"	
"6"	"1"	"100950"	"10"	"701001"	"700901,1"	"300206,1"	""	""	"1"	
"7"	"1"	"100951"	"5"	"700502"	"700402,1"	"300201,1"	""	""	"2"	
"8"	"1"	"100951"	"6"	"700602"	"700502,1"	"300202,1"	""	""	"2"	
"9"	"1"	"100951"	"7"	"700702"	"700602,1"	"300203,1"	""	""	"2"	
"10"	"1"	"100951"	"8"	"700802"	"700702,1"	"300204,1"	""	""	"2"	
"11"	"1"	"100951"	"9"	"700902"	"700802,1"	"300205,1"	""	""	"2"	
"12"	"1"	"100951"	"10"	"701002"	"700902,1"	"300206,1"	""	""	"2"	
"13"	"1"	"100952"	"5"	"700503"	"700403,1"	"300201,1"	""	""	"3"	
"14"	"1"	"100952"	"6"	"700603"	"700503,1"	"300202,1"	""	""	"3"	
"15"	"1"	"100952"	"7"	"700703"	"700603,1"	"300203,1"	""	""	"3"	
"16"	"1"	"100952"	"8"	"700803"	"700703,1"	"300204,1"	""	""	"3"	
"17"	"1"	"100952"	"9"	"700903"	"700803,1"	"300205,1"	""	""	"3"	
"18"	"1"	"100952"	"10"	"701003"	"700903,1"	"300206,1"	""	""	"3"	
"19"	"1"	"100953"	"5"	"700504"	"700404,1"	"300201,1"	""	""	"4"	
"20"	"1"	"100953"	"6"	"700604"	"700504,1"	"300202,1"	""	""	"4"	
"21"	"1"	"100953"	"7"	"700704"	"700604,1"	"300203,1"	""	""	"4"	
"22"	"1"	"100953"	"8"	"700804"	"700704,1"	"300204,1"	""	""	"4"	
"23"	"1"	"100953"	"9"	"700904"	"700804,1"	"300205,1"	""	""	"4"	
"24"	"1"	"100953"	"10"	"701004"	"700904,1"	"300206,1"	""	""	"4"	
"25"	"1"	"100954"	"5"	"700505"	"700405,1"	"300201,1"	""	""	"5"	
"26"	"1"	"100954"	"6"	"700605"	"700505,1"	"300202,1"	""	""	"5"	
"27"	"1"	"100954"	"7"	"700705"	"700605,1"	"300203,1"	""	""	"5"	
"28"	"1"	"100954"	"8"	"700805"	"700705,1"	"300204,1"	""	""	"5"	
"29"	"1"	"100954"	"9"	"700905"	"700805,1"	"300205,1"	""	""	"5"	
"30"	"1"	"100954"	"10"	"701005"	"700905,1"	"300206,1"	""	""	"5"	
"31"	"1"	"100955"	"5"	"700506"	"700406,1"	"300201,1"	""	""	"6"	
"32"	"1"	"100955"	"6"	"700606"	"700506,1"	"300202,1"	""	""	"6"	
"33"	"1"	"100955"	"7"	"700706"	"700606,1"	"300203,1"	""	""	"6"	
"34"	"1"	"100955"	"8"	"700806"	"700706,1"	"300204,1"	""	""	"6"	
"35"	"1"	"100955"	"9"	"700906"	"700806,1"	"300205,1"	""	""	"6"	
"36"	"1"	"100955"	"10"	"701006"	"700906,1"	"300206,1"	""	""	"6"	
"37"	"1"	"100956"	"5"	"700507"	"700407,1"	"300201,1"	""	""	"7"	
"38"	"1"	"100956"	"6"	"700607"	"700507,1"	"300202,1"	""	""	"7"	
"39"	"1"	"100956"	"7"	"700707"	"700607,1"	"300203,1"	""	""	"7"	
"40"	"1"	"100956"	"8"	"700807"	"700707,1"	"300204,1"	""	""	"7"	
"41"	"1"	"100956"	"9"	"700907"	"700807,1"	"300205,1"	""	""	"7"	
"42"	"1"	"100956"	"10"	"701007"	"700907,1"	"300206,1"	""	""	"7"	
"43"	"1"	"100957"	"5"	"700508"	"700408,1"	"300201,1"	""	""	"8"	
"44"	"1"	"100957"	"6"	"700608"	"700508,1"	"300202,1"	""	""	"8"	
"45"	"1"	"100957"	"7"	"700708"	"700608,1"	"300203,1"	""	""	"8"	
"46"	"1"	"100957"	"8"	"700808"	"700708,1"	"300204,1"	""	""	"8"	
"47"	"1"	"100957"	"9"	"700908"	"700808,1"	"300205,1"	""	""	"8"	
"48"	"1"	"100957"	"10"	"701008"	"700908,1"	"300206,1"	""	""	"8"	
"49"	"1"	"100962"	"5"	"700514"	"700414,1"	"300201,1"	""	""	"9"	
"50"	"1"	"100962"	"6"	"700614"	"700514,1"	"300202,1"	""	""	"9"	
"51"	"1"	"100962"	"7"	"700714"	"700614,1"	"300203,1"	""	""	"9"	
"52"	"1"	"100962"	"8"	"700814"	"700714,1"	"300204,1"	""	""	"9"	
"53"	"1"	"100962"	"9"	"700914"	"700814,1"	"300205,1"	""	""	"9"	
"54"	"1"	"100962"	"10"	"701014"	"700914,1"	"300206,1"	""	""	"9"	
"55"	"1"	"100963"	"5"	"700513"	"700413,1"	"300201,1"	""	""	"10"	
"56"	"1"	"100963"	"6"	"700613"	"700513,1"	"300202,1"	""	""	"10"	
"57"	"1"	"100963"	"7"	"700713"	"700613,1"	"300203,1"	""	""	"10"	
"58"	"1"	"100963"	"8"	"700813"	"700713,1"	"300204,1"	""	""	"10"	
"59"	"1"	"100963"	"9"	"700913"	"700813,1"	"300205,1"	""	""	"10"	
"60"	"1"	"100963"	"10"	"701013"	"700913,1"	"300206,1"	""	""	"10"	
"61"	"1"	"100964"	"5"	"700516"	"700416,1"	"300201,1"	""	""	"11"	
"62"	"1"	"100964"	"6"	"700616"	"700516,1"	"300202,1"	""	""	"11"	
"63"	"1"	"100964"	"7"	"700716"	"700616,1"	"300203,1"	""	""	"11"	
"64"	"1"	"100964"	"8"	"700816"	"700716,1"	"300204,1"	""	""	"11"	
"65"	"1"	"100964"	"9"	"700916"	"700816,1"	"300205,1"	""	""	"11"	
"66"	"1"	"100964"	"10"	"701016"	"700916,1"	"300206,1"	""	""	"11"	
"67"	"1"	"100965"	"5"	"700515"	"700415,1"	"300201,1"	""	""	"12"	
"68"	"1"	"100965"	"6"	"700615"	"700515,1"	"300202,1"	""	""	"12"	
"69"	"1"	"100965"	"7"	"700715"	"700615,1"	"300203,1"	""	""	"12"	
"70"	"1"	"100965"	"8"	"700815"	"700715,1"	"300204,1"	""	""	"12"	
"71"	"1"	"100965"	"9"	"700915"	"700815,1"	"300205,1"	""	""	"12"	
"72"	"1"	"100965"	"10"	"701015"	"700915,1"	"300206,1"	""	""	"12"	
"73"	"1"	"100966"	"5"	"700518"	"700418,1"	"300201,1"	""	""	"13"	
"74"	"1"	"100966"	"6"	"700618"	"700518,1"	"300202,1"	""	""	"13"	
"75"	"1"	"100966"	"7"	"700718"	"700618,1"	"300203,1"	""	""	"13"	
"76"	"1"	"100966"	"8"	"700818"	"700718,1"	"300204,1"	""	""	"13"	
"77"	"1"	"100966"	"9"	"700918"	"700818,1"	"300205,1"	""	""	"13"	
