"等级"	"每10秒结算经验"	"单次挂机最长收益时间（单位为分钟）"	"空闲多久进入挂机(单位:秒，其实服务器只以第一行为准)"	"下线多久进入挂机(单位：秒，其实服务器只以第一行为准)"	
"lv"	"exp"	"maxTime"	"noOperationStart"	"leaveStart"	
"int"	"int"	"int"	"int"	"int"	
"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"110"	"720"	"60"	"300"	
"2"	"120"	"720"	"60"	"300"	
"3"	"130"	"720"	"60"	"300"	
"4"	"140"	"720"	"60"	"300"	
"5"	"150"	"720"	"60"	"300"	
"6"	"160"	"720"	"60"	"300"	
"7"	"170"	"720"	"60"	"300"	
"8"	"180"	"720"	"60"	"300"	
"9"	"190"	"720"	"60"	"300"	
"10"	"200"	"720"	"60"	"300"	
"11"	"210"	"720"	"60"	"300"	
"12"	"220"	"720"	"60"	"300"	
"13"	"230"	"720"	"60"	"300"	
"14"	"240"	"720"	"60"	"300"	
"15"	"250"	"720"	"60"	"300"	
"16"	"260"	"720"	"60"	"300"	
"17"	"270"	"720"	"60"	"300"	
"18"	"280"	"720"	"60"	"300"	
"19"	"290"	"720"	"60"	"300"	
"20"	"300"	"720"	"60"	"300"	
"21"	"310"	"720"	"60"	"300"	
"22"	"320"	"720"	"60"	"300"	
"23"	"330"	"720"	"60"	"300"	
"24"	"340"	"720"	"60"	"300"	
"25"	"350"	"720"	"60"	"300"	
"26"	"360"	"720"	"60"	"300"	
"27"	"370"	"720"	"60"	"300"	
"28"	"380"	"720"	"60"	"300"	
"29"	"390"	"720"	"60"	"300"	
"30"	"400"	"720"	"60"	"300"	
"31"	"410"	"720"	"60"	"300"	
"32"	"420"	"720"	"60"	"300"	
"33"	"430"	"720"	"60"	"300"	
"34"	"440"	"720"	"60"	"300"	
"35"	"450"	"720"	"60"	"300"	
"36"	"460"	"720"	"60"	"300"	
"37"	"470"	"720"	"60"	"300"	
"38"	"480"	"720"	"60"	"300"	
"39"	"490"	"720"	"60"	"300"	
"40"	"500"	"720"	"60"	"300"	
"41"	"550"	"720"	"60"	"300"	
"42"	"600"	"720"	"60"	"300"	
"43"	"650"	"720"	"60"	"300"	
"44"	"700"	"720"	"60"	"300"	
"45"	"750"	"720"	"60"	"300"	
"46"	"800"	"720"	"60"	"300"	
"47"	"850"	"720"	"60"	"300"	
"48"	"900"	"720"	"60"	"300"	
"49"	"950"	"720"	"60"	"300"	
"50"	"1000"	"720"	"60"	"300"	
"51"	"1157"	"720"	"60"	"300"	
"52"	"1157"	"720"	"60"	"300"	
"53"	"1157"	"720"	"60"	"300"	
"54"	"1157"	"720"	"60"	"300"	
"55"	"1157"	"720"	"60"	"300"	
"56"	"1157"	"720"	"60"	"300"	
"57"	"1157"	"720"	"60"	"300"	
"58"	"1157"	"720"	"60"	"300"	
"59"	"1157"	"720"	"60"	"300"	
"60"	"1157"	"720"	"60"	"300"	
"61"	"1157"	"720"	"60"	"300"	
"62"	"1157"	"720"	"60"	"300"	
"63"	"1157"	"720"	"60"	"300"	
"64"	"1157"	"720"	"60"	"300"	
"65"	"1157"	"720"	"60"	"300"	
"66"	"1157"	"720"	"60"	"300"	
"67"	"1157"	"720"	"60"	"300"	
"68"	"1157"	"720"	"60"	"300"	
"69"	"1736"	"720"	"60"	"300"	
"70"	"1736"	"720"	"60"	"300"	
"71"	"1736"	"720"	"60"	"300"	
"72"	"1736"	"720"	"60"	"300"	
"73"	"1736"	"720"	"60"	"300"	
"74"	"1736"	"720"	"60"	"300"	
"75"	"1736"	"720"	"60"	"300"	
"76"	"1736"	"720"	"60"	"300"	
"77"	"1736"	"720"	"60"	"300"	
"78"	"1736"	"720"	"60"	"300"	
"79"	"1736"	"720"	"60"	"300"	
"80"	"1736"	"720"	"60"	"300"	
"81"	"1851"	"720"	"60"	"300"	
"82"	"1967"	"720"	"60"	"300"	
"83"	"2083"	"720"	"60"	"300"	
"84"	"2199"	"720"	"60"	"300"	
"85"	"2314"	"720"	"60"	"300"	
"86"	"2546"	"720"	"60"	"300"	
"87"	"2777"	"720"	"60"	"300"	
"88"	"3009"	"720"	"60"	"300"	
"89"	"3240"	"720"	"60"	"300"	
"90"	"3472"	"720"	"60"	"300"	
"91"	"3703"	"720"	"60"	"300"	
"92"	"3935"	"720"	"60"	"300"	
"93"	"4166"	"720"	"60"	"300"	
"94"	"4398"	"720"	"60"	"300"	
"95"	"4629"	"720"	"60"	"300"	
"96"	"4861"	"720"	"60"	"300"	
"97"	"5092"	"720"	"60"	"300"	
"98"	"5324"	"720"	"60"	"300"	
"99"	"5555"	"720"	"60"	"300"	
"100"	"5787"	"720"	"60"	"300"	
"101"	"6365"	"720"	"60"	"300"	
"102"	"6944"	"720"	"60"	"300"	
"103"	"7523"	"720"	"60"	"300"	
"104"	"8101"	"720"	"60"	"300"	
"105"	"8680"	"720"	"60"	"300"	
"106"	"9259"	"720"	"60"	"300"	
"107"	"9837"	"720"	"60"	"300"	
"108"	"10416"	"720"	"60"	"300"	
"109"	"10995"	"720"	"60"	"300"	
"110"	"11574"	"720"	"60"	"300"	
"111"	"12152"	"720"	"60"	"300"	
"112"	"12731"	"720"	"60"	"300"	
"113"	"13310"	"720"	"60"	"300"	
"114"	"13888"	"720"	"60"	"300"	
"115"	"14467"	"720"	"60"	"300"	
"116"	"15046"	"720"	"60"	"300"	
"117"	"15625"	"720"	"60"	"300"	
"118"	"16203"	"720"	"60"	"300"	
"119"	"16782"	"720"	"60"	"300"	
"120"	"17361"	"720"	"60"	"300"	
"121"	"17939"	"720"	"60"	"300"	
"122"	"18518"	"720"	"60"	"300"	
"123"	"19097"	"720"	"60"	"300"	
"124"	"19675"	"720"	"60"	"300"	
"125"	"20254"	"720"	"60"	"300"	
"126"	"20833"	"720"	"60"	"300"	
"127"	"21412"	"720"	"60"	"300"	
"128"	"21990"	"720"	"60"	"300"	
"129"	"22569"	"720"	"60"	"300"	
"130"	"23148"	"720"	"60"	"300"	
"131"	"23726"	"720"	"60"	"300"	
"132"	"24305"	"720"	"60"	"300"	
"133"	"24884"	"720"	"60"	"300"	
"134"	"25462"	"720"	"60"	"300"	
"135"	"26041"	"720"	"60"	"300"	
"136"	"26620"	"720"	"60"	"300"	
"137"	"27199"	"720"	"60"	"300"	
"138"	"27777"	"720"	"60"	"300"	
"139"	"28356"	"720"	"60"	"300"	
"140"	"28935"	"720"	"60"	"300"	
"141"	"29513"	"720"	"60"	"300"	
"142"	"30092"	"720"	"60"	"300"	
"143"	"30671"	"720"	"60"	"300"	
"144"	"31250"	"720"	"60"	"300"	
"145"	"31828"	"720"	"60"	"300"	
"146"	"32407"	"720"	"60"	"300"	
"147"	"32986"	"720"	"60"	"300"	
"148"	"33564"	"720"	"60"	"300"	
"149"	"34143"	"720"	"60"	"300"	
"150"	"34722"	"720"	"60"	"300"	
"151"	"35300"	"720"	"60"	"300"	
"152"	"35879"	"720"	"60"	"300"	
"153"	"36458"	"720"	"60"	"300"	
"154"	"37037"	"720"	"60"	"300"	
"155"	"37615"	"720"	"60"	"300"	
"156"	"38194"	"720"	"60"	"300"	
"157"	"38773"	"720"	"60"	"300"	
"158"	"39351"	"720"	"60"	"300"	
"159"	"39930"	"720"	"60"	"300"	
"160"	"40509"	"720"	"60"	"300"	
"161"	"41087"	"720"	"60"	"300"	
"162"	"41666"	"720"	"60"	"300"	
"163"	"42245"	"720"	"60"	"300"	
"164"	"42824"	"720"	"60"	"300"	
"165"	"43402"	"720"	"60"	"300"	
"166"	"43981"	"720"	"60"	"300"	
"167"	"44560"	"720"	"60"	"300"	
"168"	"45138"	"720"	"60"	"300"	
"169"	"45717"	"720"	"60"	"300"	
"170"	"46296"	"720"	"60"	"300"	
"171"	"46875"	"720"	"60"	"300"	
"172"	"47453"	"720"	"60"	"300"	
"173"	"48032"	"720"	"60"	"300"	
"174"	"48611"	"720"	"60"	"300"	
