"条件ID(属性1-200，任务201-350，技能351-400，触发器401-460，控制类461-500，战斗501-600，场景601-700）"	"动作(具体)"	"条件类型1=大于2=小于3=等于4=大于等于5=小于等于6=不等于"	"参数1"	"参数2"	"参数3"	"条件名称（策划用方便查找和管理）"	""	""	""	""	""	
"id"	"action"	"op"	"param1"	"param2"	"param3"	"name"	""	""	""	""	""	
"int"	"int"	"int"	"int"	"int"	"int"	"string"	""	""	""	""	""	
"s"	"s"	"s"	"s"	"s"	"s"	""	""	""	""	""	""	
"1"	"1"	"4"	"1"	"5"	"0"	"人物等级大于等于5"	""	""	""	""	""	
"2"	"1"	"3"	"2"	"1"	"0"	"职业为战士"	""	""	""	""	""	
"3"	"1"	"3"	"2"	"2"	"0"	"职业为游侠"	""	""	""	""	""	
"4"	"1"	"3"	"2"	"3"	"0"	"职业为法师"	""	""	""	""	""	
"5"	"1"	"4"	"1"	"10"	"0"	"人物等级大于等于10"	""	""	""	""	""	
"6"	"1"	"4"	"1"	"20"	"0"	"人物等级大于等于20"	""	""	""	""	""	
"7"	"1"	"4"	"1"	"15"	""	"人物等级大于等于15"	""	""	""	""	""	
"8"	"1"	"4"	"1"	"25"	""	"人物等级大于等于25"	""	""	""	""	""	
"9"	"1"	"4"	"1"	"30"	""	"人物等级大于等于30"	""	""	""	""	""	
"10"	"1"	"4"	"1"	"16"	""	"人物等级大于等于16"	""	""	""	""	""	
"11"	"1"	"4"	"1"	"24"	""	"人物等级大于等于24"	""	""	""	""	""	
"12"	"1"	"4"	"1"	"36"	""	"人物等级大于36"	""	""	""	""	""	
"13"	"1"	"4"	"1"	"20"	""	"人物等级大于20"	""	""	""	""	""	
"14"	"75"	"3"	"1"	"0"	"0"	"血脉等级小于等于1"	""	""	""	""	""	
"15"	"1"	"4"	"1"	"28"	""	"人物等级大于等于28"	""	""	""	""	""	
"16"	"1"	"4"	"1"	"14"	""	"人物等级大于等于14"	""	""	""	""	""	
"17"	"1"	"4"	"1"	"13"	""	"人物等级大于等于13"	""	""	""	""	""	
"18"	"1"	"4"	"1"	"40"	""	"人物等级大于等于40"	""	""	""	""	""	
"19"	"1"	"4"	"1"	"45"	""	"人物等级大于等于45"	""	""	""	""	""	
"20"	"1"	"4"	"1"	"50"	""	"人物等级大于等于50"	""	""	""	""	""	
"21"	"1"	"4"	"1"	"99"	""	"人物等级大于等于99（临时关闭指引触发用）"	""	""	""	""	""	
"22"	"1"	"4"	"1"	"21"	""	"人物等级大于等于21"	""	""	""	""	""	
"23"	"1"	"4"	"1"	"23"	""	"人物等级大于等于23"	""	""	""	""	""	
"24"	"1"	"4"	"1"	"22"	""	"人物等级大于等于22"	""	""	""	""	""	
"25"	"1"	"4"	"1"	"19"	""	"人物等级大于等于19"	""	""	""	""	""	
"26"	"1"	"4"	"1"	"31"	""	"人物等级大于等于31"	""	""	""	""	""	
"27"	"1"	"4"	"1"	"5"	""	"人物等级大于等于5"	""	""	""	""	""	
"28"	"1"	"4"	"1"	"35"	""	"人物等级大于等于35"	""	""	""	""	""	
"29"	"1"	"4"	"1"	"32"	""	"人物等级大于等于32"	""	""	""	""	""	
"30"	"1"	"4"	"1"	"55"	""	"人物等级大于等于55"	""	""	""	""	""	
"201"	"22"	"3"	"93"	"0"	"0"	"接任务93"	""	""	""	""	""	
"202"	"24"	"3"	"54"	"0"	"0"	"交任务54"	""	""	""	""	""	
"203"	"25"	"3"	"1"	"1"	"1"	"杀怪计数1-任务12"	""	""	""	""	""	
"204"	"25"	"3"	"1"	"1"	"2"	"杀怪计数2-任务12"	""	""	""	""	""	
"205"	"23"	"3"	"14"	"0"	"0"	"可交任务15"	""	""	""	""	""	
"206"	"23"	"3"	"20"	"0"	"0"	"可交任务20"	""	""	""	""	""	
"207"	"23"	"3"	"19"	"0"	"0"	"可交任务7"	""	""	""	""	""	
"208"	"24"	"3"	"12"	"0"	"0"	"交任务12"	""	""	""	""	""	
"209"	"22"	"3"	"2"	"0"	"0"	"接任务2"	""	""	""	""	""	
"210"	"24"	"3"	"5"	"0"	"0"	"完成任务2"	""	""	""	""	""	
"211"	"23"	"3"	"3"	"0"	"0"	"可交任务3"	""	""	""	""	""	
"212"	"24"	"3"	"3"	"0"	"0"	"完成任务3"	""	""	""	""	""	
"213"	"22"	"3"	"10"	"0"	"0"	"接任务10"	""	""	""	""	""	
"214"	"23"	"3"	"7"	"0"	"0"	"可交任务7"	""	""	""	""	""	
"215"	"24"	"3"	"7"	"0"	"0"	"完成任务7"	""	""	""	""	""	
"216"	"24"	"3"	"12"	"0"	"0"	"可接任务1"	""	""	""	""	""	
"217"	"24"	"3"	"1"	"0"	"0"	"可接任务4"	""	""	""	""	""	
"218"	"24"	"3"	"34"	"0"	"0"	"可接任务9"	""	""	""	""	""	
"219"	"24"	"3"	"14"	"0"	"0"	"可接任务15"	""	""	""	""	""	
"220"	"24"	"3"	"4"	"0"	"0"	"可接任务34"	""	""	""	""	""	
"221"	"22"	"3"	"34"	"0"	"0"	"已接任务34"	""	""	""	""	""	
"222"	"24"	"3"	"6"	"0"	"0"	"完成任务6"	""	""	""	""	""	
"223"	"23"	"3"	"11"	"0"	"0"	"可交任务11"	""	""	""	""	""	
"224"	"22"	"3"	"21"	"0"	"0"	"已接任务21"	""	""	""	""	""	
"225"	"23"	"3"	"17"	"0"	"0"	"可交任务17"	""	""	""	""	""	
"226"	"24"	"3"	"11"	"0"	"0"	"完成任务11"	""	""	""	""	""	
"227"	"22"	"3"	"14"	"0"	"0"	"已接任务14"	""	""	""	""	""	
"228"	"24"	"3"	"14"	"0"	"0"	"完成任务14"	""	""	""	""	""	
"229"	"22"	"3"	"15"	"0"	"0"	"已接任务15"	""	""	""	""	""	
"230"	"23"	"3"	"14"	"0"	"0"	"可交任务14"	""	""	""	""	""	
"231"	"24"	"3"	"33"	"0"	"0"	"完成任务33"	""	""	""	""	""	
"232"	"23"	"3"	"31"	"0"	"0"	"完成任务34"	""	""	""	""	""	
"233"	"23"	"3"	"42"	"0"	"0"	"可交42号任务"	""	""	""	""	""	
"234"	"23"	"3"	"22"	"0"	"0"	"可交任务22号"	""	""	""	""	""	
"401"	"41"	"3"	"23"	"0"	"0"	"进入触发器23"	""	""	""	""	""	
"402"	"41"	"3"	"24"	"0"	"0"	"进入触发器24"	""	""	""	""	""	
"403"	"41"	"3"	"25"	"0"	"0"	"进入触发器25"	""	""	""	""	""	
"461"	"72"	"5"	"10"	"0"	"0"	"判断强化等级之和"	""	""	""	""	""	
"462"	"72"	"5"	"10"	"0"	"0"	"判断强化等级之和"	""	""	""	""	""	
