"索引"	"物品"	"物品位置"	"物品数量"	"物品概率（组内概率）"	"道具特殊品质框(1橙2金3紫4蓝)为了与连抽必中相关加入的特殊道具品质框,与档次无关,不填的时候显示道具本身的品质框"	"必中消费金额限制（x1到x2之间只中1次）"	"中奖是否公告"	"丐帮展示类型（1.装备，2.坐骑，3.时装，4.宝石,5.宠物,6.英雄，7.称号，8.其它模型）最后一位表示等级ID，类型，等级"	"伏魔展示类型（1.装备，2.坐骑，3.时装，4.宝石,5.宠物,6.英雄，7.称号，8.其它模型）最后一位表示等级ID，类型，等级"	"全真展示类型（1.装备，2.坐骑，3.时装，4.宝石,5.宠物,6.英雄，7.称号，8.其它模型）最后一位表示等级ID，类型，等级"	
"index"	"item"	"item_point"	"item_count"	"item_rate"	"color"	"spend_max"	"reward_broc"	"warrior_show_items"	"shooter_show_items"	"mage_show_items"	
"int"	"int"	"int"	"int"	"int"	"int"	"int[]"	"bool"	"int[]"	"int[]"	"int[]"	
"cs"	"cs"	"cs"	"cs"	"s"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"570070"	"6"	"1"	"100000"	"2"	""	"1"	""	""	""	
"2"	"800021"	"9"	"1"	"30000"	"2"	""	"1"	""	""	""	
"3"	"570030"	"3"	"1"	"30000"	"2"	""	"1"	""	""	""	
"4"	"110402"	"11"	"1"	"40000"	"3"	""	"0"	""	""	""	
"5"	"110404"	"2"	"1"	"33000"	"3"	""	"0"	""	""	""	
"6"	"110401"	"8"	"2"	"33000"	"3"	""	"0"	""	""	""	
"7"	"100037"	"5"	"1"	"34000"	"3"	""	"0"	""	""	""	
"8"	"800021"	"0"	"10"	"500"	"1"	"3000,6000,12000"	"1"	"104002,6,0"	"104002,6,0"	"104002,6,0"	
"9"	"110401"	"7"	"1"	"24500"	"4"	""	"0"	""	""	""	
"10"	"110405"	"4"	"1"	"25000"	"4"	""	"0"	""	""	""	
"11"	"100080"	"10"	"1"	"25000"	"4"	""	"0"	""	""	""	
"12"	"100040"	"1"	"1"	"25000"	"4"	""	"0"	""	""	""	
