"等级(列不能插入删除,否则全乱)"	"大逃杀奖励(经验,金钱)(光环用)"	"玩法2(光环用)"	"暗黑竞技场奖励(经验，银币)"	"物品使用等级对应装备基准售价"	"助威第一轮第二轮"	"助威第三轮第四轮"	"预留"	"预留"	"预留"	"预留"	"预留"	"预留"	"预留"	""	""	""	""	
"level"	"p1"	"p2"	"p3"	"p4"	"p5"	"p6"	"p7"	"p8"	"p9"	"p10"	"p11"	"p12"	"p13"	""	""	""	""	
"int"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	""	""	""	""	
"cs"	"cs"	"s"	"cs"	"s"	"cs"	"cs"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	""	""	""	""	
"1"	"0,0"	"0,100"	"10,1000"	"31,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"2"	"0,0"	"0,101"	"10,1000"	"33,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"3"	"0,0"	"0,102"	"10,1000"	"35,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"4"	"0,0"	"0,103"	"10,1000"	"38,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"5"	"0,0"	"0,104"	"10,1000"	"41,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"6"	"0,0"	"0,105"	"10,1000"	"45,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"7"	"0,0"	"0,106"	"10,1000"	"49,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"8"	"0,0"	"0,107"	"10,1000"	"54,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
