"索引数字ID"	"名称（策划内部使用）"	"显示名称"	"类型0:怪1:npc2:可破坏物件3:静物4:采集物5.护送目标6.多人坐骑7.侍从"	"显示等级"	"初始化数值"	"显示头像"	"怪类型(0=普通怪,1=精英怪,2=稀有怪,3=首领怪,4=超级首领怪)"	"boss血条数"	"称谓"	"是否显示名称"	"是否显示npc/怪物血条该字段优先级大于游戏设置面板中的【显示怪物生命条】"	"是否可见"	"刚体特性.位移"	"选取特性.鼠标"	"选取特性.技能(是否可以被选中攻击目标，即是否无敌）"	"角色模型"	"缩放"	"模型放大的比率"	"移动速度"	"空闲速度"	"尺寸对位"	"技能判断点围绕着怪物进行分布。填100开头的代表两层，1000开头代表有3层"	"普通掉落"	"boss掉落(索引到BossDropConfig表)"	"掉落半径"	"屏蔽世界掉落"	"是否主动攻击"	"初始化阵营"	"ADD距离/静物触发距离"	"ADD数量/静物点击触发技能/采集物采集技能(采集距离和读条时间都由技能控制)"	"ADD延迟/采集物获得物品掉落ID"	"ADD开关（是否需要ADD别人）"	"被ADD开关（可否被ADD）"	"出生时检测是否需被ADD(用于控制怪物出生时是否寻找周围的盟友并触发进入战斗)"	"闲聊"	"交互类型（影响鼠标样式）0，无交互；1，传送门（金色）；2，传送门（蓝色）"	"传送门名称特效"	"角色功能"	"出生动画（对应ActionGroup）"	"死亡表现（对应ActionGroup）"	"死亡方式0=act1=重力"	"死后消失判断（跟刷新挂钩)"	"寿命"	"ai脚本"	"性格（索引到性格表）尽量不要乱填，去性格表里找对应模板"	"能力（索引到能力表）"	"进战斗说话"	"静物默认触发脚本"	"角色功能头顶图标无功能=0有功能=特效图标名称"	"是否被裁剪//当从屏幕外到屏幕内出现问题时多半是这个需要填成false"	"是否在交互中转向"	"场景层"	"DmaDialogShiftX,Y"	"DmaDialogEulerAngleX,Y"	"剧情中特殊的选中"	"是否修正坐标到地面"	"显示受击伤害的偏移"	"自动战斗ai攻击优先级"	"耐久值"	"破甲buff"	"破甲硬直时间"	"破甲普通掉落"	"点击语音"	"拒绝他人光环"	"脚步act"	"选中脚下光圈大小1-5共5档玩家等大=3boss=4超级大=5小动物=1or2"	"模型变色1=蓝色2=紫色3=金色4-橙色其他数字/留空=不变色"	""	""	""	""	""	""	""	""	
"id"	"index_name"	"name"	"type"	"level"	"attr_id"	"portrait"	"monster_type"	"boss_hp_count"	"title"	"show_name"	"show_hmbar"	"visible"	"rigid_move"	"choose_mouse"	"choose_skill"	"avatar_config_id"	"scale"	"uiScale"	"speed"	"idle_speed"	"size"	"collision_point"	"drop_common"	"drop_boss"	"drop_radius"	"block_world_drop"	"initiative"	"camp"	"add_dis"	"add_num"	"add_delay"	"need_add"	"can_beadd"	"beadd_when_spawn"	"chat"	"interaction"	"transdoor_effect"	"role_func"	"born_anim"	"normal_die"	"dead_type"	"disappear"	"life"	"ai_class"	"temper"	"ability"	"enter_combat_talk"	"trigger_script"	"role_func_image"	"bCull"	"bInteractTurn"	"sceneLayer"	"dmaDialogShift"	"dmaDialogEulerAngle"	"focusType"	"fixpos"	"shifty"	"attackPriority"	"durability"	"sunder_buff"	"sunder_stiff_time"	"sunder_common_drop"	"click_voice"	"deny_aura"	"foot_act"	"select_effect"	"model_color"	""	""	""	""	""	""	""	""	
"int"	"string"	"string"	"int"	"int"	"int"	"string[]"	"int"	"int"	"string"	"bool"	"bool"	"bool"	"bool"	"bool"	"bool"	"int"	"float"	"float"	"float"	"float"	"float"	"int"	"int"	"int"	"float"	"bool"	"bool"	"int"	"float"	"int"	"int"	"bool"	"bool"	"bool"	"int"	"int"	"string"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"string"	"string[]"	"bool"	"bool"	"int"	"float[]"	"float[]"	"int"	"bool"	"float"	"int"	"int"	"int"	"int"	"int"	"string"	"bool"	"string"	"int"	"int"	""	""	""	""	""	""	""	""	
"cs"	"s"	"csl"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"csl"	"cs"	"cs"	"s"	"s"	"c"	"s"	"c"	"cs"	"cs"	"cs"	"s"	"cs"	"s"	"s"	"s"	"s"	"s"	"cs"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"cs"	"c"	"c"	"s"	"cs"	"cs"	"cs"	"cs"	"s"	"s"	"s"	"cs"	"s"	"s"	"cs"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"cs"	"s"	"s"	"s"	"c"	"s"	"c"	"c"	"c"	""	""	""	""	""	""	""	""	
"1"	"怪物模板库（1-9999）从库中复制出去改ID后使用，千万不要直接改这里的数据"	""	"7"	"30"	"5"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1.000000"	"240.000000"	"5.000000"	"3"	"0.000000"	""	"1010010"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	""	"1"	"1"	"0"	"1"	"100402"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"2"	"怪物-转剑男技能都会"	"怪物转剑男弟子"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"100402"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"3"	"怪物-转剑女技能都会"	"怪物转剑女弟子"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"2000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"100402"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"4"	"怪物-天威男技能都会"	"怪物天威男弟子"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"3000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"100402"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"5"	"怪物-天威女技能都会"	"怪物天威女弟子"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"4000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"100402"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"6"	"怪物-云锦男技能都会"	"怪物云锦男弟子"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"5000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"200002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"7"	"怪物-云锦女技能都会"	"怪物云锦女弟子"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"6000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"200002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
