"龙ID"	"备注"	"参与奖"	"击杀奖励"	"第1名"	"第2名"	"第3名"	"第4-10名"	"第11名后"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	
"id"	"comment"	"prize"	"killprize"	"prize1"	"prize2"	"prize3"	"prize4_10"	"prize11plus"	"get_position"	"get_size"	
"int"	"string"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"float[2]"	"float"	
"cs"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"c"	"c"	
"1004001"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004002"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004003"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004004"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004005"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004006"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004007"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004008"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004009"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004010"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004011"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004012"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004013"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004014"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004015"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004016"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004017"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004018"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004019"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004020"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004021"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004022"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004023"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004024"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
"1004025"	"苍狼王"	"310050,1"	"310100,1"	"310010,1"	"310020,1"	"310030,1"	"310040,1"	"310050,1"	"0,-6"	"8.800000"	
