"ID区段：见黑色分隔符解释"	"技能名技能名字，最多16个汉字（常态下策划用8个，冗余空间保留特殊情况使用）"	"utf8名字(不填,程序用)"	"技能图集"	"技能图标ID"	"是否主动技能"	"被动技能调用光环"	"被动技能起作用目标0=不起作用，1=普通状态下生效，2=骑龙状态下生效(无效)，4=始终生效，8=装备龙生效，16=召唤龙生效"	"受伤时打断"	"允许打断延后效果"	"停止移动"	"技能归属0：职业技能1：npc技能2:英雄技能"	"所属职业0=无职业1=全真/云锦2=丐帮/转剑3=少林/天威"	"是否共CD"	"冷却时间（ms）"	"CD组"	"CD组冷却时间"	"连续技"	"连续技-下一技能"	"消耗参数类型30=跳跃值"	"消耗参数值"	"消耗参数值等级修正"	"最远施放距离（m）"	"对地攻击限制false=不限制true=限制"	"对地攻击时是否限制移动（对人攻击时候都是走到距离内再放技能）true=对地攻击时候不看施放距离直接放技能false=对地攻击时候走到施放距离内再放技能"	"需求状态类型0=无限制其他=状态ID"	"需求场景类型0=副本场景1=主城场景"	"技能生效目标1=自己2=敌方单位4=友方单位8=中立单位填的数据为此数叠加，0-15"	"技能施法目标0=对地施放（如果点到人施放则表示对人所在位置施放）1=对人施放2=对自己施放3=鼠标方向施放4=对自已位置放5=向面向方向施放(取最大距离那个点）"	"技能施法目标阵营主角施法，且施法目标为0或1时阵营0友方1敌方2中立"	"施法目标附加检查0=无1=目标必须为可采集物"	"是否显示前摇条"	"移动/放其它技能时打断"	"效果类型1-1：不起作用，0：判定，1：移动，2：子弹发射，3：专有"	"效果id1根据效果类型1，去相应表中查找效果ID"	"效果类型2"	"效果id2"	"效果类型3"	"效果id3"	"效果类型4"	"效果id4"	"效果类型5"	"效果id5"	"效果类型6"	"效果id6"	"效果类型7"	"效果id7"	"效果类型8"	"效果id8"	"效果类型9"	"效果id9"	"效果类型10"	"效果id10"	"效果类型11"	"效果id11"	"效果类型12"	"效果id12"	"附加技能效果"	"附加技能效果索引(程序用,不填)"	"附加技能效果参数1"	"附加技能效果参数2"	"附加技能效果参数3"	"附加技能效果参数1f"	"附加技能效果参数2f"	"附加技能效果参数3f"	"是否为蓄力类技能"	"蓄力最大时间"	"是否为引导类技能又称通道类技能"	"连续施法次数"	"引导时间间隔"	"技能属性类别0为普通攻击（物理），1为火，2为冰，3为雷，4为毒"	"客户端前摇(ms)一般为0"	"前摇时间(ms)"	"额外后摇时间(ms)"	"技能表现效果ID需配置动作act文件，只能配置1个"	"目标点技能表现"	"技能攻击类型0近战1远战"	"技能Tip描述(NumberFormat)"	"技能Tip参数[aura_effect_id]//effectid//field[aura,1,field]//auraid//effectindex//field[aura_from_effect_hitbuf,//effectid//hitindex//effectindex//field[aura_from_magic_hitbuf]//magictype//effectindex//hitindex//auraeffectindex//field[effect_type_id]//effecttype//effectid//field[effect_from_magic_index]//magictype//magiceffectindex//field[combat_from_aura_effect]//AuraEffectConfig.id//fieldcombattriggerconfig"	"技能等级"	"技能等级段"	"升级后技能id"	"自动战斗技能的类型（1=攻击性技能，2=躲避型技能，3=加血型技能，玩家用的技能和龙的技能必须配）"	"自动战斗技能优先级（用于选择技能释放用的，越大越高）"	"默认技能位置1=普攻（左右键）；2=空格键；3=快捷键1；4=快捷键2；5=快捷键3；6=快捷键4"	"可放置技能位置1=普攻（左右键）；2=空格键；4=快捷键1；8=快捷键2；16=快捷键3"	"获得技能提示"	"技能战斗类型0:使用后不进入战斗1：使用后进入战斗"	"技能来源类型0.怪物技能1.主角自带2.英雄赋予3.空缺4.宠物技能5.其他技能6.法宝技能"	"技能来源ID类型0.无效类型1.无效类型2.英雄ID类型3.空缺类型4.无效类型5.无效"	"升级消耗（0-N,索引MagicUpgradeConfig）"	
"id"	"magicName"	"utfName"	"imageSet"	"magicIconID"	"isActive"	"passiveAura"	"passiveObj"	"interruptWhenHurt"	"allowInterruptDelay"	"stopMove"	"magicBelong"	"profession"	"isPublicCD"	"CDTime"	"CDGroup"	"CDGroupTime"	"isContinusMagic"	"ContinusMagic"	"consumeType"	"consumeValue"	"consumeValueMods"	"maxCastDistance"	"attackLimit"	"posMoveLimit"	"reqStatType"	"reqSceneType"	"effectTarget"	"castTarget"	"castTargetGroup"	"castTargetCondition"	"showSwing"	"interruptWhenMoveOrCast"	"effectType1"	"effectID1"	"effectType2"	"effectID2"	"effectType3"	"effectID3"	"effectType4"	"effectID4"	"effectType5"	"effectID5"	"effectType6"	"effectID6"	"effectType7"	"effectID7"	"effectType8"	"effectID8"	"effectType9"	"effectID9"	"effectType10"	"effectID10"	"effectType11"	"effectID11"	"effectType12"	"effectID12"	"additionEffect"	"additionEffectIndex"	"additionEffectParam1"	"additionEffectParam2"	"additionEffectParam3"	"additionEffectParam4"	"additionEffectParam5"	"additionEffectParam6"	"isAccumulate"	"AccumulateTime"	"isRepetitive"	"repeatTimes"	"repeatTimeInterval"	"magicType"	"clientCastSwingTime"	"castSwingTime"	"castStiffTime"	"magicPerformanceID"	"targetPerformanceID"	"magicAttackType"	"SkillTipDesc"	"SkillTipDescParams"	"SkillLevel"	"levelRange"	"nextID"	"autoSkillType"	"autoSkillPriority"	"default_loc"	"enable_loc"	"getDesc"	"combatType"	"magicSourceType"	"magicSourceID"	"upgradeField"	
"int"	"string"	"string"	"string"	"string"	"bool"	"int"	"int"	"bool"	"bool"	"bool"	"int"	"int"	"bool"	"int"	"int"	"int"	"bool"	"int"	"int"	"float"	"string"	"float"	"bool"	"bool"	"int"	"int"	"int"	"int"	"int"	"int"	"bool"	"bool"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"string"	"int"	"int"	"int"	"int"	"float"	"float"	"float"	"bool"	"int"	"bool"	"int"	"int"	"int"	"int"	"int"	"int"	"string"	"string"	"int"	"string"	"string"	"int"	"int[2]"	"int"	"int"	"int"	"int"	"int"	"string"	"int"	"int"	"int"	"int"	
"cs"	"cl"	"s"	"c"	"c"	"cs"	"cs"	"s"	"s"	"s"	"c"	"s"	"cs"	"s"	"cs"	"cs"	"s"	"s"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"c"	"s"	"s"	"s"	"cs"	"cs"	"cs"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"cs"	"s"	"s"	"s"	"s"	"s"	"c"	"cs"	"cs"	"cs"	"c"	"s"	"cl"	"c"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cl"	"s"	"c"	"c"	"cs"	
"101"	"采集2秒"	""	""	""	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0.000000"	""	"3.500000"	"0"	"0"	"0"	"0"	"4"	"1"	"0"	"1"	"1"	""	"3"	"101"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"0"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0"	"0"	"0"	""	"3000"	"0"	"zhujue_collect.act.txt"	""	"0"	""	""	"0"	"1,100"	"0"	"1"	"0"	""	""	""	""	"1"	"1"	"0"	
"102"	"采集10秒"	""	""	""	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0.000000"	""	"3.5"	"0"	"0"	"0"	"0"	"4"	"0"	""	"0"	"1"	""	"3"	"102"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"0"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0"	"0"	"0"	""	"10000"	"0"	"zhujue_collect.act.txt"	""	"0"	""	""	"0"	"1,100"	"0"	"0"	"0"	""	""	""	""	"0"	"0"	"0"	
"103"	"挖宝10秒"	""	""	""	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0.000000"	""	"3.5"	"0"	"0"	"0"	"0"	"4"	"0"	""	"0"	"1"	""	"3"	"102"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"0"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0"	"0"	"0"	""	"10000"	"0"	"zhujue_collect.act.txt"	""	"0"	""	""	"0"	"1,100"	"0"	"0"	"0"	""	""	""	""	"0"	"0"	"0"	
"999"	"boss定期aoe瞬秒人"	""	""	""	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0.000000"	""	"99.000000"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	""	"0"	"999"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100"	"0"	"boss_rage.act.txt"	""	"0"	"你已经死了"	""	"1"	"1,60"	"-1"	"1"	"0"	""	""	""	"1"	"0"	"0"	"0"	
"1050"	"脚本杀怪用技能id决不能改"	""	"skill"	"zs_1050"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"100"	"0"	"0"	""	"0.000000"	""	"2.800000"	"0"	"0"	"0"	"0"	"2"	"1"	""	"0"	"0"	""	"0"	"1050"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	"0"	""	""	"1"	"1,100"	"-1"	"1"	"0"	""	""	""	""	"1"	"1"	"0"	
"100000"	"触发静物"	""	"skill"	"icon_skill_1"	"0"	"0"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	""	"0.000000"	""	"10.000000"	"0"	"0"	"0"	"0"	"0"	"1"	""	"0"	"1"	""	"3"	"100000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2000"	"0"	""	""	"0"	"0"	""	"1"	"1,5"	"-1"	"1"	"0"	""	""	""	""	"0"	"0"	"0"	
"100001"	"解卡死"	""	"skill"	"icon_skill_1"	"0"	"0"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	""	"0.000000"	""	"10.000000"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"1"	""	"3"	"100001"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"3000"	"3000"	"0"	""	""	"0"	"0"	""	"1"	"1,5"	"-1"	"1"	"0"	""	""	""	""	"0"	"0"	"0"	
