"普通掉落ID"	"掉落包描述"	"掉落银币的概率"	"掉落银币的数量下限到上限"	"银币的分堆数下限到上限"	"掉落金币的概率"	"掉落金币的数量"	"金币的分堆数"	"掉落1(a=1物品ida=2specialidb=物品idc=数量d=万分之概率)"	"掉落2"	"掉落3"	"掉落4"	"掉落5"	"掉落6"	"掉落7"	"掉落8"	"掉落9"	"掉落10"	"掉落11"	"掉落12"	"掉落13"	"掉落14"	"掉落15"	"掉落16"	"掉落17"	"掉落18"	"掉落19"	"掉落20"	"掉落21"	"掉落22"	"掉落23"	"掉落24"	"掉落25"	"掉落26"	"掉落27"	"掉落28"	"掉落29"	"掉落30"	"掉落31"	"掉落32"	"掉落33"	"掉落34"	"掉落35"	"掉落36"	"掉落37"	"掉落38"	"掉落39"	"掉落40"	"掉落41"	"掉落42"	"掉落43"	"掉落44"	"掉落45"	"掉落46"	"掉落47"	"掉落48"	"掉落49"	"掉落50"	
"id"	""	"silverChance"	"silverCount"	"silverPiles"	"goldChance"	"goldCount"	"goldPiles"	"drop1"	"drop2"	"drop3"	"drop4"	"drop5"	"drop6"	"drop7"	"drop8"	"drop9"	"drop10"	"drop11"	"drop12"	"drop13"	"drop14"	"drop15"	"drop16"	"drop17"	"drop18"	"drop19"	"drop20"	"drop21"	"drop22"	"drop23"	"drop24"	"drop25"	"drop26"	"drop27"	"drop28"	"drop29"	"drop30"	"drop31"	"drop32"	"drop33"	"drop34"	"drop35"	"drop36"	"drop37"	"drop38"	"drop39"	"drop40"	"drop41"	"drop42"	"drop43"	"drop44"	"drop45"	"drop46"	"drop47"	"drop48"	"drop49"	"drop50"	
"int"	""	"int"	"int[2]"	"int[2]"	"int"	"int[2]"	"int[2]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	"int[4]"	
"cs"	""	"s"	"s"	"s"	"s"	"s"	"s"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	
"1"	"基础掉落Lv1"	""	""	""	""	""	""	"1,100010,5,1000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2"	"基础掉落Lv2"	""	""	""	""	""	""	"1,100010,10,1000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3"	"基础掉落Lv3"	""	""	""	""	""	""	"1,100010,20,1000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4"	"基础掉落Lv4"	""	""	""	""	""	""	"1,100010,30,1000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5"	"基础掉落Lv5"	""	""	""	""	""	""	"1,100010,40,1000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"101"	"守襄阳胜利奖励"	""	""	""	""	""	""	"1,100204,1,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"102"	"守襄阳失败奖励"	""	""	""	""	""	""	"1,100204,2,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"103"	"守襄阳第一名奖励"	""	""	""	""	""	""	"1,100204,6,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"104"	"守襄阳第二名奖励"	""	""	""	""	""	""	"1,100204,5,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"105"	"守襄阳第三名奖励"	""	""	""	""	""	""	"1,100204,4,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"106"	"守襄阳第四五名奖励"	""	""	""	""	""	""	"1,100204,3,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"107"	"守襄阳第六到十名奖励"	""	""	""	""	""	""	"1,100204,2,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"108"	"守襄阳其他排名奖励"	""	""	""	""	""	""	"1,100204,1,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"201"	"帮战第一轮胜利奖励"	""	""	""	""	""	""	"1,100011,200,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"202"	"帮战第一轮失败奖励"	""	""	""	""	""	""	"1,100011,200,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"203"	"帮战第二轮胜利奖励"	""	""	""	""	""	""	"1,100011,150,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"204"	"帮战第二轮失败奖励"	""	""	""	""	""	""	"1,100011,150,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"205"	"帮战第三轮胜利奖励"	""	""	""	""	""	""	"1,100011,150,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"206"	"帮战第三轮失败奖励"	""	""	""	""	""	""	"1,100011,100,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"207"	"帮战冠军奖励"	""	""	""	""	""	""	"1,420109,1,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"211"	"帮战积分一名奖励"	""	""	""	""	""	""	"1,100011,200,10000"	"1,420112,1,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"212"	"帮战积分第二名奖励"	""	""	""	""	""	""	"1,100011,200,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"213"	"帮战积分第三名奖励"	""	""	""	""	""	""	"1,100011,100,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"601"	"未使用"	""	""	""	""	""	""	"1,100001,1,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"602"	"未使用"	""	""	""	""	""	""	"1,100001,1,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
