"升阶前物品id（这个表留给装备单独使用，合成表使用另外的表格。）"	"索引名称"	"需求材料id1（索引道具表或装备表，程序按id段区分）"	"需求材料数量1"	"补充单价1（材料不足时单个材料消耗的金币）"	"材料推荐关卡1（索引关卡表，点击界面中的材料，打开副本选择界面，指引箭头会指向这个关卡）"	"推荐关卡tips1（鼠标敏感材料图标时，显示在tips文字中）"	"需求材料id2"	"需求材料数量2"	"补充单价2"	"材料推荐关卡2"	"推荐关卡tips2"	"需求材料id3"	"需求材料数量3"	"补充单价3"	"材料推荐关卡3"	"推荐关卡tips3"	"需求材料id4"	"需求材料数量4"	"补充单价4"	"材料推荐关卡4"	"推荐关卡tips4"	"需求材料id5"	"需求材料数量5"	"补充单价5"	"材料推荐关卡5"	"推荐关卡tips5"	"需求材料id6"	"需求材料数量6"	"补充单价6"	"材料推荐关卡6"	"推荐关卡tips6"	"需求材料id1（索引道具表或装备表，程序按id段区分）"	"需求材料数量1"	"补充单价1（材料不足时单个材料消耗的金币）"	"材料推荐关卡1（索引关卡表，点击界面中的材料，打开副本选择界面，指引箭头会指向这个关卡）"	"目标产物id"	"是否公告（true则会触发世界公告，false不触发）"	
"id"	"index"	"materialID1"	"materialCount1"	"materialCost1"	"obtainedBarrier1"	"barrierTips1"	"materialID2"	"materialCount2"	"materialCost2"	"obtainedBarrier2"	"barrierTips2"	"materialID3"	"materialCount3"	"materialCost3"	"obtainedBarrier3"	"barrierTips3"	"materialID4"	"materialCount4"	"materialCost4"	"obtainedBarrier4"	"barrierTips4"	"materialID5"	"materialCount5"	"materialCost5"	"obtainedBarrier5"	"barrierTips5"	"materialID6"	"materialCount6"	"materialCost6"	"obtainedBarrier6"	"barrierTips6"	"materialID7"	"materialCount7"	"materialCost7"	"obtainedBarrier7"	"productID"	"isBroadcast"	
"int"	"string"	"int"	"int"	"int"	"int"	"string"	"int"	"int"	"int"	"int"	"string"	"int"	"int"	"int"	"int"	"string"	"int"	"int"	"int"	"int"	"string"	"int"	"int"	"int"	"int"	"string"	"int"	"int"	"int"	"int"	"string"	"int"	"int"	"int"	"int"	"int"	"bool"	
"cs"	"csl"	"cs"	"cs"	"cs"	"cs"	"c"	"cs"	"cs"	"cs"	"cs"	"c"	"cs"	"cs"	"cs"	"cs"	"c"	"cs"	"cs"	"cs"	"cs"	"c"	"cs"	"cs"	"cs"	"cs"	"c"	"cs"	"cs"	"cs"	"cs"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"200101"	"屠龙套装-武器（20级）"	"300005"	"4"	"100"	"10000"	""	"300004"	"30"	"5"	"1103"	""	""	""	""	""	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"202001"	"0"	
"200102"	"屠龙套装-武器（20级）"	"300005"	"4"	"100"	"10000"	""	"300004"	"30"	"5"	"1103"	""	""	""	""	""	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"202002"	"0"	
"200103"	"屠龙套装-武器（20级）"	"300005"	"4"	"100"	"10000"	""	"300004"	"30"	"5"	"1103"	""	""	""	""	""	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"202003"	"0"	
"200104"	"屠龙套装-防具（20级）"	"300005"	"3"	"100"	"10000"	""	"300004"	"25"	"5"	"1103"	""	""	""	""	""	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"202004"	"0"	
"200105"	"屠龙套装-防具（20级）"	"300005"	"3"	"100"	"10000"	""	"300004"	"25"	"5"	"1103"	""	""	""	""	""	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"202005"	"0"	
"200106"	"屠龙套装-防具（20级）"	"300005"	"2"	"100"	"10000"	""	"300004"	"20"	"5"	"1103"	""	""	""	""	""	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"202006"	"0"	
"200107"	"屠龙套装-防具（20级）"	"300005"	"2"	"100"	"10000"	""	"300004"	"20"	"5"	"1103"	""	""	""	""	""	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"202007"	"0"	
"200108"	"屠龙套装-饰品（20级）"	"300005"	"1"	"100"	"10000"	""	"300004"	"15"	"5"	"1103"	""	""	""	""	""	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"202008"	"0"	
"200109"	"屠龙套装-饰品（20级）"	"300005"	"1"	"100"	"10000"	""	"300004"	"15"	"5"	"1103"	""	""	""	""	""	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"202009"	"0"	
"202001"	"战神套装-武器（40级）"	"300006"	"8"	"100"	"10005"	""	"300007"	"60"	"5"	"1115"	""	"300008"	"60"	"5"	"1118"	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"204001"	"0"	
"202002"	"战神套装-武器（40级）"	"300006"	"8"	"100"	"10005"	""	"300007"	"60"	"5"	"1115"	""	"300008"	"60"	"5"	"1118"	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"204002"	"0"	
"202003"	"战神套装-武器（40级）"	"300006"	"8"	"100"	"10005"	""	"300007"	"60"	"5"	"1115"	""	"300008"	"60"	"5"	"1118"	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"204003"	"0"	
"202004"	"战神套装-防具（40级）"	"300006"	"6"	"100"	"10005"	""	"300007"	"50"	"5"	"1115"	""	"300008"	"50"	"5"	"1118"	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"204004"	"0"	
"202005"	"战神套装-防具（40级）"	"300006"	"6"	"100"	"10005"	""	"300007"	"50"	"5"	"1115"	""	"300008"	"50"	"5"	"1118"	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"204005"	"0"	
"202006"	"战神套装-防具（40级）"	"300006"	"4"	"100"	"10005"	""	"300007"	"40"	"5"	"1115"	""	"300008"	"40"	"5"	"1118"	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"204006"	"0"	
"202007"	"战神套装-防具（40级）"	"300006"	"4"	"100"	"10005"	""	"300007"	"40"	"5"	"1115"	""	"300008"	"40"	"5"	"1118"	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"204007"	"0"	
"202008"	"战神套装-饰品（40级）"	"300006"	"2"	"100"	"10005"	""	"300007"	"30"	"5"	"1115"	""	"300008"	"30"	"5"	"1118"	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"204008"	"0"	
"202009"	"战神套装-饰品（40级）"	"300006"	"2"	"100"	"10005"	""	"300007"	"30"	"5"	"1115"	""	"300008"	"30"	"5"	"1118"	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"204009"	"0"	
"204001"	"战神套装-武器（60级）"	"300010"	"16"	"100"	"10013"	""	"300011"	"120"	"5"	"1139"	""	"300012"	"120"	"5"	"1143"	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"206001"	"0"	
"204002"	"战神套装-武器（60级）"	"300010"	"16"	"100"	"10013"	""	"300011"	"120"	"5"	"1139"	""	"300012"	"120"	"5"	"1143"	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"206002"	"0"	
"204003"	"战神套装-武器（60级）"	"300010"	"16"	"100"	"10013"	""	"300011"	"120"	"5"	"1139"	""	"300012"	"120"	"5"	"1143"	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"206003"	"0"	
"204004"	"战神套装-防具（60级）"	"300010"	"12"	"100"	"10013"	""	"300011"	"100"	"5"	"1139"	""	"300012"	"100"	"5"	"1143"	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"206004"	"0"	
"204005"	"战神套装-防具（60级）"	"300010"	"12"	"100"	"10013"	""	"300011"	"100"	"5"	"1139"	""	"300012"	"100"	"5"	"1143"	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"206005"	"0"	
"204006"	"战神套装-防具（60级）"	"300010"	"8"	"100"	"10013"	""	"300011"	"80"	"5"	"1139"	""	"300012"	"80"	"5"	"1143"	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"206006"	"0"	
"204007"	"战神套装-防具（60级）"	"300010"	"8"	"100"	"10013"	""	"300011"	"80"	"5"	"1139"	""	"300012"	"80"	"5"	"1143"	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"206007"	"0"	
"204008"	"战神套装-饰品（60级）"	"300010"	"4"	"100"	"10013"	""	"300011"	"60"	"5"	"1139"	""	"300012"	"60"	"5"	"1143"	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"206008"	"0"	
"204009"	"战神套装-饰品（60级）"	"300010"	"4"	"100"	"10013"	""	"300011"	"60"	"5"	"1139"	""	"300012"	"60"	"5"	"1143"	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"206009"	"0"	
"206001"	"破天套装-武器（70级）"	"300014"	"24"	"100"	""	""	"300015"	"24"	"100"	""	""	"300016"	"180"	"5"	""	""	"300017"	"180"	"5"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"207001"	"0"	
"206002"	"破天套装-武器（70级）"	"300014"	"24"	"100"	""	""	"300015"	"24"	"100"	""	""	"300016"	"180"	"5"	""	""	"300017"	"180"	"5"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"207002"	"0"	
"206003"	"破天套装-武器（70级）"	"300014"	"24"	"100"	""	""	"300015"	"24"	"100"	""	""	"300016"	"180"	"5"	""	""	"300017"	"180"	"5"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"207003"	"0"	
"206004"	"破天套装-防具（70级）"	"300014"	"18"	"100"	""	""	"300015"	"18"	"100"	""	""	"300016"	"150"	"5"	""	""	"300017"	"150"	"5"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"207004"	"0"	
"206005"	"破天套装-防具（70级）"	"300014"	"18"	"100"	""	""	"300015"	"18"	"100"	""	""	"300016"	"150"	"5"	""	""	"300017"	"150"	"5"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"207005"	"0"	
"206006"	"破天套装-防具（70级）"	"300014"	"12"	"100"	""	""	"300015"	"12"	"100"	""	""	"300016"	"120"	"5"	""	""	"300017"	"120"	"5"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"207006"	"0"	
"206007"	"破天套装-防具（70级）"	"300014"	"12"	"100"	""	""	"300015"	"12"	"100"	""	""	"300016"	"120"	"5"	""	""	"300017"	"120"	"5"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"207007"	"0"	
"206008"	"破天套装-饰品（70级）"	"300014"	"6"	"100"	""	""	"300015"	"6"	"100"	""	""	"300016"	"90"	"5"	""	""	"300017"	"90"	"5"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"207008"	"0"	
"206009"	"破天套装-饰品（70级）"	"300014"	"6"	"100"	""	""	"300015"	"6"	"100"	""	""	"300016"	"90"	"5"	""	""	"300017"	"90"	"5"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"207009"	"0"	
"207001"	"80级套装-武器"	"300019"	"32"	"100"	""	""	"300020"	"32"	"100"	""	""	"300021"	"240"	"5"	""	""	"300023"	"240"	"5"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"208001"	"0"	
"207002"	"80级套装-武器"	"300019"	"32"	"100"	""	""	"300020"	"32"	"100"	""	""	"300021"	"240"	"5"	""	""	"300023"	"240"	"5"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"208002"	"0"	
"207003"	"80级套装-武器"	"300019"	"32"	"100"	""	""	"300020"	"32"	"100"	""	""	"300021"	"240"	"5"	""	""	"300023"	"240"	"5"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"208003"	"0"	
