"ID"	"英雄技能名字"	"技能所属英雄ID"	"技能位(该技能是这个英雄的第几个技能)"	"技能品质颜色(0=白，1=绿，2=蓝，3=紫，4=金，5=橙)"	"技能ID（对应MagicTypeConfig表id列）"	"技能图标（图集，图片名）"	"技能介绍"	"自身标签(HeroCardLabelConfig中id列）"	"关联标签_自身(HeroCardLabelConfig中id列）"	"关联标签_目标(HeroCardLabelConfig中id列）"	"简略技能Tip(参数对应查询MagicTypeConfig表)"	"英雄技能名字美术字"	"英雄技能展示动作（act文件名）"	""	""	""	""	""	""	""	""	""	
"id"	"skill_name"	"hero_id"	"skill_position"	"color"	"magic_id"	"skill_icon"	"herointroduction"	"label_self"	"label_relative_self"	"label_relative_enemy"	"skill_tip"	"hero_txt"	"hero_act_skiil1"	""	""	""	""	""	""	""	""	""	
"int"	"string"	"int"	"int"	"int"	"int"	"string[]"	"string"	"int[]"	"int[]"	"int[]"	"string"	"string[2]"	"string"	""	""	""	""	""	""	""	""	""	
"cs"	"cl"	"cs"	"cs"	"cs"	"cs"	"c"	"cl"	"cs"	"cs"	"cs"	"cl"	"c"	"c"	""	""	""	""	""	""	""	""	""	
"1"	"飞龙在天"	"1"	"1"	"4"	"20001100"	"item_skill_png2,feilongzaitian"	"先手群体控制，附带不俗伤害"	"10000200"	""	""	"召唤真龙，对前方最多[green]${0},1$[white]个敌人分别造成[green]${1},9$[white]攻击力+[red]${2},1$[white]点伤害，并眩晕[green]1.5[white]秒"	"word_heroskill_png,aokouduozhang"	"heroman_gj_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"2"	"龙战于野"	"1"	"2"	"4"	"20001200"	"item_skill_png2,longzhanyuye"	"大范围瞬间伤害，最强群攻"	""	"10000200"	""	"对周围最多[green]${0},1$[white]个敌人分别造成[green]${1},9$[white]攻击力+[red]${2},1$[white]点伤害"	"word_heroskill_png,canglongchushui"	"heroman_gj_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"3"	"神龙摆尾"	"1"	"3"	"4"	"20001300"	"item_skill_png2,shenlongbaiwei"	"短冷却范围伤害，使用灵活"	""	"10000200"	""	"对前方最多[green]${0},1$[white]个敌人分别造成[green]${1},9$[white]攻击力+[red]${2},1$[white]点伤害"	"word_heroskill_png,bangdagoutou"	"heroman_gj_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"4"	"先天功"	"2"	"1"	"3"	"20002100"	"item_skill_png2,xiantiangong"	"对周身造成持续伤害，单P神技"	"10000400"	""	""	"集先天之气于己身，每[green]0.5[white]秒对离自己最近的敌人造成[green]${0},9$[white]攻击力+[red]${1},1$[white]点伤害，持续[green]10[white]秒"	"word_heroskill_png,aokouduozhang"	"heroman_ydds_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"5"	"非枯非荣"	"2"	"2"	"4"	"20002200"	"item_skill_png2,feikufeirong"	"远距离单体高伤害，出手必中"	""	""	"10000300,10000400"	"对目标敌人造成[green]${0},9$[white]攻击力+[red]${1},1$[white]点伤害"	"word_heroskill_png,canglongchushui"	"heroman_ydds_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"6"	"一阳指"	"2"	"3"	"4"	"20002300"	"item_skill_png2,yiyangzhi"	"超远距离直线伤害，威力惊人"	"10000300"	""	""	"直线射出的剑气，对前方最多[green]${0},1$[white]个敌人分别造成[green]${1},9$[white]攻击力+[red]${2},1$[white]点伤害，附带[pink]<虚弱>[white]"	"word_heroskill_png,bangdagoutou"	"heroman_ydds_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"7"	"左右互搏"	"3"	"1"	"3"	"20003100"	"item_skill_png2,zuoyouhubo"	"减少所有技能的冷却，辅助性技能"	"10000200"	""	""	"灵机一动，施放者自身获得[gold]<互博>[white]、[blue]<集气>[white]\n[gold]<互博>[white]：自身所有技能减少[red]${0},6$[white]冷却时间，持续[green]10[white]秒"	"word_heroskill_png,aokouduozhang"	"heroman_zbt_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"8"	"游戏人间"	"3"	"2"	"4"	"20003200"	"item_skill_png2,youxirenjian"	"延迟性技能，群控+高伤"	""	""	"10000300"	"扔出一只延迟爆炸的大黄鸭，对前方最多[green]${0},1$[white]个敌人分别造成[green]${1},9$[white]攻击力+[red]${2},1$[white]点伤害，并造成[green]2[white]秒的眩晕"	"word_heroskill_png,canglongchushui"	"heroman_zbt_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"9"	"空明拳"	"3"	"3"	"4"	"20003300"	"item_skill_png2,kongmingquan"	"多段范围伤害，附带回复效果"	"10000300"	"10000200"	""	"疯狂击打周围最多[green]${0},1$[white]个敌人，每击造成[green]${1},9$[white]攻击力+[red]${2},1$[white]点伤害，附带[pink]<虚弱>"	"word_heroskill_png,bangdagoutou"	"heroman_zbt_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"10"	"兰花拂穴手"	"4"	"1"	"2"	"20004100"	"item_skill_png2,lanhuafuxueshou"	"范围2秒控制，技能前摇短"	"10000400"	""	""	"玉手轻拂，对面前最多[green]${0},1$[white]个敌人分别造成[green]${1},9$[white]攻击力+[red]${2},1$[white]点伤害，并眩晕[green]2[white]秒，附带[purple]<破甲>[white]"	"word_heroskill_png,damopaozhang"	"herowoman_hr_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"11"	"落英神掌"	"4"	"2"	"3"	"20004200"	"item_skill_png2,bangdashuangquan"	"前方区域多段伤害，附带减速效果"	"10000300"	""	"10000400"	"连打面前的[green]${0},1$[white]个敌人，共造成[green]${1},33$[white]攻击力+[red]${2},34$[white]点伤害，并在[green]5[white]秒内降低[green]50%[white]移动速度"	"word_heroskill_png,yiweidujiang"	"herowoman_hr_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"12"	"漫天花雨"	"4"	"3"	"3"	"20004300"	"item_skill_png2,mantianhuayu"	"大范围持续伤害，配合控制效果极佳"	""	""	"10000300,10000400"	"对面前最多[green]${0},1$[white]个敌人分别造成共计[green]${1},35$[white]攻击力+[red]${2},36$[white]点伤害"	"word_heroskill_png,wanjianguizong"	"herowoman_hr_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"13"	"剑指丹阳"	"5"	"1"	"2"	"20005100"	"item_skill_png2,jianzhidanyang"	"伤害+治疗，攻守兼备"	""	"10000200"	""	"对面前最多[green]${0},1$[white]个敌人造成[green]${1},9$[white]攻击力+[red]${2},1$[white]点伤害\n同时恢复面前[green]5[white]个友方[green]${3},15$[white]最大生命"	"word_heroskill_png,aokouduozhang"	"heroman_qcj_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"14"	"天罡北斗"	"5"	"2"	"3"	"20005200"	"item_skill_png2,tiangangbeidou"	"群体回复，团队核心技能"	"10000200"	""	""	"创造一个法阵，持续[green]20[white]秒\n法阵内的友方单位每秒恢复[red]${0},1$[white]点生命，并获得[blue]<集气>"	"word_heroskill_png,canglongchushui"	"heroman_qcj_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"15"	"斗转星移"	"5"	"3"	"3"	"20005300"	"item_skill_png2,douzhuanxingyi"	"大范围多段伤害，团战专属"	""	"10000200"	""	"汇集星云之力，对周围[green]${0},1$[white]个敌人造成3段伤害，每段伤害为[green]${1},9$[white]攻击力+[red]${2},1$[white]点"	"word_heroskill_png,bangdagoutou"	"heroman_qcj_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"16"	"瞬息千里"	"6"	"1"	"2"	"20006100"	"item_skill_png2,shunxiqianli"	"瞬间提升自身防御，攻击附带状态"	"10000300"	""	""	"提升自身防御力[red]${0},15$[white]，且所有攻击均附带有[pink]<虚弱>[white]，持续8秒"	"word_heroskill_png,aokouduozhang"	"heroman_oyk_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"17"	"神陀铁扇"	"6"	"2"	"3"	"20006200"	"item_skill_png2,shentuotieshan"	"单体高伤害，必定命中"	""	""	"10000300"	"对目标敌人造成[green]${0},9$[white]攻击力+[red]${1},1$[white]点伤害"	"word_heroskill_png,canglongchushui"	"heroman_oyk_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"18"	"灵蛇吐息"	"6"	"3"	"3"	"20006300"	"item_skill_png2,lingshetuxi"	"伤害与控制一体，PK强力技能"	""	""	"10000300"	"对目标敌人造成[green]${0},9$[white]攻击力+[red]${1},1$[white]点伤害"	"word_heroskill_png,bangdagoutou"	"heroman_oyk_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"19"	"九阴白骨爪"	"7"	"1"	"3"	"20007100"	"item_skill_png2,jiuyinbaiguzhao"	"单体多段伤害，若能全中威力巨大"	""	"10000100"	""	"疯狂连抓，对目标敌人造成共计[green]${0},37$[white]攻击力+[red]${1},38$[white]点伤害"	"word_heroskill_png,aokouduozhang"	"herowoman_mcf_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"20"	"幽冥鬼爪"	"7"	"2"	"3"	"20007200"	"item_skill_png2,youmingguizhao"	"持续伤害性技能，适合持久战"	"10000100"	""	""	"对目标敌人造成[red]${0},1$[white]点伤害，并附带[green]1[white]层[red]<流血>[white]，造成持续伤害"	"word_heroskill_png,canglongchushui"	"herowoman_mcf_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"21"	"移魂大法"	"7"	"3"	"3"	"20007300"	"item_skill_png2,yihundafa"	"单体点控，PK起手技"	""	"10000100"	""	"移魂离体，对目标敌人造成[red]${0},1$[white]点伤害，并眩晕[green]2.5[white]秒"	"word_heroskill_png,bangdagoutou"	"herowoman_mcf_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"22"	"枯木逢春"	"8"	"1"	"2"	"20008100"	"item_skill_png2,kumufengchun"	"群体伤害，刷怪过图效果不俗"	""	"10000100"	"10000400"	"对周身[green]${0},1$[white]个敌人造成[green]${1},9$[white]攻击力+[red]${2},1$[white]点伤害，再对前方区域造成[green]${3},9$[white]攻击力+[red]${4},1$[white]点伤害"	"word_heroskill_png,aokouduozhang"	"herowoman_mnc_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"23"	"以柔克刚"	"8"	"2"	"2"	"20008200"	"item_skill_png2,yiroukegang"	"单体高伤，适合击杀BOSS"	"10000400"	""	""	"对目标敌人造成[green]${0},9$[white]攻击力+[red]${1},1$[white]点伤害，附带[purple]<破甲>"	"word_heroskill_png,canglongchushui"	"herowoman_mnc_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"24"	"乱舞梨花"	"8"	"3"	"3"	"20008300"	"item_skill_png2,luanwulihua"	"群体多段伤害，配合[破甲]使用"	""	""	"10000400"	"连续击打目标敌人，前[green]5[white]击每击造成[green]${0},9$[white]攻击力+[red]${1},1$[white]点伤害，最后一击造成[green]${2},9$[white]攻击力+[red]${3},1$[white]点伤害"	"word_heroskill_png,bangdagoutou"	"herowoman_mnc_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"25"	"全真剑法"	"9"	"1"	"2"	"20009100"	"item_skill_png2,quanzhenjianfa"	"单体伤害+减速，骚扰性技能"	""	"10000100"	""	"对目标敌人造成[green]${0},9$[white]攻击力+[red]${1},1$[white]点伤害，并在[green]5[white]秒内降低[green]40%[white]移动速度"	"word_heroskill_png,aokouduozhang"	"herowoman_sbe_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"26"	"剑舞倾心"	"9"	"2"	"2"	"20009200"	"item_skill_png2,jianwuqingxin"	"单体回复生命，持久战专属"	""	"10000100"	""	"为目标队友恢复[green]5%[white]最大生命+[red]${0},1$[white]的血量"	"word_heroskill_png,canglongchushui"	"herowoman_sbe_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"27"	"天符云篆"	"9"	"3"	"3"	"20009300"	"item_skill_png2,tianfuyunzhuan"	"群体护盾技能，3V3效果极佳"	"10000100"	""	""	"为周围[green]4[white]个友军增加一个防护罩，并附加[yellow]<蓄力>[white]\n防护罩可以吸收[green]${0},7$[white]攻击+[red]${1},1$[white]的伤害，持续[green]15[white]秒"	"word_heroskill_png,bangdagoutou"	"herowoman_sbe_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"28"	"分筋错骨"	"10"	"1"	"2"	"20010100"	"item_skill_png2,fenjincuogu"	"小范围伤害，附带吸血效果"	""	""	"10000300"	"对前方[green]${0},1$[white]个敌人分别造成共计[green]${1},9$[white]攻击力+[red]${2},1$[white]点伤害"	"word_heroskill_png,wukongzhan"	"heroman_yk_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"29"	"辣手摧花"	"10"	"2"	"2"	"20010200"	"item_skill_png2,lashoucuihua"	"范围伤害+减速，配合性技能"	"10000300"	""	""	"对前方[green]${0},1$[white]个敌人分别造成[green]${1},9$[white]攻击力+[red]${2},1$[white]点伤害，附带[pink]<虚弱>[white]"	"word_heroskill_png,kaishanwenlu"	"heroman_yk_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"30"	"摧心魔掌"	"10"	"3"	"3"	"20010300"	"item_skill_png2,cuixinmozhang"	"自身获得吸收大量伤害的护盾"	"10000200"	""	"10000400"	"获得能吸收[green]${0},7$[white]攻击+[red]${1},1$[white]伤害的护罩，持续[green]4.5[white]秒[white]\n自身有[purple]<破甲>[white]时，恢复[red]${2},1$[white]点生命"	"word_heroskill_png,shaolintiao"	"heroman_yk_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"31"	"伏魔杖法"	"11"	"1"	"2"	"20011100"	"item_skill_png2,fumozhangfa"	"自身为圆心的范围伤害，适合刷怪"	"10000100"	""	""	"对周围[green]${0},1$[white]个敌人分别造成共计[green]${1},39$[white]攻击力+[red]${2},40$[white]点伤害"	"word_heroskill_png,kaishanwenlu"	"heroman_kze_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"32"	"听音辨形"	"11"	"2"	"2"	"20011200"	"item_skill_png2,tingyinbianxing"	"远距离直线伤害，爆发性技能"	"10000300"	"10000100"	""	"对前方[green]${0},1$[white]个敌人分别造成[green]${1},9$[white]攻击力+[red]${2},1$[white]点伤害，附带[pink]虚弱[white]"	"word_heroskill_png,wukongzhan"	"heroman_kze_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"33"	"飞天蝙蝠"	"11"	"3"	"3"	"20011300"	"item_skill_png2,feitianbianfu"	"大范围范围伤害，附带斩杀效果"	""	"10000100"	"10000300"	"对前方[green]${0},1$[white]个敌人造成[green]6[white]段伤害，每击造成[green]${1},9$[white]攻击力+[red]${2},1$[white]点伤害"	"word_heroskill_png,shaolintiao"	"heroman_kze_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"34"	"风火燎原"	"12"	"1"	"2"	"20012100"	"item_skill_png2,fenghuoliaoyuan"	"超远距离单体伤害，附带持续掉血"	"10000400"	""	"10000300"	"对目标单位造成[green]${0},9$[white]攻击力+[red]${1},1$[white]点伤害，并在接下来的[green]10[white]秒内造成每秒[green]${2},9$[white]攻击力+[red]${3},1$[white]点伤害"	"word_heroskill_png,wukongzhan"	"heroman_zb_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"35"	"梅花烙"	"12"	"2"	"2"	"20012200"	"item_skill_png2,meihualao"	"召唤持续攻击的守卫，阵地战技能"	"10000300"	""	""	"召唤一个固定的射手攻击敌人，每秒造成[green]${0},9$[white]+[red]${1},1$[white]伤害，持续[green]15[white]秒，攻击附带[pink]<虚弱>[white]"	"word_heroskill_png,kaishanwenlu"	"heroman_zb_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"36"	"弯弓射日"	"12"	"3"	"3"	"20012300"	"item_skill_png2,wangongsheri"	"远距离单体伤害，适合追杀"	""	""	"10000300"	"对目标造成[green]${0},9$[white]攻击力+[red]${1},1$[white]点伤害并沉默[green]2[white]秒"	"word_heroskill_png,shaolintiao"	"heroman_zb_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
"37"	"袖里乾坤"	"13"	"1"	"2"	"20013100"	"item_skill_png2,xiuliqiankun"	"小范围伤害技能，配合[破甲]使用"	""	""	"10000400"	"对前方[green]${0},1$[white]个敌人分别造成[green]${1},33$[white]攻击力+[red]${2},42$[white]点伤害"	"word_heroskill_png,wukongzhan"	"herowoman_hz_zhanshi.act.txt"	""	""	""	""	""	""	""	""	""	
